family,instance_id,policy,n_vars,n_clauses,alpha,solved,sat,timeout,decisions,propagations,conflicts,learned_clauses,max_level,runtime_s,compute_cost
planted_3sat,9,random,18,76,4.222222222222222,1,1,0,8,33,4,4,4,0.0014644160401076078,6.532
random_3sat,10,vsids,18,76,4.222222222222222,1,0,0,7,63,8,7,3,0.0014860000228509307,10.352
random_3sat,10,progress_only,18,76,4.222222222222222,1,0,0,7,69,8,7,3,0.0015697090420871973,10.376
random_3sat,10,maat_only,18,76,4.222222222222222,1,0,0,11,115,12,11,3,0.002545249997638166,15.760000000000002
random_3sat,10,mode_a,18,76,4.222222222222222,1,0,0,9,66,8,7,4,0.0018607089295983315,10.963999999999999
random_3sat,10,random,18,76,4.222222222222222,1,0,0,22,140,16,15,5,0.003924250020645559,23.16
planted_3sat,11,vsids,18,76,4.222222222222222,1,1,0,6,10,0,0,6,0.0007959590293467045,1.8399999999999999
planted_3sat,11,progress_only,18,76,4.222222222222222,1,1,0,4,12,0,0,4,0.0006187499966472387,1.248
planted_3sat,11,maat_only,18,76,4.222222222222222,1,1,0,5,10,0,0,5,0.0007228750037029386,1.54
planted_3sat,11,mode_a,18,76,4.222222222222222,1,1,0,6,9,0,0,6,0.0008276249282062054,1.8359999999999999
planted_3sat,11,random,18,76,4.222222222222222,1,1,0,11,49,3,3,8,0.001796458032913506,6.4959999999999996
random_3sat,12,vsids,18,83,4.611111111111111,1,0,0,5,54,5,4,3,0.0013355829287320375,6.716
random_3sat,12,progress_only,18,83,4.611111111111111,1,0,0,5,54,5,4,3,0.0012051250087097287,6.716
random_3sat,12,maat_only,18,83,4.611111111111111,1,0,0,6,57,7,6,3,0.0015290419105440378,9.028
random_3sat,12,mode_a,18,83,4.611111111111111,1,0,0,5,56,6,5,3,0.0013462500646710396,7.724
random_3sat,12,random,18,83,4.611111111111111,1,0,0,9,65,8,7,5,0.001957415952347219,10.959999999999999
planted_3sat,13,vsids,18,83,4.611111111111111,1,1,0,3,15,0,0,3,0.0005902079865336418,0.96
planted_3sat,13,progress_only,18,83,4.611111111111111,1,1,0,3,15,0,0,3,0.0005988340126350522,0.96
planted_3sat,13,maat_only,18,83,4.611111111111111,1,1,0,9,77,7,7,5,0.0020462919492274523,10.008
planted_3sat,13,mode_a,18,83,4.611111111111111,1,1,0,6,40,3,3,5,0.0012196669122204185,4.96
planted_3sat,13,random,18,83,4.611111111111111,1,1,0,9,57,5,5,6,0.0017056670039892197,7.927999999999999
random_3sat,14,vsids,18,83,4.611111111111111,1,0,0,10,72,8,7,5,0.002037041005678475,11.288
random_3sat,14,progress_only,18,83,4.611111111111111,1,0,0,10,72,8,7,5,0.002127500018104911,11.288
random_3sat,14,maat_only,18,83,4.611111111111111,1,0,0,11,127,12,11,4,0.002817833097651601,15.808
random_3sat,14,mode_a,18,83,4.611111111111111,1,0,0,12,99,12,11,6,0.0026342500932514668,15.996
random_3sat,14,random,18,83,4.611111111111111,1,0,0,16,157,16,15,7,0.0037626669509336352,21.428
planted_3sat,15,vsids,18,83,4.611111111111111,1,1,0,9,36,2,2,7,0.001333167077973485,4.843999999999999
planted_3sat,15,progress_only,18,83,4.611111111111111,1,1,0,8,37,2,2,6,0.001318667083978653,4.548
planted_3sat,15,maat_only,18,83,4.611111111111111,1,1,0,6,9,0,0,6,0.0009778339881449938,1.8359999999999999
planted_3sat,15,mode_a,18,83,4.611111111111111,1,1,0,6,30,2,2,5,0.0011468749726191163,3.92
planted_3sat,15,random,18,83,4.611111111111111,1,1,0,5,12,0,0,5,0.0007281249854713678,1.548
random_3sat,16,vsids,18,83,4.611111111111111,1,0,0,11,88,11,10,5,0.0025343330344185233,14.652000000000001
random_3sat,16,progress_only,18,83,4.611111111111111,1,0,0,9,72,10,9,3,0.002160959062166512,12.988
random_3sat,16,maat_only,18,83,4.611111111111111,1,0,0,13,125,14,13,4,0.0031237080693244934,18.4
random_3sat,16,mode_a,18,83,4.611111111111111,1,0,0,12,67,10,9,5,0.002487958990968764,13.868
random_3sat,16,random,18,83,4.611111111111111,1,0,0,13,101,11,10,5,0.0028830000665038824,15.304
planted_3sat,17,vsids,18,83,4.611111111111111,1,1,0,4,18,1,1,3,0.0007289160275831819,2.2720000000000002
planted_3sat,17,progress_only,18,83,4.611111111111111,1,1,0,4,18,1,1,3,0.0007121249800547957,2.2720000000000002
planted_3sat,17,maat_only,18,83,4.611111111111111,1,1,0,4,12,0,0,4,0.0006759170209988952,1.248
planted_3sat,17,mode_a,18,83,4.611111111111111,1,1,0,6,11,0,0,6,0.0009392499923706055,1.8439999999999999
planted_3sat,17,random,18,83,4.611111111111111,1,1,0,7,15,1,1,6,0.0010198750533163548,3.16
random_3sat,18,vsids,22,86,3.909090909090909,1,1,0,6,15,0,0,6,0.0008891250472515821,1.8599999999999999
random_3sat,18,progress_only,22,86,3.909090909090909,1,1,0,6,15,0,0,6,0.00089216697961092,1.8599999999999999
random_3sat,18,maat_only,22,86,3.909090909090909,1,1,0,9,26,1,1,8,0.0014853749889880419,3.804
random_3sat,18,mode_a,22,86,3.909090909090909,1,1,0,8,50,3,3,6,0.0014875000342726707,5.6000000000000005
random_3sat,18,random,22,86,3.909090909090909,1,1,0,10,40,4,4,8,0.0017028750153258443,7.16
planted_3sat,19,vsids,22,86,3.909090909090909,1,1,0,6,13,0,0,6,0.0010152499889954925,1.8519999999999999
planted_3sat,19,progress_only,22,86,3.909090909090909,1,1,0,6,13,0,0,6,0.0010868750978261232,1.8519999999999999
planted_3sat,19,maat_only,22,86,3.909090909090909,1,1,0,5,29,1,1,4,0.0011501249391585588,2.616
