policy,n_pairs,mean_regret_vs_vsids,median_regret_vs_vsids,mean_cost_ratio_vs_vsids,median_cost_ratio_vs_vsids,wins_vs_vsids,losses_vs_vsids,ties_vs_vsids,solve_rate_delta_vs_vsids
progress_only,99,1.2943030303030294,0.0,0.9845361578302575,0.9999999997807018,31,24,44,0.0
maat_only,99,10.736404040404038,0.5760000000000005,1.658779452738026,1.107871719712875,40,54,5,0.0
mode_a,99,7.461939393939393,0.0,1.2946189386513889,0.9999999997988737,44,47,8,0.0
random,99,14.628606060606058,3.415999999999999,1.912989074246471,1.5648788925643515,27,72,0,0.0
