family,policy,n_pairs,median_regret_vs_vsids,mean_regret_vs_vsids,win_rate_vs_vsids
graph_coloring,progress_only,6,0.0,0.0,0.0
graph_coloring,maat_only,6,0.1479999999999999,-0.09466666666666675,0.3333333333333333
graph_coloring,mode_a,6,0.0,0.021999999999999725,0.16666666666666666
graph_coloring,random,6,1.2720000000000002,2.1520000000000006,0.16666666666666666
modular_3sat,progress_only,18,0.0,-0.10288888888888888,0.2777777777777778
modular_3sat,maat_only,18,0.7480000000000002,1.2640000000000002,0.3888888888888889
modular_3sat,mode_a,18,-0.4860000000000002,-0.49577777777777776,0.6111111111111112
modular_3sat,random,18,3.269999999999999,3.2548888888888885,0.3888888888888889
pigeonhole,progress_only,3,18.976,50.94399999999996,0.0
pigeonhole,maat_only,3,69.62400000000002,302.27866666666665,0.3333333333333333
pigeonhole,mode_a,3,60.97999999999999,237.01333333333332,0.3333333333333333
pigeonhole,random,3,72.52000000000001,335.17866666666663,0.3333333333333333
planted_3sat,progress_only,27,0.0,-0.3515555555555557,0.48148148148148145
planted_3sat,maat_only,27,-0.5880000000000001,0.23303703703703696,0.6666666666666666
planted_3sat,mode_a,27,-0.4280000000000004,0.460148148148148,0.5925925925925926
planted_3sat,random,27,0.5960000000000001,2.3647407407407406,0.37037037037037035
random_3sat,progress_only,27,0.0,-0.5525925925925927,0.4074074074074074
random_3sat,maat_only,27,3.7479999999999976,3.460148148148149,0.25925925925925924
random_3sat,mode_a,27,0.7759999999999998,1.3751111111111112,0.3333333333333333
random_3sat,random,27,4.243999999999999,8.581629629629631,0.18518518518518517
xor3_cnf,progress_only,18,0.0,0.08711111111111126,0.1111111111111111
xor3_cnf,maat_only,18,0.16999999999999993,1.8982222222222218,0.2777777777777778
xor3_cnf,mode_a,18,0.0,-0.7259999999999996,0.3333333333333333
xor3_cnf,random,18,3.5560000000000005,4.202444444444445,0.16666666666666666
