Delta,Sigma_env,S_env,max_delta_mu_pct,max_delta_slip_pct,max_delta_Sigma_lens_pct
6184.2216,0,0.009470330186,0.01890860392,0.02836290588,0.03309273837
7122.594772,0,0.008526229664,0.01702359859,0.02553539789,0.02979347106
8203.35356,0,0.007675533582,0.01532508598,0.02298762897,0.0268206619
9448.103085,0,0.006909135927,0.01379488488,0.02069232731,0.02414247577
10881.72675,0,0.006218792881,0.01241653555,0.01862480333,0.02173009349
12532.8837,0,0.005597046047,0.01117514646,0.01676271968,0.01955744293
14434.58169,0,0.005037151575,0.01005725272,0.01508587908,0.01760095087
16624.837,0,0.004533014915,0.009050685869,0.0135760288,0.01583931463
19147.43435,0,0.004079130914,0.008144454234,0.01221668135,0.0142532924
22052.80222,0,0.003670528929,0.007328633355,0.01099295003,0.01282551119
25399.02092,0,0.003302722655,0.006594265807,0.009891398711,0.0115402913
29252.98369,0,0.002971664323,0.005933269754,0.008899904631,0.0103834861
33691.73392,0,0.002673702964,0.005338355618,0.008007533427,0.009342336066
38804.00532,0,0.002405546433,0.004802950248,0.007204425372,0.008405335947
44691.99574,0,0.002164226883,0.004321127998,0.006481691997,0.007562114037
51473.4102,0,0.001947069423,0.003887548143,0.005831322214,0.006803322598
59283.81388,0,0.001751663695,0.003497398122,0.005246097184,0.006120538453
68279.34219,0,0.001575838104,0.003146342098,0.004719513146,0.005506172917
78639.82197,0,0.001417636489,0.00283047437,0.004245711556,0.004953390235
90572.36643,0,0.001275297015,0.002546277232,0.003819415848,0.004456033782
104315.5154,0,0.001147233075,0.00229058284,0.003435874261,0.004008559321
120144.004,0,0.001032016036,0.002060538765,0.003090808147,0.003605974682
138374.2547,0,0.0009283596479,0.001853576859,0.002780365288,0.003243785271
159370.7028,0,0.0008351059643,0.001667385149,0.002501077724,0.002917944862
183553.082,0,0.0007512126361,0.001499882466,0.002249823699,0.002624811188
211404.8148,0,0.0006757414447,0.001349195548,0.002023793323,0.002361105862
243482.6768,0,0.0006078479589,0.001213638392,0.001820457588,0.002123878233
280427.9265,0,0.0005467722082,0.001091693628,0.001637540442,0.001910472787
322979.1253,0,0.0004918302734,0.0009819957332,0.0014729936,0.001718499766
371986.9012,0,0.0004424067084,0.0008833158989,0.001324973848,0.001545808675
428430.9536,0,0.00039794771,0.0007945483928,0.001191822589,0.001390464422
493439.6384,0,0.0003579549645,0.0007146982746,0.001072047412,0.001250725811
568312.5243,0,0.0003219801046,0.0006428703274,0.0009643054911,0.001125026173
654546.3724,0,0.000289619717,0.0005782590901,0.0008673886352,0.001011955916
753865.0571,0,0.0002605108463,0.0005201398802,0.0007802098204,0.0009102468195
868254.028,0,0.0002343269459,0.0004678607103,0.0007017910654,0.0008187578847
1000000,0,0.0002107742336,0.0004208350102,0.0006312525153,0.0007364625961
0.05,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.05758683333,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.06632486747,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.07638878177,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.08797976089,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.1013295165,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.1167049196,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.1344133351,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.1548087665,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.1782989327,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.2053534184,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.2365130616,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.2724007652,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.3137339493,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.361338893,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.4161672521,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.4793150838,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.5520447568,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.6358101881,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.7322859066,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.8434005291,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
0.9713753141,0.008333333333,0.9999305604,1.996476421,2.994714631,3.523728122
1.118768566,0.008333333333,0.970481299,1.937677582,2.906516372,3.419095226
1.288526779,0.008333333333,0.9441792416,1.885162498,2.827743747,3.325688153
1.484043538,0.008333333333,0.9198645306,1.836615379,2.754923069,3.239375584
1.709227357,0.008333333333,0.8960611088,1.789089109,2.683633663,3.154912239
1.968579819,0.008333333333,0.8722041232,1.741455892,2.612183838,3.070292826
2.267285559,0.008333333333,0.8480095891,1.693148721,2.539723081,2.984510906
2.611315912,0.008333333333,0.8233204623,1.643854038,2.465781057,2.897011488
3.007548284,0.008333333333,0.7980514095,1.593401467,2.3901022,2.807494529
3.463903635,0.008333333333,0.7721646172,1.541715507,2.312573261,2.715828788
3.989504826,0.008333333333,0.7456576811,1.488791359,2.233187039,2.622008627
4.59485899,0.008333333333,0.7185567979,1.434681328,2.152021991,2.526129652
5.292067577,0.008333333333,0.6909124007,1.379486108,2.069229162,2.428373053
6.095068271,0.008333333333,0.6627958919,1.323348263,1.985022394,2.328993839
7.019913613,0.008333333333,0.6342967858,1.266446518,1.899669777,2.228310558
8.085091905,0.008333333333,0.6055199041,1.208990163,1.813485244,2.126695214
9.311896801,0.008333333333,0.5765824493,1.151213204,1.726819807,2.024562797
10.72485298,0.008333333333,0.5476108982,1.093368169,1.640052254,1.922360201
12.35220642,0.008333333333,0.5187377301,1.035719567,1.55357935,1.820554604
14.22648905,0.008333333333,0.4900980602,0.9785371702,1.467805755,1.71962156
16.38516908,0.008333333333,0.461826279,0.922089306,1.383133959,1.620033151
18.87140002,0.008333333333,0.4340528177,0.8666363948,1.299954592,1.522246631
21.73488335,0.008333333333,0.4069011593,0.8124249845,1.218637477,1.426693981
25.0328621,0.008333333333,0.3804852078,0.7596824979,1.139523747,1.333772753
28.83126515,0.008333333333,0.3549071057,0.7086128738,1.062919311,1.243838521
33.20602522,0.008333333333,0.3302555607,0.6593932278,0.9890898417,1.157199144
38.2445968,0.008333333333,0.306604716,0.612171595,0.9182573925,1.074110947
