name,Delta,Sigma_env,S_env,chi2_growth,max_abs_C_env,max_abs_delta_D_pct,max_abs_delta_fsigma8_pct,max_abs_delta_mu_pct,max_abs_delta_slip_pct,max_abs_delta_Sigma_lens_pct,max_abs_delta_Weyl_proxy_pct,max_abs_delta_EG_proxy_pct,stable,description
"void",0.2,0.05,0.9975062344,12.5727571,0.9958179875,0.7637500686,0.542742022,1.991635975,2.987453962,3.51511256,2.724515817,2.296114914,True,"Underdense low-stabilization region; weakest screening."
"sheet",0.8,0.15,0.97799511,12.56542625,0.976339885,0.7489483893,0.5322446633,1.95267977,2.929019655,3.445786785,2.671031231,2.251049409,True,"Mildly underdense sheet-like environment."
"field",1,0.2,0.9615384615,12.55924552,0.9599110889,0.736459711,0.5233870329,1.919822178,2.879733267,3.38733169,2.625925646,2.213043687,True,"Mean-density field environment."
"filament",5,0.45,0.6147172901,12.42951484,0.6136769011,0.4723629999,0.3359360069,1.227353802,1.841030703,2.159167134,1.676605027,1.413092892,True,"Moderately overdense connected large-scale structure."
"cluster",100,0.85,0.1555138313,12.25931877,0.1552506292,0.1200210357,0.08543750277,0.3105012583,0.4657518875,0.5441002848,0.4234262144,0.3569133521,True,"Dense high-stability cluster-like environment."
"local_dense",1000000,0.95,0.000210734147,12.2021706,0.0002103774863,0.0001628787509,0.0001159832145,0.0004207549726,0.0006311324589,0.0007363225298,0.0005734425796,0.0004833823904,True,"Very high-density local-test proxy; near-complete screening."
