local_channel,observed_residual_spearman,shuffle_abs_p,null_mean,null_q025,null_q975,n_shuffles
short_variable_entropy,-0.014015572858731928,0.8990504747626187,0.0019050055617352618,-0.20535038932146832,0.2009232480533925,2000
paper69_degree_cv,0.2480533926585095,0.04897551224387806,-0.0019770856507230275,-0.2502892102335929,0.23384872080088975,2000
variable_occurrence_cv,-0.264071190211346,0.015492253873063468,-0.002871412680756398,-0.2080756395995551,0.21780867630700776,2000
