local_channel,support,spearman,pearson
short_variable_entropy,H,0.11941971723268745,-0.022337688699793027
short_variable_entropy,B,0.754234203649272,0.7748402500097137
short_variable_entropy,S,-0.6423794199459568,-0.4913798005821755
short_variable_entropy,V,-0.2670380274887713,-0.22231199654467784
short_variable_entropy,R_rob,-0.5327397512536622,-0.29734477823962663
short_variable_entropy,G_gate,-0.5327397512536622,-0.5724188299550084
paper69_degree_cv,H,0.18645258122078828,0.2666596892253398
paper69_degree_cv,B,-1.0,-0.9686753500044043
paper69_degree_cv,S,0.37406530657568676,-0.14172305483432035
paper69_degree_cv,V,0.01961848089498084,-0.2834238759466753
paper69_degree_cv,R_rob,0.21264629291916015,-0.392072364165751
paper69_degree_cv,G_gate,0.21264629291916015,0.06604771895488326
variable_occurrence_cv,H,0.03907400960335104,0.039575217736324955
variable_occurrence_cv,B,-0.8565306864859628,-0.6395760797293882
variable_occurrence_cv,S,0.5541714042131207,0.26669644801946385
variable_occurrence_cv,V,0.1792947971817199,0.21111542206006798
variable_occurrence_cv,R_rob,0.384429805335268,0.08979787435447455
variable_occurrence_cv,G_gate,0.384429805335268,0.37150228922363077
short_clause_pressure,H,-0.556584542986531,-0.40819731841035867
short_clause_pressure,B,-0.2359270042870759,0.11033146861900747
short_clause_pressure,S,0.8534149667021488,0.939603754879578
short_clause_pressure,V,0.760995052340832,0.6244955415297943
short_clause_pressure,R_rob,0.8458985333055583,0.9002602631479999
short_clause_pressure,G_gate,0.8458985333055583,0.7430464749055712
moms_local_signal,H,-0.5600895229385413,-0.38866460763724
moms_local_signal,B,-0.2295214357864176,0.08883112096084864
moms_local_signal,S,0.8431225128567669,0.9397862443364502
moms_local_signal,V,0.7984414759566788,0.6528267288362798
moms_local_signal,R_rob,0.851983234612617,0.9037345492165015
moms_local_signal,G_gate,0.851983234612617,0.7717441254548193
jw_variable_concentration,H,0.1368209392301291,0.11159300438324846
jw_variable_concentration,B,-0.5024035401815464,-0.27211397116573677
jw_variable_concentration,S,0.4933701395060921,0.504091044168159
jw_variable_concentration,V,0.5806400458369378,0.8381698483694976
jw_variable_concentration,R_rob,0.6691971331197901,0.5508353092590856
jw_variable_concentration,G_gate,0.6691971331197901,0.8861580635689565
clause_length_entropy,H,-0.486309742140331,-0.41106491969819187
clause_length_entropy,B,0.2119608442868357,-0.3291233887820111
clause_length_entropy,S,-0.3554734847397526,-0.16317964576401023
clause_length_entropy,V,-0.562958285142734,-0.7052791097590898
clause_length_entropy,R_rob,-0.6185149477595308,-0.4192923612812001
clause_length_entropy,G_gate,-0.6185149477595308,-0.5430302001550233
weighted_clause_pressure,H,-0.6668989806925353,-0.9257814955642808
weighted_clause_pressure,B,0.45510207187244156,0.4454353255669759
weighted_clause_pressure,S,-0.009833860135498166,0.31278810622753556
weighted_clause_pressure,V,-0.22113242511944833,-0.21356645225456888
weighted_clause_pressure,R_rob,-0.34816594593274847,0.14109194090845864
weighted_clause_pressure,G_gate,-0.34816594593274847,-0.36681594987649146
