local_channel,spearman_L_regret,pearson_L_regret,r2_L_from_supports,residual_spearman_regret,residual_pearson_regret,interpretation
short_variable_entropy,0.6429848084737971,0.5381071667615492,0.9606606631345043,-0.014015572858731928,-0.047789715936894565,weak_or_redundant
paper69_degree_cv,-0.5666809481504236,-0.5300558061153148,0.9638998879083627,0.2480533926585095,0.2603109843582536,weak_or_redundant
variable_occurrence_cv,-0.4877906492225806,-0.6376841434992575,0.722243810073233,-0.264071190211346,-0.24631029293808598,weak_or_redundant
short_clause_pressure,-0.3886742466327181,-0.13353311900695158,0.916560536832146,0.09899888765294775,0.04363674685732135,weak_or_redundant
moms_local_signal,-0.3375361701934772,-0.14580337525071396,0.9236839136136002,0.07274749721913239,0.04224019297969811,weak_or_redundant
jw_variable_concentration,-0.2170429368418519,-0.25902401283660437,0.9580741345593624,-0.1884315906562848,-0.03853934503157764,weak_or_redundant
clause_length_entropy,-0.21245058537152733,-0.21285473923739673,0.8651360041761176,0.1470522803114572,0.20980871891820752,weak_or_redundant
weighted_clause_pressure,0.21127444466832804,-0.07439717516939941,0.9897131581766826,-0.050500556173526154,-0.061758492761515627,weak_or_redundant
