Delta,q_tidal,Sigma_env,S_env,max_R_LG_minus1_pct,max_Sigma_lens_minus1_pct
0.049999999999999996,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.054923459093899424,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.060331727176784845,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.06627254299316887,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.07279834608267999,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.07996673966351217,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.08784099909562827,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.09649063041191994,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.105991983847473,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.11642892778255866,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.12789358904823858,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.14048716612925832,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.15432082244236342,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.16951666757500125,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.18620883514579453,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.20454466680105413,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.22468601279845965,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.24681066065815122,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.2711139044919252,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.2978102688629921,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.3271354023927947,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.3593481578297397,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.39473287694059644,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.4336019003932816,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.4762983247857492,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.5231990311572582,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.5747180117146696,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.6313100241387571,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.6934746057270739,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.7617604828061791,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.8367704143350853,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
0.9191665124543662,0.0,0.0,1.0,1.4999999999999107,3.529999999999789
1.0096760869453918,0.0,0.0,0.9953936076314942,1.4930904114471526,3.513601879733441
1.1090980651886733,0.0,0.0,0.972313977065562,1.4584709655982564,3.4314607538291853
1.2183100442902615,0.0,0.0,0.9542834007341532,1.4314251011011447,3.3673116068368536
1.3382760376252596,0.0,0.0,0.9376164744685771,1.406424711702782,3.308031400235656
1.4700549841771346,0.0,0.0,0.921528571199606,1.382292856799327,3.250826446424515
1.6148100957847167,0.0,0.0,0.9056764619453379,1.3585146929179261,3.1944751124201476
1.7738191248049533,0.0,0.0,0.8898718549182182,1.334807782377248,3.1383076497588425
1.9484856428240267,0.0,0.0,0.8739986769654995,1.3109980154481713,3.0819115799991748
2.1403514299739146,0.0,0.0,0.8579805755396819,1.2869708633094463,3.0250159344288097
2.3511100842148287,0.0,0.0,0.8417657289061957,1.2626485933592186,2.9674371374423414
2.582621970712551,0.0,0.0,0.8253188918600628,1.2379783377900206,2.909050659707879
2.8369306432687345,0.0,0.0,0.8086168796296345,1.2129253194443796,2.849774916444203
3.1162808827560013,0.0,0.0,0.791645840534278,1.1874687608013463,2.7895615359748493
3.4231385117830007,0.0,0.0,0.7743995220673583,1.1615992831009683,2.7283891658289594
3.7602121604933068,0.0,0.0,0.7568781144557513,1.1353171716835593,2.6662593349992214
4.130477175624747,0.0,0.0,0.7390874394230302,1.1086311591344793,2.603193545273852
4.5372018838742205,0.0,0.0,0.7210383472738595,1.0815575209107249,2.5392311044055482
4.9839764413945815,0.0,0.0,0.702746238015182,1.0541193570227103,2.4744274013043244
5.474744524077872,0.0,0.0,0.6842306528383071,1.0263459792573997,2.408852432522446
6.013838138354822,0.0,0.0,0.6655149010338245,0.9982723515506773,2.3425894561231786
6.6060158597852645,0.0,0.0,0.6466256994911642,0.9699385492366887,2.2757336920761873
7.256504836971333,0.0,0.0,0.6275928101219557,0.9413892151828775,2.2083910174862
7.971046931561563,0.0,0.0,0.6084486663725639,0.9126729995587916,2.1406766256921728
