dataset,model,target,spearman,pearson,r2,rmse,auroc_top_hard,hard_threshold
breast_cancer,MAAT_scalar_cost,misclassification_rate,0.3632864921405825,0.5094961759062437,-58.58202495701798,1.3752920649291576,0.6643356643356644,0.0
breast_cancer,MAAT_scalar_cost,hybrid_hardness,0.506561457357595,0.5959256792558558,-50.41002406367716,1.3334731907789381,0.8477461505630519,0.08851106587245093
breast_cancer,MAAT_robustness_loss,misclassification_rate,0.3650331048680179,0.4448560190928129,-4.07114920163449,0.4012273245831226,0.6649758692012213,0.0
breast_cancer,MAAT_robustness_loss,hybrid_hardness,0.5139390500807082,0.5973919325298486,-2.4136159928256298,0.3436115213736139,0.8541810302373682,0.08851106587245093
breast_cancer,label_disagreement,misclassification_rate,0.4621967887447116,0.601485982674624,0.24588356253121102,0.15472358203747774,0.6433566433566434,0.0
breast_cancer,label_disagreement,hybrid_hardness,0.7054012068902314,0.7188925445564738,0.48892131765239266,0.13295487570362194,0.8890639876555371,0.08851106587245093
breast_cancer,density_anomaly,misclassification_rate,0.040983743487770105,0.0514020918522306,-7.9605018312045495,0.5333391619381918,0.5523818904100594,0.0
breast_cancer,density_anomaly,hybrid_hardness,0.10514258430054942,0.10601191206183028,-5.908533907612288,0.48882491325108285,0.5975081256771398,0.08851106587245093
breast_cancer,centroid_distance,misclassification_rate,0.2294782601053375,0.1360764170856258,-0.5955234027840157,0.22505511972601422,0.6266949013427886,0.0
breast_cancer,centroid_distance,hybrid_hardness,0.3990046653056811,0.2292415941530908,-0.18705213904415952,0.2026260519813508,0.741242325749368,0.08851106587245093
breast_cancer,pca_reconstruction_error,misclassification_rate,-0.05366475600728975,-0.04226833644019127,-0.16605718578062723,0.19239652890194414,0.5053678715650547,0.0
breast_cancer,pca_reconstruction_error,hybrid_hardness,0.027804492294624287,0.019311087054279037,-0.1852640558514842,0.20247338439050128,0.5332742374995896,0.08851106587245093
breast_cancer,isolation_anomaly,misclassification_rate,-0.042853383138143,-0.026921528428043816,-1.9041180120015797,0.3036298310365609,0.5353918382087396,0.0
breast_cancer,isolation_anomaly,hybrid_hardness,-0.02037993384411548,-0.0073447102446171815,-1.2882961858551063,0.281330296220893,0.5221773531632686,0.08851106587245093
wine,MAAT_scalar_cost,misclassification_rate,0.28472588831257256,0.46078221488832427,-177.25731394964447,1.5567560218254872,0.7054302422723475,0.0
wine,MAAT_scalar_cost,hybrid_hardness,0.5740848510898163,0.5641231185062844,-130.1036754504304,1.5038978045922349,0.8048454469507101,0.14525103437225298
wine,MAAT_robustness_loss,misclassification_rate,0.2849214947311073,0.3856361526354112,-9.073244772645033,0.37006803051905235,0.6960735171261486,0.0
wine,MAAT_robustness_loss,hybrid_hardness,0.5947353470315312,0.5903983383131912,-3.7519816410281637,0.2863177475468774,0.8155388471177946,0.14525103437225298
wine,label_disagreement,misclassification_rate,0.37368332299115486,0.5611255209149397,-0.6327079080845461,0.1489879427581129,0.6844611528822055,0.0
wine,label_disagreement,hybrid_hardness,0.5880911606554803,0.7045732206511854,0.20117366321462282,0.11739161547812778,0.7568086883876357,0.14525103437225298
wine,density_anomaly,misclassification_rate,0.17213957577777497,0.1764967534347162,-13.697265412516487,0.44700784365864754,0.5974937343358395,0.0
wine,density_anomaly,hybrid_hardness,0.51254828822177,0.38725285498689416,-6.612472375341013,0.36238795696703924,0.7490392648287385,0.14525103437225298
wine,centroid_distance,misclassification_rate,0.23083335627264523,0.2712968052262683,-6.830818756247653,0.3262875188357073,0.6006683375104428,0.0
wine,centroid_distance,hybrid_hardness,0.5797554921701533,0.47602450032758553,-2.4823315369946517,0.2451014890703809,0.7886382623224729,0.14525103437225298
wine,pca_reconstruction_error,misclassification_rate,0.0011825297120507596,0.06651224031184079,-2.051171531488125,0.2036714649076845,0.5162907268170426,0.0
wine,pca_reconstruction_error,hybrid_hardness,0.3569705796927215,0.20099711934773418,-0.6987010865251682,0.1711864453703438,0.6649958228905597,0.14525103437225298
wine,isolation_anomaly,misclassification_rate,0.04049645610391373,0.07196316021030906,-6.450313901169627,0.31826154066753304,0.5179615705931495,0.0
wine,isolation_anomaly,hybrid_hardness,0.2542202655732507,0.18501666286512322,-2.7193605526287015,0.25330574053255617,0.6016708437761069,0.14525103437225298
digits,MAAT_scalar_cost,misclassification_rate,0.3197027132708979,0.3800513425868549,-40.67721986580191,1.3606884701936761,0.641920316753279,0.0
digits,MAAT_scalar_cost,hybrid_hardness,0.326561602379953,0.3936455637639987,-49.341987972283746,1.301228241558893,0.7220885919326899,0.23202049822877502
digits,MAAT_robustness_loss,misclassification_rate,0.34042766468663815,0.40233294443553913,-2.2236335902321787,0.37842704848036274,0.651373422420193,0.0
digits,MAAT_robustness_loss,hybrid_hardness,0.4030486877106009,0.4493075933891901,-0.8714444199852638,0.25088619591704653,0.7547438752783965,0.23202049822877502
digits,label_disagreement,misclassification_rate,0.4539008292314943,0.551655014948705,0.24212614695615442,0.1834880546432047,0.6878099480326652,0.0
digits,label_disagreement,hybrid_hardness,0.6268168905172705,0.6189415458313049,-0.25571649154941856,0.20551053921245127,0.8041483131238142,0.23202049822877502
digits,density_anomaly,misclassification_rate,0.30560772326316654,0.2185746386688597,-5.270838537667697,0.527803351469896,0.6494003134537656,0.0
digits,density_anomaly,hybrid_hardness,0.5205317243984082,0.3361197548568363,-3.1206945566106414,0.37228326297309444,0.7499249360719294,0.23202049822877502
digits,centroid_distance,misclassification_rate,0.3574660136375544,0.20607846578135655,0.027698101665316832,0.20783079606201027,0.6734372680029695,0.0
digits,centroid_distance,hybrid_hardness,0.5368922765967818,0.27151403717843237,-0.5659357094639978,0.22949607571181047,0.7337820671450961,0.23202049822877502
digits,pca_reconstruction_error,misclassification_rate,0.2086336349927765,0.06929956725739594,-0.0494363994997038,0.2159172777369753,0.609900189722016,0.0
digits,pca_reconstruction_error,hybrid_hardness,0.3544541624535739,0.09721341164501252,-1.0771223983821918,0.26431349916117997,0.6759317000742391,0.23202049822877502
digits,isolation_anomaly,misclassification_rate,0.11056589420582728,0.08780941831568514,-2.0217479370875613,0.3663856464827273,0.5558706590777861,0.0
digits,isolation_anomaly,hybrid_hardness,0.02080240484774883,0.08362136799976858,-0.9344336303480483,0.2550734267526747,0.5043652561247216,0.23202049822877502
