model,mean_spearman,median_spearman,mean_auroc,mean_r2,positive_fraction
external_geometry,0.3888524644077666,0.4188159837787867,0.6684905726093815,0.13856144176691135,1.0
combined_geometry,0.3823600803979977,0.39326206232615324,0.6666150566189364,0.35949514106776687,1.0
MAAT_supports,0.3241226035208022,0.3290340484052194,0.6393128866509077,0.24810390879769506,1.0
label_geometry,0.3106948351513352,0.320060474596338,0.6437787897268951,0.3309304016767443,1.0
MAAT_v14_field,0.2795222647440447,0.33934741454471645,0.6190832388403357,-0.423833518533886,1.0
MAAT_defects,0.24344464450800105,0.36721617532726114,0.5813022408596242,0.13313682494027126,0.6666666666666666
