dataset,model,target,spearman,pearson,r2,rmse,auroc_top_hard,hard_threshold,null_id
wine,MAAT_v14_field_shuffled_null,misclassification_rate,-0.023721723847755085,0.006085515877129329,-0.20742272031274722,0.12812283716823802,0.5077694235588972,0.0,0
wine,MAAT_v14_field_shuffled_null,misclassification_rate,0.07989929450420158,0.06918370629501738,-0.1245497655644574,0.12364774913905398,0.5244778613199665,0.0,1
wine,MAAT_v14_field_shuffled_null,misclassification_rate,0.07257294500999235,0.01491655613611281,-0.11442737732277353,0.12308999712452043,0.5560568086883877,0.0,2
wine,MAAT_v14_field_shuffled_null,misclassification_rate,0.06281040648494171,-0.011988688842303828,-0.18457634066775963,0.12690490327381698,0.44728487886382623,0.0,3
wine,MAAT_v14_field_shuffled_null,misclassification_rate,0.21151277684192116,0.15630027871242927,-0.15506981893335636,0.1253144041320471,0.5916457811194653,0.0,4
wine,MAAT_v14_field_shuffled_null,misclassification_rate,0.0823088099325155,0.048916374726756195,-0.1476064509272179,0.12490889479217933,0.5587301587301587,0.0,5
wine,MAAT_v14_field_shuffled_null,misclassification_rate,0.004247030269094582,0.03728743240858753,-0.0651176717375701,0.12033602745181829,0.48220551378446114,0.0,6
wine,MAAT_v14_field_shuffled_null,misclassification_rate,0.06120109913245159,0.10691941409195439,-0.1133760717424328,0.12303192437038547,0.5812865497076024,0.0,7
wine,MAAT_v14_field_shuffled_null,misclassification_rate,0.14973374965470793,0.0854088656201955,-0.12112192630229446,0.12345915450994106,0.5076023391812865,0.0,8
wine,MAAT_v14_field_shuffled_null,misclassification_rate,0.14506290547878814,0.17209318375188126,-0.025339842562468906,0.11806761542265248,0.5213032581453634,0.0,9
wine,MAAT_v14_field_shuffled_null,misclassification_rate,0.02833329335139163,-0.01867144026190566,-0.20085402391104323,0.12777385095126914,0.5124477861319967,0.0,10
wine,MAAT_v14_field_shuffled_null,misclassification_rate,0.06685590286827327,-0.03381757058077668,-0.2497772444775066,0.1303506441733997,0.5253132832080201,0.0,11
wine,MAAT_v14_field_shuffled_null,misclassification_rate,0.1750766357894098,0.08283830204535213,-0.09762010406811772,0.12215827791395437,0.519966583124478,0.0,12
wine,MAAT_v14_field_shuffled_null,misclassification_rate,0.08184054002147786,0.02461701741549847,-0.21649529606628892,0.12860329389449007,0.5969924812030075,0.0,13
