dataset,model,target,spearman,pearson,r2,rmse,auroc_top_hard,hard_threshold
digits,MAAT_scalar_cost,misclassification_rate,0.3197027132708979,0.3800513425868549,-40.67721986580191,1.3606884701936761,0.641920316753279,0.0
digits,MAAT_scalar_cost,hybrid_hardness,0.326561602379953,0.3936455637639987,-49.341987972283746,1.301228241558893,0.7220885919326899,0.23202049822877502
digits,MAAT_robustness_loss,misclassification_rate,0.34042766468663815,0.40233294443553913,-2.2236335902321787,0.37842704848036274,0.651373422420193,0.0
digits,MAAT_robustness_loss,hybrid_hardness,0.4030486877106009,0.4493075933891901,-0.8714444199852638,0.25088619591704653,0.7547438752783965,0.23202049822877502
digits,label_disagreement,misclassification_rate,0.4539008292314943,0.551655014948705,0.24212614695615442,0.1834880546432047,0.6878099480326652,0.0
digits,label_disagreement,hybrid_hardness,0.6268168905172705,0.6189415458313049,-0.25571649154941856,0.20551053921245127,0.8041483131238142,0.23202049822877502
digits,density_anomaly,misclassification_rate,0.30560772326316654,0.2185746386688597,-5.270838537667697,0.527803351469896,0.6494003134537656,0.0
digits,density_anomaly,hybrid_hardness,0.5205317243984082,0.3361197548568363,-3.1206945566106414,0.37228326297309444,0.7499249360719294,0.23202049822877502
digits,centroid_distance,misclassification_rate,0.3574660136375544,0.20607846578135655,0.027698101665316832,0.20783079606201027,0.6734372680029695,0.0
digits,centroid_distance,hybrid_hardness,0.5368922765967818,0.27151403717843237,-0.5659357094639978,0.22949607571181047,0.7337820671450961,0.23202049822877502
digits,pca_reconstruction_error,misclassification_rate,0.2086336349927765,0.06929956725739594,-0.0494363994997038,0.2159172777369753,0.609900189722016,0.0
digits,pca_reconstruction_error,hybrid_hardness,0.3544541624535739,0.09721341164501252,-1.0771223983821918,0.26431349916117997,0.6759317000742391,0.23202049822877502
digits,isolation_anomaly,misclassification_rate,0.11056589420582728,0.08780941831568514,-2.0217479370875613,0.3663856464827273,0.5558706590777861,0.0
digits,isolation_anomaly,hybrid_hardness,0.02080240484774883,0.08362136799976858,-0.9344336303480483,0.2550734267526747,0.5043652561247216,0.23202049822877502
