dataset,model,target,spearman,pearson,r2,rmse,auroc_top_hard,hard_threshold
wine,MAAT_scalar_cost,misclassification_rate,0.28472588831257256,0.46078221488832427,-177.25731394964447,1.5567560218254872,0.7054302422723475,0.0
wine,MAAT_scalar_cost,hybrid_hardness,0.5740848510898163,0.5641231185062844,-130.1036754504304,1.5038978045922349,0.8048454469507101,0.14525103437225298
wine,MAAT_robustness_loss,misclassification_rate,0.2849214947311073,0.3856361526354112,-9.073244772645033,0.37006803051905235,0.6960735171261486,0.0
wine,MAAT_robustness_loss,hybrid_hardness,0.5947353470315312,0.5903983383131912,-3.7519816410281637,0.2863177475468774,0.8155388471177946,0.14525103437225298
wine,label_disagreement,misclassification_rate,0.37368332299115486,0.5611255209149397,-0.6327079080845461,0.1489879427581129,0.6844611528822055,0.0
wine,label_disagreement,hybrid_hardness,0.5880911606554803,0.7045732206511854,0.20117366321462282,0.11739161547812778,0.7568086883876357,0.14525103437225298
wine,density_anomaly,misclassification_rate,0.17213957577777497,0.1764967534347162,-13.697265412516487,0.44700784365864754,0.5974937343358395,0.0
wine,density_anomaly,hybrid_hardness,0.51254828822177,0.38725285498689416,-6.612472375341013,0.36238795696703924,0.7490392648287385,0.14525103437225298
wine,centroid_distance,misclassification_rate,0.23083335627264523,0.2712968052262683,-6.830818756247653,0.3262875188357073,0.6006683375104428,0.0
wine,centroid_distance,hybrid_hardness,0.5797554921701533,0.47602450032758553,-2.4823315369946517,0.2451014890703809,0.7886382623224729,0.14525103437225298
wine,pca_reconstruction_error,misclassification_rate,0.0011825297120507596,0.06651224031184079,-2.051171531488125,0.2036714649076845,0.5162907268170426,0.0
wine,pca_reconstruction_error,hybrid_hardness,0.3569705796927215,0.20099711934773418,-0.6987010865251682,0.1711864453703438,0.6649958228905597,0.14525103437225298
wine,isolation_anomaly,misclassification_rate,0.04049645610391373,0.07196316021030906,-6.450313901169627,0.31826154066753304,0.5179615705931495,0.0
wine,isolation_anomaly,hybrid_hardness,0.2542202655732507,0.18501666286512322,-2.7193605526287015,0.25330574053255617,0.6016708437761069,0.14525103437225298
