model,mean_spearman,median_spearman,mean_auroc,positive_fraction
label_disagreement,0.42992698032245363,0.4539008292314943,0.6718759147571713,1.0
MAAT_robustness_loss,0.3301274214285878,0.34042766468663815,0.6708076029158544,1.0
MAAT_scalar_cost,0.32257169790801765,0.3197027132708979,0.6705620744537636,1.0
centroid_distance,0.2725925433385124,0.23083335627264523,0.6336001689520669,1.0
density_anomaly,0.17291034750957054,0.17213957577777497,0.5997586460665548,1.0
pca_reconstruction_error,0.05205046956584584,0.0011825297120507596,0.5438529293680378,0.6666666666666666
isolation_anomaly,0.03606965572386601,0.04049645610391373,0.5364080226265584,0.6666666666666666
