dataset,actual,null_mean,null_p95,margin_vs_p95
breast_cancer,0.33934741454471645,-0.007785918021054107,0.07244770490082425,0.2668997096438922
wine,0.092507017298848,0.013391630335592375,0.17028739045560423,-0.07778037315675623
digits,0.40671236238856956,-0.010154951731635243,0.032583530590788716,0.37412883179778084
