model,features,n_features,cv_r2_mean,cv_r2_std,oof_r2,oof_rmse
MAAT scalar/supports,H+B+S+V+R_resp+R_rob+F_maat,7,0.538298420780208,0.015080372292800515,0.5359024223943121,0.07657248377627146
MAAT v1.4 field features,H+B+S+V+R_resp+R_rob+F_maat+channel_conflict+damping_pressure+coherence_exposure+x_exposure,11,0.7424262312150661,0.005664206649894256,0.7460872040884692,0.056638321911827494
Rates only,gamma_z+gamma_x+gamma_m+t,4,0.054174818578125936,0.054660969188764515,0.04987175632846497,0.10956180986469581
Basis geometry only,basis_z+basis_x+basis_y+offdiag,4,-0.11336530993224633,0.03310862057289676,-0.07682861233966776,0.11663835259615919
Hamiltonian only,H+hx+hz,3,-0.04060338001165964,0.02409995723266439,-0.036414893600194675,0.11442868480174948
Domain combo,gamma_z+gamma_x+gamma_m+t+basis_z+basis_x+basis_y+offdiag+hx+hz,10,0.13620914968965922,0.029098000015813193,0.1391063633812032,0.10429003964615338
