instance_id,theta,phi,target,gamma_z,gamma_x,gamma_m,hx,hz,t,H,B,S,V,R_resp,R_rob,F_maat,basis_z,basis_x,basis_y,offdiag,channel_conflict,damping_pressure,coherence_exposure,x_exposure
0,0.5904071427154821,0.15292791697144897,0.6209363857664254,0.22953436541724292,2.6487753396149465,0.4206986051578032,0.4549443807594563,0.8502242629782204,0.684636206731486,0.8533644395907477,0.7050539025452889,0.6423848250959411,0.6054909740171326,0.7142027398973148,0.6955285350558102,1.815416194477038,0.8307140918982453,0.5502022166842085,0.08480340958627111,0.5566992882352857,0.15949247227729868,0.12752274792949744,0.3619842319062437,2.2003750008906966
1,1.2796267695294905,5.6042654298012975,0.5756891513420314,0.009132219365163508,1.7724311083615398,0.8242400720510699,0.9509080217134711,1.3576317236782212,1.3282933874557024,0.3629480197113409,0.515541375802656,0.5107490240757893,0.5988844110202097,0.4821146426667366,0.4821146426667366,3.5901703270825793,0.2870727503640902,0.7454938881987637,0.6015214864463995,0.957908782712841,0.010251916643694292,0.3163093854743784,0.7982946372171351,0.50881667310822
2,1.8039004359268178,3.230293268428883,0.5325007649977047,1.9868104119033838,0.8568303168654077,1.0433181192619363,0.4450572188691384,1.022329399263504,0.42309057354270607,0.4418717671082797,0.5099026311711655,0.5068541793985454,0.33170660951608755,0.42122345302689806,0.42122345302689806,4.137899195060916,0.2309987870926144,0.9691290435594381,0.08618849860224921,0.9729540381548046,0.6026290931882857,0.26841501545359814,2.948175790525385,0.19792676394008965
3,1.7790135289213795,0.6994208764044724,0.3873528474182107,0.6833923110299723,0.050403745293466806,1.0460138691727874,0.3887743318341004,0.8298081781170729,1.3990208344788722,0.4376627310150074,0.5078842979741117,0.5054587007017747,0.10057519179437588,0.2817074984987735,0.2817074984987735,5.749832866892367,0.20671593805366906,0.7486872604699726,0.6298697539686747,0.9784010021226427,0.13737807626396237,0.5877109989037519,1.6920527397874718,0.010419257489757198
4,1.2186384172963063,4.2649389182279105,0.5348284642855973,0.8998104815118932,1.456228596265385,0.7016888007750341,1.0639618581685897,1.2927171283802317,1.2445182630727343,0.29694078360134785,0.5229055883993304,0.5158280325950844,0.37406618993310814,0.3872700068666265,0.3872700068666265,4.45651437499602,0.3449240888179175,0.40611545344872424,0.8462255086105988,0.9386305838577441,0.7638332402881074,0.2294804602125094,1.5032162063807368,0.5022883216774329
5,0.3082680038200795,2.2968607080482855,0.5623366308760018,1.860196686174549,1.2607658817346574,0.24549461674973605,0.06023183784286262,1.2877098044391249,1.078980354734721,0.6212102210523538,0.8612969278646497,0.7672190373445846,0.6714483590659343,0.7108883044033464,0.7108883044033464,1.629942766689322,0.9528605016046303,0.20144269848678603,0.22688698443968564,0.3034087416040816,0.8079339974778135,0.07292373058192757,0.6388851484269162,1.2013340104756898
6,1.0832281366296468,5.046906561791269,0.5965242571069571,0.4202273016907462,2.0331730993257775,1.9098589232929881,0.4232214507389979,0.33689527859959306,1.368376690336502,0.6045792577954499,0.5448654928695341,0.5309335924357961,0.3853384454379121,0.5025681509828168,0.5025681509828168,3.385214414523816,0.46847883299361626,0.2900567048683507,0.8345026608692473,0.8834747212212354,0.3425672397517838,0.43771382384996943,2.0585722780389455,0.952498560846154
7,2.2941572820353775,1.6673118500660702,0.4654099684754354,2.288629108565943,1.4459343388112114,1.1564649914269696,0.3127931549001899,1.2557673823274016,0.40029971676725706,0.42098686378362266,0.6040405177851739,0.5715640076870211,0.33107708191209184,0.4382829520322458,0.4382829520322458,3.8589410633789365,0.6619077284117943,0.07223435106087382,0.7460967481470163,0.7495853247421123,0.7743525363462911,0.23644618016359223,2.5823919797103225,0.9570751136351388
8,1.152404266770761,2.8554717002839203,0.6488502325826209,0.21008436415514364,1.0199378981790947,1.0888699222033063,0.7172632784608082,0.7932346011484052,0.637706553673582,0.4083338231300025,0.5326483185152557,0.5225360895795255,0.6131496174574874,0.5109057521424293,0.5109057521424293,3.3353417922011563,0.406291734357291,0.8765959845356782,0.2578885543967961,0.913743413980612,0.3415944094488037,0.4695647039838506,1.1869109242219196,0.4143923375879145
9,0.871658620984434,5.9110979864811455,0.5629374276182824,2.2488094793973543,2.3349310363196225,0.9570902204006355,1.2399410689960746,1.2507690001207838,1.0084521639276023,0.5862742076719791,0.5965982580784011,0.5664446970687239,0.6728302547606633,0.6173945058879624,0.6042427513045258,2.518896269994714,0.6435579288409891,0.7130216520307364,0.2782684242979359,0.7653974080344776,0.9812115112914984,0.17273406569915964,2.4537873206438916,1.5026633817204005
