step,t,loss,lambda_norm,lambda_star_norm,tracking_error,mean_defect_norm,target_defect_norm,stability,cov_trace,cov_log_kappa,lambda_H,lambda_star_H,mean_d_H,target_d_H,lambda_B,lambda_star_B,mean_d_B,target_d_B,lambda_S,lambda_star_S,mean_d_S,target_d_S,lambda_V,lambda_star_V,mean_d_V,target_d_V,lambda_R,lambda_star_R,mean_d_R,target_d_R
14,1.12,0.01126011866483506,0.7583118853665176,2.5170780140484075,1.7589426924759601,0.40669227190579765,0.2570992026436488,0.8427866810634665,0.13185853545954643,0.9612972440169427,0.49175353007861067,1.6110101587743884,0.1902575604216002,0.12,0.22284910722447854,0.7726329809271331,0.16022525059825207,0.1,0.44296604548052604,1.4655092734622217,0.21801478031156205,0.14,0.16362877855717625,0.5647779600367883,0.17840214748479877,0.11,0.24609015000977066,0.822602394336512,0.15546949263299586,0.1
15,1.2,0.010639822247045449,0.7925553912874282,2.4709521359658115,1.6786025992263058,0.4024545004369297,0.2570992026436488,0.8441794839258503,0.13071499644919676,0.9593014307426634,0.5135092975183765,1.5795419020669006,0.18827518919255787,0.12,0.2336360030140971,0.7621938967054059,0.1585151214437716,0.1,0.46286237592286106,1.4377825675972769,0.21580887804041574,0.14,0.17149544223590518,0.5569619624936226,0.17645895649718613,0.11,0.25732120387543705,0.8076428432930908,0.15389541630916984,0.1
16,1.28,0.010070356143055865,0.825228239357167,2.4266858699865987,1.601694327314945,0.398449344134731,0.2570992026436488,0.8455000833191278,0.1296252317937266,0.95738108750568,0.5342286511532621,1.549476979262661,0.18640191378516427,0.12,0.2440032354258584,0.751997623602162,0.1568984686327641,0.1,0.4818285193699296,1.4111695482762874,0.21372436916492715,0.14,0.17905266558408356,0.5493566096448236,0.17462225375960053,0.11,0.26803961888165834,0.7932419541865013,0.15240747828204035,0.1
17,1.36,0.009547021120573141,0.8563977019538495,2.3842092827886248,1.5280804117830076,0.3946631246377843,0.2570992026436488,0.8467523091804212,0.12858706486966442,0.9555352227624939,0.5539590981874117,1.520751002860743,0.18463130973368733,0.12,0.2539640139278304,0.7420421605244589,0.15536979230888961,0.1,0.49990461656012675,1.3856333788797874,0.21175413061297607,0.14,0.18631075240453635,0.5419570066067232,0.17288576958065952,0.11,0.27826659691241584,0.7793885204195334,0.15100062217627047,0.1
18,1.44,0.009065596741932485,0.8861283870720128,2.3434563997258127,1.4576300035833305,0.39108305021025663,0.2570992026436488,0.8479397830941833,0.12759834898806344,0.953762561082815,0.5727459933135646,1.4933038544950519,0.18295736848054706,0.12,0.2635312661845251,0.7323266267625653,0.15392395167735992,0.1,0.5171292946830729,1.3611385227074337,0.2098914981619042,0.14,0.19327972213493097,0.5347592389242678,0.17124364238178896,0.11,0.2880226707280481,0.7660702876940302,0.14967011900719043,0.1
19,1.52,0.008622288668634924,0.9144823579386246,2.3043646196733336,1.390218170175451,0.3876971514871055,0.2570992026436488,0.8490659296088002,0.12665697831600717,0.952061599526502,0.590632656396609,1.467079147465788,0.18137446743046354,0.12,0.27271765790550767,0.7228508522336546,0.15255613864981385,0.1,0.5335397196450875,1.3376505427838017,0.20813023338585346,0.14,0.19996932976362256,0.5277601035695103,0.1696903889613216,0.11,0.29732770129998903,0.7532741993250954,0.1484115434886912,0.1
20,1.6,0.008213682147215802,0.9415192409093568,2.266874239781543,1.325725317035318,0.38449422232884034,0.2570992026436488,0.8501339870272993,0.12576089625809922,0.9504306555968237,0.6076604788218316,1.4420237776577394,0.17987734234786062,0.12,0.2815356058794744,0.7136150566038436,0.15126185361294078,0.1,0.5491716442742407,1.3151359511027458,0.20646449323467037,0.14,0.20638908102859777,0.5209568930123828,0.16822087713203554,0.11,0.30620087926054157,0.740986599327617,0.14722075222599174,0.1
21,1.68,0.00783670091148691,0.9672963236893964,2.230928071127009,1.26403670903385,0.3814637653676308,0.2570992026436488,0.851147017671814,0.1249081017506175,0.9488679079608503,0.6238690202103906,1.4180875482497781,0.17846106191272118,0.12,0.2899972857903129,0.7046196014214015,0.1500368831462642,0.1,0.564059453334115,1.2935620972679578,0.20488880202527304,0.14,0.21254824387620647,0.514347223409033,0.16683030053790887,0.11,0.3146607296892329,0.7291934006951087,0.14609386363659677,0.1
22,1.76,0.007488570834861203,0.9918686455612825,2.196471129374484,1.2050420741461798,0.37859594185662815,0.2570992026436488,0.8521079176282582,0.12409665384456517,0.9473714309618416,0.6392960969258291,1.3952228559823185,0.1771210042619585,0.12,0.2981146361146609,0.6958648020077121,0.14887727952664095,0.1,0.57823620603336,1.2728970882963635,0.20339802564303402,0.14,0.2184558569864802,0.507928899389893,0.16551415546973,0.11,0.3227251195950595,0.7178802249805615,0.1450272394550306,0.1
23,1.84,0.0071667877521217225,1.0152890810007564,2.163450387159504,1.1486352748642183,0.3758815254637884,0.2570992026436488,0.8530194259826694,0.1233246748901256,0.9459392238050809,0.6539778635617427,1.3733844287215096,0.17585283535536245,0.12,0.3058993591533075,0.6873507880469925,0.147779341869113,0.1,0.5917336765695667,1.2531097328436895,0.20198734776679786,0.14,0.22412073602935972,0.5016998091304554,0.16426821951279477,0.11,0.3304112675670979,0.7070325181969788,0.14401746768856605,0.1
24,1.92,0.006869088944331373,1.0376084178103848,2.131814577066986,1.0947140351101416,0.37331185967978275,0.2570992026436488,0.8538841335642932,0.12259035258196371,0.9445692351748498,0.6679488884047027,1.3525291057097444,0.17465248901699212,0.12,0.31336292004336946,0.6790774036564058,0.14673959876546988,0.1,0.6045823931250698,1.2341695043447207,0.20065224794641903,0.14,0.22955147819667707,0.4956578443952269,0.1630885318730159,0.11,0.33773575515877674,0.6966356471510409,0.14306134690212186,0.1
25,2.0,0.006593427845095312,1.058875430691518,2.101514035896197,1.043179712476666,0.37087881853646915,0.2570992026436488,0.8547044912129668,0.12189194108061344,0.9432593839338917,0.6812422237021521,1.332615653277176,0.1735161485143167,0.12,0.320516544427804,0.6710441392650951,0.14575479229311683,0.1,0.6168116756342299,1.2160465185830756,0.19938848137610254,0.14,0.2347564654545765,0.4898008410916498,0.16197137524022642,0.11,0.34471453964711435,0.6866749795756574,0.14215587172071564,0.1
26,2.08,0.0063379515823809044,1.0791369510011644,2.0725005824272293,0.9939371073197382,0.3685747703576325,0.2570992026436488,0.8554828175900215,0.12122776138841516,0.942007576464796,0.6938894714271907,1.3136046099540815,0.17244022954830127,0.12,0.32737121531781244,0.6632500889282273,0.14482186327743363,0.1,0.6284496725625628,1.1987115220508742,0.19819206022021998,0.14,0.23974386687714852,0.4841265365831768,0.16091325905915824,0.11,0.35136296787043675,0.6771359508132355,0.1412982194473375,0.1
27,2.16,0.006100981018726097,1.0984379332959473,2.0447274221883776,0.9468943016570789,0.36639254428731144,0.2570992026436488,0.8562213065528752,0.12059620112784493,0.9408117211341993,0.7059208451167045,1.2954581559028788,0.17142136453792037,0.12,0.33393766956732707,0.6556939277935432,0.14393793770076743,0.1,0.6395233968745005,1.182135888159451,0.19705923636072067,0.14,0.24452164035189072,0.4786325406142589,0.15991090408955808,0.11,0.3576957908989884,0.6680041192980187,0.14048573770289527,0.1
28,2.24,0.0058809929949013755,1.1168215191457351,2.0181490738088175,0.9019625220281573,0.3643253993628719,0.2570992026436488,0.8569220341139631,0.11999571384460958,0.9396697402927309,0.7173652282627239,1.2781400024176734,0.170456388092243,0.12,0.3402263942830053,0.6483739053512386,0.14310031416042215,0.1,0.6500587613158813,1.1662916189435333,0.19598648544672473,0.14,0.2490975338889718,0.47331631720594436,0.1589612281470269,0.11,0.3637271793345083,0.659265212674986,0.13971593300293583,0.1
29,2.32,0.005676604518804086,1.1343290986008376,1.992721312455519,0.8590560214812756,0.36236699592018395,0.2570992026436488,0.8575869650047246,0.11942481793668197,0.93857958016563,0.7282502296561474,1.2616152979339001,0.16954232357217647,0.12,0.34624762341468956,0.6412878508672206,0.14230645228656943,0.1,0.660080613097177,1.1511513503806723,0.1949704921374154,0.14,0.25347908671744995,0.4681751753128785,0.15806133292558308,0.11,0.36947073906898154,0.6509051660581701,0.1389864601932807,0.1
30,2.4,0.005486558673295752,1.1510003696155078,1.9684011266278203,0.8180919767053535,0.36051136913682924,0.2570992026436488,0.8582179588651412,0.1188820952928142,0.9375392189389578,0.7386022360146418,1.245850547580868,0.16867637065229252,0.12,0.3520113347072338,0.6344331880419015,0.1415539620388623,0.1,0.669612768032127,1.1366883598446735,0.19400813643899947,0.14,0.25767363031102264,0.46320626639608303,0.15720849181158547,0.11,0.37493952736078656,0.6429101536592339,0.13829511267349673,0.1
31,2.48,0.005309712044486076,1.166873395664088,1.9451466852365262,0.7789903970399157,0.3587529045362808,0.2570992026436488,0.8588167760788895,0.11836618970939546,0.9365466733034438,0.7484464621704585,1.2308135438054797,0.16785589380080587,0.12,0.35752724714261885,0.6278069564764877,0.1408405938077572,0.1,0.6786780441622581,1.1228765745386795,0.1930964810453193,0.14,0.26168828945227535,0.4584065873736574,0.15640013860656607,0.11,0.3801460691095179,0.6352666147973544,0.13763981334334305,0.1
32,2.56,0.005145023496179762,1.1819846617320984,1.9229173124462504,0.7416740426987002,0.3570863152915746,0.2570992026436488,0.8593850832735853,0.11787580514231043,0.9356000036812616,0.7578069990473446,1.2164733060147639,0.16707841160283438,0.12,0.362804818959336,0.6214058379784761,0.140164229253144,0.1,0.6872982948794446,1.1096905800215868,0.19223275959972563,0.14,0.2655299834167061,0.45377298767381335,0.15563385708379357,0.11,0.38510237322978946,0.6279612751230959,0.1370186062130074,0.1
33,2.64,0.004991544137312433,1.1963691288208866,1.9016734682253242,0.7060683500476665,0.35550662118121423,0.2570992026436488,0.8599244585048913,0.11740970384030211,0.9346973183293892,0.7667068596171545,1.2028000275378392,0.16634158685853226,0.12,0.367853246302446,0.615226186114837,0.1395228728189117,0.1,0.6954944415450881,1.0971056281616178,0.1914143658031451,0.14,0.2692054273350803,0.44930217933541605,0.15490737131001106,0.11,0.38981994904009615,0.6209811637451224,0.13642964862312232,0.1
34,2.72,0.004848408347622172,1.210060287069444,1.881376732939243,0.6721013622010953,0.3540091290630027,0.2570992026436488,0.8604363961424982,0.1169667043978908,0.9338367764861398,0.7751680229949122,1.1897650285050383,0.16564321739360086,0.12,0.37268146253110945,0.6092640577356184,0.13891464386757305,0.1,0.7032865055947848,1.085097644029924,0.19063884329991898,0.14,0.27272113377413176,0.44499074928765364,0.1542185366698199,0.11,0.39430982259594577,0.6143136268325773,0.13587120402526687,0.1
35,2.8000000000000003,0.004714825742894588,1.2230902075691947,1.8619897946527233,0.6397036635527743,0.35258941474330974,0.2570992026436488,0.8609223114751744,0.11654567975888312,0.9330165907041028,0.7832114768048581,1.1773407134922107,0.16498122752509123,0.12,0.3772981381894938,0.6035152454503288,0.13833776938404702,0.1,0.7106936401107337,1.073643231392231,0.1899038762790413,0.14,0.2760834145606435,0.4408351730997197,0.1535653315357087,0.11,0.398582552907477,0.6079463381725072,0.13534163527796036,0.1
36,2.88,0.004590073975185927,1.235489592925763,1.843476438080771,0.608808317153101,0.351243306130013,0.2570992026436488,0.861383545051245,0.11614555519566001,0.932235028492757,0.790857257928521,1.1655005329879993,0.16435366013035257,0.12,0.3817116816308604,0.5979753102578234,0.13779057720225749,0.1,0.7177341608399717,1.0627196765726328,0.189207280733892,0.14,0.27929838286192427,0.4368318296246818,0.15294584953172208,0.11,0.4026482479910288,0.6018673070850653,0.13483939841705503,0.1
37,2.96,0.004473492275739856,1.2472878266048688,1.8258015343595122,0.5793508040869623,0.34996686756712214,0.2570992026436488,0.8618213667700304,0.11576530628458351,0.9314904133768289,0.7981244917282962,1.1542189479172842,0.16375866927146293,0.12,0.38593024027241346,0.5926396137085153,0.13727148971231265,0.1,0.724425576634336,1.0523049505581903,0.1885469963285684,0.14,0.28237195552615,0.4329770160732129,0.15235829234331685,0.11,0.40651658071199365,0.5960648840392717,0.1343630368630036,0.1
38,3.04,0.0043644756590975236,1.2585130210867599,1.8089310309984283,0.5512689642080468,0.34875638525796676,0.2570992026436488,0.8622369797389371,0.1154039568938323,0.9307811254616642,0.805031429825767,1.143471396601834,0.1631945133316039,0.12,0.3899617024494766,0.5875033491255703,0.1367790180097704,0.1,0.7307846192873486,1.0423777092849658,0.18792107882340686,0.14,0.28530985567860806,0.42926696314905266,0.1518009630301079,0.11,0.410196804382978,0.5905277642612103,0.1339111760307029,0.1
39,3.12,0.004262469716356431,1.269192064844154,1.7928319415338747,0.5245029377502788,0.34760835369189647,0.2570992026436488,0.8626315239100893,0.11506057719663394,0.9301056015841509,0.8115954865024507,1.1332342636599542,0.16265954862354304,0.12,0.39381369983117076,0.5825615715341864,0.13631175645189947,0.1,0.7368272727436985,1.0329172921048424,0.1873276930164152,0.14,0.28811761556415455,0.4256978499559327,0.1512722598019545,0.11,0.41369776808705555,0.5852449895868557,0.13348251831056965,0.1
40,3.2,0.004166965933832636,1.2793506681519693,1.7774723345340686,0.4989951074715939,0.34651946299676145,0.2570992026436488,0.8630060795095991,0.11473428172008854,0.9294623351167624,0.8178332737814099,1.123484850450411,0.16215222343381627,0.12,0.39749361035546643,0.5778092260459531,0.1358683775889073,0.1,0.7425688016583322,1.0239037184753823,0.18676510616103276,0.14,0.2908005796219256,0.4222658184527095,0.15077067022226542,0.11,0.41702793170087366,0.5802059487779619,0.13307583839216952,0.1
41,3.2800000000000002,0.004077497480672588,1.2890134077326079,1.7628213217117217,0.4746900410936429,0.34548658714610275,0.2570992026436488,0.8633616702718133,0.11442422743748792,0.9288498754829345,0.8237606352407415,1.1142013467479905,0.16167107246926787,0.12,0.4010085616388998,0.5732411745271346,0.13544762744091096,0.1,0.7480237792841369,1.0153176829485675,0.18623168182403252,0.14,0.29336390777525234,0.41896698728826026,0.15029476580550186,0.11,0.42019538059670647,0.5754003764925146,0.13268997890416684,0.1
42,3.36,0.003993635415373351,1.298203770237793,1.7488490449871303,0.4515344338883533,0.3445067729560295,0.2570992026436488,0.8636992664901519,0.11412961191013705,0.9282668274337339,0.8293926786041016,1.1053628034087468,0.16121471167544155,0.12,0.4043654348149989,0.5688522204438566,0.1350483210939472,0.1,0.7532061146696108,1.0071405485578342,0.18572587415043637,0.14,0.29581257891761853,0.41579746489356234,0.14984319697868598,0.11,0.42320784000633505,0.5708183510781342,0.1323238463465699,0.1
43,3.44,0.0039149852668138915,1.3069441945665694,1.7355266624132626,0.4294770513306674,0.3435772298122508,0.2570992026436488,0.8640197878954535,0.11384967148312183,0.9277118501288509,0.8347438071487832,1.0969491058381768,0.16078183339886015,0.12,0.40757086875531146,0.5646371318306243,0.13466933859062838,0.1,0.7581290791506035,0.9993543387192405,0.1852462225050988,0.14,0.29815139457418405,0.4127533617458955,0.14941468837927904,0.11,0.4260726890329651,0.5664502913378372,0.13197640729326746,0.1
44,3.52,0.003841183950374153,1.3152561130187654,1.72282633293003,0.4084686717910125,0.34269532007273157,0.2570992026436488,0.8643241063720909,0.1135836795381804,0.9271836560588584,0.8398277499682711,1.08894094812318,0.1603712018675792,0.12,0.4106312646275669,0.5605906623680825,0.13430962109311692,0.1,0.7628053321230666,0.9919417277737563,0.1847913464631544,0.14,0.3003849827177091,0.4098308017504369,0.14900803446412625,0.11,0.4287969743003408,0.5622869524017503,0.13164668484468448,0.1
45,3.6,0.0037718969841045963,1.3231599912837042,1.710721199956878,0.3884620292812438,0.3418585500959814,0.2570992026436488,0.8646130485214891,0.11333094480578257,0.9266810098404612,0.8446575911233848,1.081319807723954,0.15998164896650297,0.12,0.41355279074682294,0.5567075705903706,0.13396816729800085,0.1,0.7672469460866546,0.9848860303024666,0.18435994112381018,0.14,0.3025178017175745,0.4070259327109784,0.14862209540629553,0.11,0.4313874232308079,0.5583194208236952,0.1313337553120572,0.1
46,3.68,0.0037068159737810003,1.330675367265058,1.6991853738671088,0.36941175629951395,0.3410645618491162,0.2570992026436488,0.8648873980820939,0.1130908097376577,0.9262027269119143,0.8492457977139936,1.0740679206538226,0.1596120702859047,0.12,0.4163413876772007,0.5529826372657098,0.13364403008435882,0.1,0.7714654309519237,0.9781711893501073,0.18395077272407517,0.14,0.3045541444008018,0.40433493587894226,0.1482557932585361,0.11,0.43385045694640084,0.5545391090104546,0.13103674511634458,0.1
47,3.7600000000000002,0.0036456563391011575,1.337820888744257,1.6881939134107915,0.35127432684050536,0.3403111250536019,0.2570992026436488,0.8651478982142766,0.11286264894031081,0.9257476721519142,0.8536042469016547,1.0671682570970522,0.1592614214233388,0.12,0.4190027735439229,0.549410681013311,0.133336313377866,0.1,0.7754717576066793,0.9717817636897081,0.18356267453090377,0.14,0.30649814220456917,0.4017540345891703,0.14790810836387774,0.11,0.4361922027890779,0.5509377490802535,0.13075482788618686,0.1
48,3.84,0.003588155256304905,1.3446143498866898,1.6777228061716065,0.3340079996530583,0.3395961298299995,0.2570992026436488,0.8653952536581432,0.11264586766950281,0.9253147584418852,0.8577442519122916,1.0606044974335018,0.1589287145207341,0.12,0.4215424495177128,0.5459865722334166,0.1330441692152116,0.1,0.7792763807397388,0.9657029142596558,0.18319454299198373,0.14,0.30835376940048825,0.3992795020005231,0.1475780759954477,0.11,0.43841850645806396,0.5475073862383825,0.1304872217405792,0.1
49,3.92,0.0035340697951784933,1.351072726596916,1.6677489481552659,0.3175727618367429,0.3389175798061673,0.2570992026436488,0.8656301327717164,0.11243990038521058,0.9249029451886098,0.8616765870471345,1.0543610086544313,0.15861301501994557,0.12,0.42396570543609585,0.5427052454368653,0.13276679499439273,0.1,0.7828892609229098,0.9599203898982867,0.18284533412695758,0.14,0.3101248473718915,0.3969076679706494,0.14726478320906258,0.11,0.44053494376387625,0.5442403717486788,0.13023318674308107,0.1
50,4.0,0.0034831752307759468,1.3572122107311884,1.6582501226142563,0.30193027287324514,0.33827358565620513,0.2570992026436488,0.8658531694565054,0.11224420936622459,0.9245112368217014,0.8654115117294457,1.048422821162699,0.1583134386213408,0.12,0.42627762552870346,0.5395617100664771,0.1325034308976125,0.1,0.7863198859543743,0.9544205124961338,0.1825140601423289,0.14,0.3118150489264674,0.39463492510068643,0.14696736589346293,0.11,0.442546832000061,0.5411293555731153,0.129992022515437,0.1
51,4.08,0.003435263512294614,1.3630482431776656,1.6492049782179032,0.2870438091900151,0.3376623590400244,0.2570992026436488,0.8660649649770361,0.11205828338325688,0.9241386812781485,0.8689587936140551,1.0427756059599156,0.15802914843124005,0.12,0.42848309421625447,0.5365510599062542,0.13225335747458408,0.1,0.7895772914688498,0.9491901616781494,0.18219978625459934,0.14,0.31342790262776515,0.392457733991355,0.14668500600427573,0.11,0.4444592409349431,0.5381672787441654,0.12976306599944082,0.1
52,4.16,0.0033901418734101365,1.3685955458167374,1.6405930066779537,0.27287820935231405,0.3370822069158061,0.2570992026436488,0.8662660896805117,0.11188163642920682,0.923784368484313,0.8723277307863367,1.0374056522281339,0.15775935228513613,0.12,0.43058680195546034,0.5336684811765473,0.13201589337502806,0.1,0.792670080821904,0.944216759121559,0.181901627707403,0.14,0.3149667971303046,0.39037262775473736,0.14641692896888406,0.11,0.44627700342681387,0.5353473655284825,0.12954568935675154,0.1
53,4.24,0.0033476315700321324,1.3738681523758407,1.6323945199378085,0.25939981997535344,0.3365315261997419,0.2570992026436488,0.8664570846223946,0.11171380650507244,0.9234474288440829,0.8755271730769599,1.032299845317495,0.157503300234627,0.12,0.4325932511045746,0.5309092594111737,0.13179039322000718,0.1,0.7956064442575909,0.9394882526062461,0.18161874696947491,0.14,0.3164349855042786,0.38837621582900445,0.1461624012503939,0.11,0.44800472566698185,0.5326631154352137,0.1293392979971714,0.1
54,4.32,0.0033075667329189,1.378879438194982,1.6245906270314088,0.24657644244398358,0.33600879874946366,0.2570992026436488,0.8666384631033405,0.11155435445986439,0.9231270317405205,0.8785655425184941,1.0274456451536687,0.15726028218693608,0.12,0.4345067617867424,0.5282687852129655,0.13157624560259046,0.1,0.798394177370192,0.9349930998876482,0.18135035110132064,0.14,0.31783558953706037,0.3864651871433654,0.14592072805980127,0.11,0.44964679705597393,0.5301082951165872,0.1291433287266317,0.1
55,4.4,0.003269793323898388,1.3836421489208788,1.617163210712323,0.23437728052002138,0.3355125866493427,0.2570992026436488,0.866810712122582,0.11140286288279645,0.9228223840570071,0.881450852969717,1.0228310650796406,0.1570296256867336,0.12,0.4363314777306085,0.5257425589800474,0.1313728712090459,0.1,0.8010406988722565,0.9307202524734153,0.1810956892793493,0.14,0.31917160399995936,0.38463631268200926,0.14569125120631193,0.11,0.4512073997189201,0.5276769302032808,0.1289572480067915,0.1
