family,instance_id,heuristic,n_vars,n_clauses,alpha,solved,sat,timeout,decisions,propagations,conflicts,backtracks,max_depth,search_cost
planted_3sat,7,moms,18,68,3.7777777777777777,1,1,0,6,10,0,0,6,2.0794415416798357
planted_3sat,7,maat_v16_branch,18,68,3.7777777777777777,1,1,0,6,10,0,0,6,2.0794415416798357
planted_3sat,7,maat_v16_heavy,18,68,3.7777777777777777,1,1,0,9,8,0,0,9,2.379546134130174
random_3sat,8,random,18,76,4.222222222222222,1,1,0,13,31,3,4,9,2.9418039315284354
random_3sat,8,first,18,76,4.222222222222222,1,1,0,17,73,7,13,7,3.4127965175055075
random_3sat,8,degree,18,76,4.222222222222222,1,1,0,6,11,0,0,6,2.0918640616783932
random_3sat,8,jeroslow_wang,18,76,4.222222222222222,1,1,0,8,9,0,0,8,2.2925347571405443
random_3sat,8,moms,18,76,4.222222222222222,1,1,0,7,13,1,1,6,2.2874714551839976
random_3sat,8,maat_v16_branch,18,76,4.222222222222222,1,1,0,7,10,0,0,7,2.1972245773362196
random_3sat,8,maat_v16_heavy,18,76,4.222222222222222,1,1,0,6,21,1,1,5,2.2669579153508943
planted_3sat,9,random,18,76,4.222222222222222,1,1,0,6,14,1,1,5,2.191653532286764
planted_3sat,9,first,18,76,4.222222222222222,1,1,0,6,11,0,0,6,2.0918640616783932
planted_3sat,9,degree,18,76,4.222222222222222,1,1,0,5,27,1,1,4,2.224623551524334
planted_3sat,9,jeroslow_wang,18,76,4.222222222222222,1,1,0,5,27,1,1,4,2.224623551524334
planted_3sat,9,moms,18,76,4.222222222222222,1,1,0,3,14,0,0,3,1.6863989535702288
planted_3sat,9,maat_v16_branch,18,76,4.222222222222222,1,1,0,3,14,0,0,3,1.6863989535702288
planted_3sat,9,maat_v16_heavy,18,76,4.222222222222222,1,1,0,5,27,1,1,4,2.224623551524334
random_3sat,10,random,18,76,4.222222222222222,1,1,0,8,10,0,0,8,2.302585092994046
random_3sat,10,first,18,76,4.222222222222222,1,1,0,10,37,3,4,6,2.806386101823072
random_3sat,10,degree,18,76,4.222222222222222,1,1,0,10,14,1,1,9,2.5610957881455465
random_3sat,10,jeroslow_wang,18,76,4.222222222222222,1,1,0,8,9,0,0,8,2.2925347571405443
random_3sat,10,moms,18,76,4.222222222222222,1,1,0,7,16,1,1,6,2.3174737054877963
