heuristic,solved_rate,timeout_rate,median_decisions,median_conflicts,median_cost,mean_cost,n_runs
moms,1.0,0.0,9.0,2.0,2.6282852326333477,2.7501621070093125,141
jeroslow_wang,1.0,0.0,11.0,2.0,2.7788192719904172,2.883224155153325,141
maat_v16_branch,1.0,0.0,12.0,2.0,2.917770732084279,2.9632373319981853,141
maat_v16_heavy,1.0,0.0,12.0,2.0,2.9231615807191558,3.004625146159231,141
degree,1.0,0.0,14.0,3.0,3.0587070727153796,3.0543801528785917,141
first,0.9929078014184397,0.0070921985815602835,17.0,6.0,3.269568939183719,3.466483710794106,141
random,1.0,0.0,18.0,5.0,3.3087165288679903,3.4586530722863245,141
