feature_set,n_features,rf_r2,rf_rmse,rf_spearman,ridge_r2,ridge_spearman,leave_channel_r2,leave_channel_spearman
defect_field_stationary,41,0.9160323557524581,0.049977599580561624,0.947693187559626,0.7689797518528247,0.7741431010729737,0.6033104235777562,0.6706320012238687
short_time_generator_baseline,6,0.805995152156558,0.07596712659550915,0.8773357687250316,0.41229061065942374,0.7173668654424483,0.779966757697698,0.72136624478874
scalar_correlated_stationarity,6,0.7831468528596097,0.08031603740891936,0.8154497311058841,0.6613683340025807,0.6456890387929132,0.7285873012501041,0.5553549862766958
einselection_baseline,11,0.7573829163490272,0.08495326949101566,0.8672046935816956,0.5118222292048216,0.5859905388859687,-0.011016857737274455,0.1658746397585692
scalar_population,6,0.723246580882005,0.09073313277421234,0.7898608260887324,0.5449705831631402,0.5020862969402152,0.6178564809495248,0.505505947037204
rates_only,12,0.4870814751460595,0.1235217969359555,0.8519861683084883,0.3704531220895001,0.697052871518376,0.035653302446586266,0.19953173853860245
shuffled_defect_null,41,-0.049302091001111936,0.17667279422314158,-0.004832670215844717,-0.02890093638427582,0.012922187115901375,-0.21760003366389635,-0.39659849483492643
