instance_id,state_family,channel_family,T,gamma_lz,gamma_cz,gamma_zz,gamma_amp,gamma_dep,gamma_heat,J,hx1,hx2,hz1,hz2,initial_concurrence,final_concurrence,concurrence_retention,entanglement_robustness,fidelity_retention,purity_final,purity_loss,mutual_info_initial,mutual_info_final,mutual_info_retention,entropy_final,H_stationarity,B_pop_pair,B_corr_stat,S_ent,V_corr,R_resp_pop,R_rob_pop,F_scalar_pop,R_resp_stat,R_rob_stat,F_scalar_stat,lindblad_norm0,local_drift0,corr_drift0,concurrence_slope0,purity_decay0,coherence_norm0,bell_phi_overlap,bell_psi_overlap,dfs_collective_overlap,dfs_parity_overlap,symmetry_expectation,damping_pressure,local_dephasing_pressure,collective_pressure,pair_dephasing_pressure,depolarizing_pressure,hamiltonian_coupling_pressure,stationarity_gain
0,product_z,local_z_dephasing,1.3464616981602668,0.7863323208784735,0.23851925830605097,0.03898520822381808,0.09669149150709952,0.06354524768316468,0.029916219680378674,0.05079421489166347,-0.06354324075416347,0.0977855710574644,0.14887416182638666,-0.06453513928273158,0.020782605454162297,0.0,0.0,0.06579599363717265,0.7529350768370331,0.5996780825069348,0.4003219174930652,0.003157516962060084,0.004662548309183334,0.05828185386479168,1.1034074079153844,0.8468846742408708,1.0170597594825561e-07,0.7673795563701282,0.020782605454162297,0.2385667481287586,0.0027390095847601398,0.0027390095847601398,27.473291690559016,0.537215007498691,0.23825175071455781,7.17213693535113,0.3254369747728418,0.4304322466014672,0.16298385931732037,0.10387724089046604,0.4247899923047749,0.0211293499855131,0.00011487385173652522,0.9998851261482634,0.9998851261482634,0.9998851261482634,0.011740730239245595,0.09670029221871143,0.7863323208784734,0.238491858680136,0.03898072984278866,0.003177262384158234,0.05184985101911084,0.7673794546641522
1,bell_phi,local_z_dephasing,1.4962002514123747,0.5817867496963476,0.11931504708687185,0.11099175658040357,0.007616152066305748,0.043109175706897464,0.03934115300694477,0.150769002614004,-0.1993701383968527,0.16633984221394874,-0.09802414065791312,-0.08935205285246399,0.9999999999999994,0.0,0.0,0.05331359493191917,0.41117397733089245,0.36103585790599263,0.6389641420940073,1.999999990034216,0.3442001811112858,0.17210009141319907,1.6521695947484298,0.4563148185613595,0.9999999999999998,0.3758348144453723,0.9999999999999994,0.45405862234786015,0.5917326048778521,0.5917326048778521,2.0988017075367136,0.42702945840748563,0.42702945840748563,3.4036091145142238,2.144645071301708,0.063450001881278,0.07160054550700226,3.0705695446444636,3.066158997624413,0.7071067811865475,0.9999999999999997,0.0,0.0,0.9999999999999997,0.9999999999999999,0.007616152066305748,0.5817867496963474,0.0,0.11099175658040353,0.04310917570689744,0.30153800522800794,-0.6241651855546275
2,bell_psi,local_z_dephasing,0.8185931178436012,1.74874055705578,0.18153248029912414,0.08586393258826297,0.042983251381158466,0.02924381058496463,0.017620473880348368,0.05823473770381793,-0.05104296466398551,0.061336952067759555,0.09825480725758524,-0.051572587403841776,0.9999999911397169,0.0,0.0,0.07365576434671459,0.4629690979207456,0.4297787646174318,0.5702212353825682,1.9999999900342156,0.6135577546421358,0.306778878849714,1.3854068311397658,0.2627358357006841,1.0,0.14766930826532712,0.9999999911397169,0.3463815821760574,0.4498054376430077,0.4498054376430077,3.195760609792518,0.23775050500664907,0.23775050500664907,5.746133820797219,5.050987780938302,0.2913783721784369,3.652196047031671,7.229804272949614,7.207632443522405,0.7071067811865476,0.0,1.0,1.0,1.0,0.7802727849449899,0.042983251381158466,1.74874055705578,0.18153248029912414,0.08586393258826297,0.02924381032585619,0.1164694748916596,-0.8523306917346729
3,haar_entangled,local_z_dephasing,1.0378813640428002,1.5134147079579336,0.0969197103007973,0.06398301143114822,0.06228111832388594,0.026628702248307514,0.028138158020879246,0.16477220757858035,-0.1334819475641616,-0.147862633815851,-0.02991409675166113,0.0837256233341294,0.3562154773748717,0.0,0.0,0.03509396623230871,0.2885460269982829,0.28876188935386926,0.7112381106461307,0.41647123312234424,0.025895253781291316,0.06217777296921784,1.8832076827868889,0.30996035099588515,0.6901856908171649,0.1975295792296791,0.3562154773748717,0.1886350313157609,0.3430031811382268,0.3430031811382268,5.31228168575435,0.22604082153006513,0.22604082153006513,6.9803781347535185,4.007194353138075,0.7541023403787334,2.5533431473578543,4.374232480700457,6.2970083129541,0.8469104430562931,0.6066965517091765,0.39330344829082353,0.39330344829082353,0.6066965517091765,0.671293361719713,0.07216826135242478,1.5134147079579336,0.038118856268651226,0.038818272403246444,0.00948555588325418,0.22346661815929583,-0.4926561115874858
4,bell_phi,local_z_dephasing,1.4687657580997906,1.350907536953768,0.13054747881181103,0.002114852744683806,0.09023077403463281,0.06401617651482333,0.02606294747201785,0.17077807882848384,-0.049755262869292535,0.029663238706274245,-0.0530829672771821,-0.12286516898635343,0.9999999999999994,0.0,0.0,0.04479268146831898,0.38926089801315933,0.3309610010882421,0.6690389989117579,1.9999999900342158,0.23393162602423945,0.11696581359494775,1.7564762039091333,0.290057966550677,1.0,0.21039422323871215,0.9999999999999994,0.3282823862523449,0.4566436889765663,0.4566436889765663,3.1354074637463683,0.2715951833702965,0.2715951833702965,5.21377046933557,4.405656136272734,0.12833565312522988,0.6968810482666399,6.414404309953881,6.3950624061428485,0.7071067811865474,0.9999999999999996,0.0,0.0,0.9999999999999996,0.9999999999999998,0.09023077403463281,1.3509075369537673,0.0,0.002114852744683805,0.06401617651482329,0.3415561576569676,-0.7896057767612878
5,haar_entangled,local_z_dephasing,1.7137556666226823,1.270207253100882,0.053486656481983474,0.05369154507274099,0.012830778694879997,0.03875707295228702,0.015928033241971548,0.04580547999840994,0.05749780593652185,0.11115054082163174,0.055925027808042656,0.14799205229037746,0.7124168478641351,0.0,0.0,0.03048052416030867,0.2771842847875173,0.26818132631866104,0.731818673681339,1.2152761544338027,0.04450817092716619,0.036623915284425664,1.9435218737434596,0.3475097697200015,0.791684957866703,0.2215592183432806,0.7124168478641351,0.27745126244457385,0.4241980870968591,0.4241980870968591,3.7693110624459125,0.2774690300896142,0.2774690300896142,5.467275898019359,3.37971049116205,0.21592860007536943,1.7502348156505618,4.6918013901880995,5.415521323687944,0.8479725817721849,0.6568127190851978,0.3431872809148018,0.3431872809148018,0.6568127190851978,0.7439441286672017,0.013153147768513094,1.2702072531008812,0.018355940203275967,0.03526528971111246,0.027611191745108645,0.07843807567378083,-0.5701257395234224
6,product_z,collective_z_dephasing,0.5664750031990022,0.1651740562746593,1.5870834746855682,0.03295908438125001,0.037236041424781555,0.05965209983123943,0.01965863416374374,0.13835851109227223,-0.018007485790280272,0.14469764587295023,0.17086908821222985,-0.13212704651553084,0.009917978114667934,0.15825387919171902,1.0,0.49680758474255055,0.9027274921765971,0.8502033481135355,0.14979665188646452,0.000824030531201839,0.13112394663665916,1.0,0.5029522489316574,0.7880971412463225,1.948409879863797e-08,0.7792328539673695,0.009917978114667934,0.5125973176234229,0.0019892016073633917,0.0019892016073633917,29.488374564691192,0.6802592335835175,0.2363804855983576,7.211562714482872,0.48398239987702696,0.2667347417101614,0.09231336401584937,0.305929925534458,0.27365880055774117,0.016474180500859154,0.00011150065804831672,0.9998884993419513,0.9998884993419513,0.9998884993419513,-0.009225822648393684,0.037238947816686824,0.16517405627465925,1.5869065138337626,0.03295540942165282,0.0029826049915619717,0.13973074777726344,0.7792328344832707
7,bell_phi,collective_z_dephasing,1.3420924571785486,0.07806579424284484,0.45945862551846445,0.0611688572857465,0.06123260096012419,0.057000260197020446,0.03305547046854549,0.12953934420065577,-0.16236387819183146,-0.07263625851109419,-0.037017013389651965,0.1738223204646129,1.0,0.0,0.0,0.04946806306202713,0.41819303329794494,0.3466657384804491,0.6533342615195509,1.9999999900342158,0.29602978280455994,0.14801489213982222,1.7017983261223393,0.510956080959198,1.0,0.3251570032800443,1.0,0.5222206137548506,0.6437924229411472,0.6437924229411472,1.7615157171017826,0.4427007235292613,0.4427007235292613,3.259445218538142,1.72280766797203,0.056354260983157434,1.372572692876444,2.5666073946444268,2.563706796429921,0.7071067811865475,0.9999999999999996,0.0,0.0,0.9999999999999996,0.9999999999999998,0.06123260096012419,0.07806579424284481,0.0,0.061168857285746475,0.057000260197020446,0.25907868840131154,-0.6748429967199556
8,bell_phi,collective_z_dephasing,0.8223292090332448,0.10659553375685056,1.176336599765954,0.041864977816124915,0.03409194165645437,0.06573904622638735,0.009923010606962674,0.15814851229721777,0.09136666751876202,-0.20120385717524839,0.03985443357016239,-0.14705133841910734,0.9999999999999996,0.0,0.0,0.06616605877951211,0.44801816561512625,0.4055362064815789,0.5944637935184212,1.9999999900342158,0.512248760074604,0.25612438131354215,1.4870125579595217,0.32135654291375515,1.0,0.25052494863421565,0.9999999999999996,0.514743932102403,0.5489415793635914,0.5489415793635914,2.3990530229188805,0.3460534006682366,0.3460534006682366,4.24464871327336,3.801255178062702,0.04833786209898337,0.21629163583353359,5.482599183287307,5.468265082593682,0.7071067811865475,0.9999999999999996,0.0,0.0,0.9999999999999996,0.9999999999999998,0.03409194165645437,0.10659553375685052,0.0,0.041864977816124894,0.06573904622638732,0.3162970245944355,-0.7494750513657844
9,partial_phi,collective_z_dephasing,1.0067296358769764,0.1656234774657521,1.1435376185839625,0.005818714455562457,0.0030603153266847106,0.018870462906368825,0.001383587885663089,0.07553095305808435,-0.13068071789634134,-0.016252001213686754,-0.1536355897514261,0.147923437355154,0.8282125778909069,0.0,0.0,0.09811462453218497,0.6310253956472249,0.6101589719288331,0.38984102807116694,1.5195785624364166,0.563744307584766,0.37098727339301657,0.9944110526426803,0.36691896882617975,0.19323579301559884,0.2111844801482352,0.8282125778909069,0.4426288668346551,0.3154272119840334,0.3154272119840334,4.803794741443033,0.3249056764622498,0.3249056764622498,4.685366879749125,3.1057153020963404,0.03653503422800086,2.875550637607894,4.412916651887144,3.660704762339262,0.5856347300906519,0.9999999999999998,0.0,0.0,0.9999999999999998,1.0,0.004775359083390116,0.16562347746575207,0.0,0.005818714455562456,0.015628754729678458,0.13808663840087748,0.017948687132636365
