gamma,alpha,z_tr
1.812500000000000000e+00,7.500000000000000000e-01,8.984742371185593379e-01
1.812500000000000000e+00,8.125000000000000000e-01,9.298849424712356537e-01
1.812500000000000000e+00,8.750000000000000000e-01,9.612956478239119695e-01
1.812500000000000000e+00,9.375000000000000000e-01,9.897148574287144562e-01
1.812500000000000000e+00,1.000000000000000000e+00,1.016638319159579806e+00
1.812500000000000000e+00,1.062500000000000000e+00,1.043561780890445378e+00
1.812500000000000000e+00,1.125000000000000000e+00,1.068989494747373703e+00
1.812500000000000000e+00,1.187500000000000000e+00,1.094417208604302250e+00
1.812500000000000000e+00,1.250000000000000000e+00,1.118349174587293771e+00
1.812500000000000000e+00,1.312500000000000000e+00,1.140785392696348266e+00
1.812500000000000000e+00,1.375000000000000000e+00,1.163221610805402761e+00
1.812500000000000000e+00,1.437500000000000000e+00,1.184162081040520231e+00
1.812500000000000000e+00,1.500000000000000000e+00,1.205102551275637923e+00
1.812500000000000000e+00,1.562500000000000000e+00,1.226043021510755393e+00
1.812500000000000000e+00,1.625000000000000000e+00,1.245487743871936059e+00
1.812500000000000000e+00,1.687500000000000000e+00,1.264932466233116726e+00
1.812500000000000000e+00,1.750000000000000000e+00,1.284377188594297170e+00
1.812500000000000000e+00,1.812500000000000000e+00,1.302326163081540811e+00
1.812500000000000000e+00,1.875000000000000000e+00,1.320275137568784452e+00
1.812500000000000000e+00,1.937500000000000000e+00,1.338224112056028092e+00
1.812500000000000000e+00,2.000000000000000000e+00,1.354677338669334707e+00
2.000000000000000000e+00,5.000000000000000000e-01,7.937718859429715446e-01
2.000000000000000000e+00,5.625000000000000000e-01,8.296698349174588261e-01
2.000000000000000000e+00,6.250000000000000000e-01,8.640720360180090820e-01
2.000000000000000000e+00,6.875000000000000000e-01,8.969784892446223123e-01
2.000000000000000000e+00,7.500000000000000000e-01,9.298849424712356537e-01
2.000000000000000000e+00,8.125000000000000000e-01,9.597998999499750550e-01
2.000000000000000000e+00,8.750000000000000000e-01,9.897148574287144562e-01
2.000000000000000000e+00,9.375000000000000000e-01,1.016638319159579806e+00
2.000000000000000000e+00,1.000000000000000000e+00,1.043561780890445378e+00
2.000000000000000000e+00,1.062500000000000000e+00,1.070485242621310729e+00
2.000000000000000000e+00,1.125000000000000000e+00,1.094417208604302250e+00
2.000000000000000000e+00,1.187500000000000000e+00,1.119844922461230574e+00
2.000000000000000000e+00,1.250000000000000000e+00,1.142281140570285292e+00
2.000000000000000000e+00,1.312500000000000000e+00,1.164717358679339787e+00
2.000000000000000000e+00,1.375000000000000000e+00,1.187153576788394282e+00
2.000000000000000000e+00,1.437500000000000000e+00,1.208094047023511752e+00
2.000000000000000000e+00,1.500000000000000000e+00,1.229034517258629444e+00
2.000000000000000000e+00,1.562500000000000000e+00,1.248479239619809888e+00
2.000000000000000000e+00,1.625000000000000000e+00,1.267923961980990555e+00
2.000000000000000000e+00,1.687500000000000000e+00,1.287368684342171221e+00
2.000000000000000000e+00,1.750000000000000000e+00,1.306813406703351665e+00
2.000000000000000000e+00,1.812500000000000000e+00,1.324762381190595306e+00
2.000000000000000000e+00,1.875000000000000000e+00,1.342711355677838947e+00
2.000000000000000000e+00,1.937500000000000000e+00,1.359164582291145562e+00
2.000000000000000000e+00,2.000000000000000000e+00,1.377113556778389203e+00
2.187500000000000000e+00,5.000000000000000000e-01,8.251825912956478604e-01
2.187500000000000000e+00,5.625000000000000000e-01,8.595847923961981163e-01
2.187500000000000000e+00,6.250000000000000000e-01,8.939869934967483722e-01
2.187500000000000000e+00,6.875000000000000000e-01,9.253976988494247991e-01
2.187500000000000000e+00,7.500000000000000000e-01,9.568084042021011149e-01
2.187500000000000000e+00,8.125000000000000000e-01,9.867233616808405161e-01
2.187500000000000000e+00,8.750000000000000000e-01,1.015142571285642781e+00
2.187500000000000000e+00,9.375000000000000000e-01,1.042066033016508353e+00
2.187500000000000000e+00,1.000000000000000000e+00,1.068989494747373703e+00
2.187500000000000000e+00,1.062500000000000000e+00,1.094417208604302250e+00
2.187500000000000000e+00,1.125000000000000000e+00,1.118349174587293771e+00
2.187500000000000000e+00,1.187500000000000000e+00,1.142281140570285292e+00
2.187500000000000000e+00,1.250000000000000000e+00,1.164717358679339787e+00
2.187500000000000000e+00,1.312500000000000000e+00,1.187153576788394282e+00
2.187500000000000000e+00,1.375000000000000000e+00,1.209589794897448778e+00
2.187500000000000000e+00,1.437500000000000000e+00,1.230530265132566248e+00
2.187500000000000000e+00,1.500000000000000000e+00,1.249974987493746914e+00
2.187500000000000000e+00,1.562500000000000000e+00,1.269419709854927580e+00
2.187500000000000000e+00,1.625000000000000000e+00,1.288864432216108025e+00
2.187500000000000000e+00,1.687500000000000000e+00,1.308309154577288691e+00
2.187500000000000000e+00,1.750000000000000000e+00,1.326258129064532332e+00
2.187500000000000000e+00,1.812500000000000000e+00,1.344207103551775973e+00
2.187500000000000000e+00,1.875000000000000000e+00,1.362156078039019613e+00
2.187500000000000000e+00,1.937500000000000000e+00,1.378609304652326228e+00
2.187500000000000000e+00,2.000000000000000000e+00,1.396558279139569869e+00
2.375000000000000000e+00,5.000000000000000000e-01,8.536018009004502360e-01
2.375000000000000000e+00,5.625000000000000000e-01,8.880040020010004920e-01
