z,E,D_growth,L_latent,B_exp,D_acc,S_proj,C_proj,C_proj_norm,R_proj,abs_d2R_dz2
3.243621810905452513e-02,1.015705281183833630e+00,9.833753925792745321e-01,9.813735958030691542e-01,1.048650919218830913e+00,9.650586450397774518e-01,6.014838858434470165e-02,2.052763853105403144e-02,1.076947743287382409e+00,9.395574276578980699e-01,6.375903557944866407e-01
3.393196598299149519e-02,1.016447768923196771e+00,9.826119434053272039e-01,9.812781166799287025e-01,1.050937840041786364e+00,9.642155972519841356e-01,6.041073102787580806e-02,2.062904231496156746e-02,1.082267720842268410e+00,9.392503443342449243e-01,6.402902572647519719e-01
3.542771385692846525e-02,1.017191863699536736e+00,9.818488038579438193e-01,9.811821599167851460e-01,1.053228645984279899e+00,9.633725300810492831e-01,6.067408957804062281e-02,2.073091039049371892e-02,1.087612056669860827e+00,9.389418285187389746e-01,6.429991310201899068e-01
3.692346173086543532e-02,1.017937565095307750e+00,9.810859775771777480e-01,9.810857232453273902e-01,1.055523343824514626e+00,9.625294458771544992e-01,6.093846790481159681e-02,2.083324478580451597e-02,1.092980857173821541e+00,9.386318741509277475e-01,6.457169888988119055e-01
3.841920960480240538e-02,1.018684872686584697e+00,9.803234681746449963e-01,9.809888043877170727e-01,1.057821940331572064e+00,9.616863469578652568e-01,6.120386968860853927e-02,2.093604753714402994e-02,1.098374229182556672e+00,9.383204751502580709e-01,6.484438428716998715e-01
3.991495747873936850e-02,1.019433786043091539e+00,9.795612792337018426e-01,9.808914010565616959e-01,1.060124442265391931e+00,9.608432356083036474e-01,6.147029862031175990e-02,2.103932068888800591e-02,1.103792279950773336e+00,9.380076254160512050e-01,6.511797048528791265e-01
4.141070535267633856e-02,1.020184304728232183e+00,9.787994143096172550e-01,9.807935109548875374e-01,1.062430856376758159e+00,9.600001140813171352e-01,6.173775840127589815e-02,2.114306629356787343e-02,1.109235117161051942e+00,9.376933188274739761e-01,6.539245865473901631e-01
4.290645322661330863e-02,1.020936428299120013e+00,9.780378769297446429e-01,9.806951317761130049e-01,1.064741189407281796e+00,9.591569845976457565e-01,6.200625274334332221e-02,2.124728641190077108e-02,1.114702848925422263e+00,9.373775492435145740e-01,6.566784996032453137e-01
4.440220110055027869e-02,1.021690156306608976e+00,9.772766705936901666e-01,9.805962612040206583e-01,1.067055448089387681e+00,9.583138493460858776e-01,6.227578536885795130e-02,2.135198311281987643e-02,1.120195583786955051e+00,9.370603105029547963e-01,6.594414554974434850e-01
4.589794897448724875e-02,1.022445488295322003e+00,9.765157987734877088e-01,9.804968969127321188e-01,1.069373639146295352e+00,9.574707104836626126e-01,6.254636001067831463e-02,2.145715847350450692e-02,1.125713430721340558e+00,9.367415964243460680e-01,6.622134656500406891e-01
4.739369684842421881e-02,1.023202423803682759e+00,9.757552649137620771e-01,9.803970365666807574e-01,1.071695769292007494e+00,9.566275701357889183e-01,6.281798041219152640e-02,2.156281457941083141e-02,1.131256499138499905e+00,9.364214008059822403e-01,6.649945414239937236e-01
4.888944472236118194e-02,1.023960962363943850e+00,9.749950724318988682e-01,9.802966778205848275e-01,1.074021845231291516e+00,9.557844303964309063e-01,6.309065032732634470e-02,2.166895352430231111e-02,1.136824898884182478e+00,9.360997174258754994e-01,6.677846940302742951e-01
5.038519259629815200e-02,1.024721103502219455e+00,9.742352247182101133e-01,9.801958183194212637e-01,1.076351873659670000e+00,9.549412933282712679e-01,6.336437352056721595e-02,2.177557741028064361e-02,1.142418740241588626e+00,9.357765400417303869e-01,6.705839344898976151e-01
5.188094047023512206e-02,1.025482846738513310e+00,9.734757251360989239e-01,9.800944556983997025e-01,1.078685861263401380e+00,9.540981609628698124e-01,6.363915376696720194e-02,2.188268834781650560e-02,1.148038133932983706e+00,9.354518623909194863e-01,6.733922737097941535e-01
5.337668834417209213e-02,1.026246191586749568e+00,9.727165770222236940e-01,9.799925875829353927e-01,1.081023814719469067e+00,9.532550353008246713e-01,6.391499485216176057e-02,2.199028845578068769e-02,1.153683191121330109e+00,9.351256781904591087e-01,6.762097227299506130e-01
5.487243621810905525e-02,1.027011137554802556e+00,9.719577836866636344e-01,9.798902115886234387e-01,1.083365740695566126e+00,9.524119183119342802e-01,6.419190057238202685e-02,2.209837986147520153e-02,1.159354023411920398e+00,9.347979811369846459e-01,6.790362922672841250e-01
5.636818409204602531e-02,1.027777684144528303e+00,9.711993484130748699e-01,9.797873253212130429e-01,1.085711645850083729e+00,9.515688119353514773e-01,6.446987473446851025e-02,2.220696470066477538e-02,1.165050742854029098e+00,9.344687649067261459e-01,6.818719929247549771e-01
