feature_set,held_out_family,n_test,r2,rmse,spearman
density_only,graph_coloring,72,-3.7168160547092866,1.6903610418485486,0.16493221252609888
density_only,modular_3sat,72,0.01819948369848079,0.5019589174398091,0.3825494533948078
density_only,pigeonhole,5,-5.381888247756302,6.162880916611123,0.7999999999999999
density_only,planted_3sat,96,-0.30991841030283784,0.8430336650196638,0.3126843108045975
density_only,random_3sat,96,-0.07953735259268413,0.8943907980507565,0.33375384382012435
density_only,xor3_cnf,54,-0.08571102803213249,0.5974471764569792,0.019557818901381658
density_only,ALL_LFO,395,-0.5270931656007969,1.2097393056791585,0.0019007800999171647
macro_scalar,graph_coloring,72,-2.0276518439412987,1.354278461467715,-0.11471205412522963
macro_scalar,modular_3sat,72,-0.11484935320985978,0.5348901975428461,0.20830921602675417
macro_scalar,pigeonhole,5,-5.129659661772003,6.039866777835486,0.9999999999999999
macro_scalar,planted_3sat,96,-0.2852267747148105,0.8350503780548314,0.3280678789269634
macro_scalar,random_3sat,96,-0.07507352969860115,0.8925397561427543,0.3124128879999245
macro_scalar,xor3_cnf,54,-0.0411288542418935,0.5850522175737121,0.34305971151097153
macro_scalar,ALL_LFO,395,-0.3128077128853639,1.1216557437010575,0.12429702721812759
mean_projection,graph_coloring,72,-15.497106224613933,3.1612503486790944,0.3121406751463404
mean_projection,modular_3sat,72,-0.4489110015999982,0.6097859322015843,0.14245284626092675
mean_projection,pigeonhole,5,-3.642330476355971,5.256264429238335,0.22360679774997894
mean_projection,planted_3sat,96,-0.12597683233584478,0.7816053476340004,0.26892084418618906
mean_projection,random_3sat,96,-0.15578464931158287,0.925437186181538,0.3331422788748323
mean_projection,xor3_cnf,54,-1.3840572771979724,0.8853209288293372,0.0
mean_projection,ALL_LFO,395,-1.8203823325282706,1.6440424140491248,-0.07985415666626589
tail_projection,graph_coloring,72,-0.48850427549259257,0.949576696434026,0.05135543624226549
tail_projection,modular_3sat,72,-0.6823249265419002,0.6570697683132419,0.2460286835166249
tail_projection,pigeonhole,5,-4.888290462327426,5.919755791594969,-0.8999999999999998
tail_projection,planted_3sat,96,-0.033336885179668485,0.7487619397135372,0.30025298598754896
tail_projection,random_3sat,96,-0.08088664708853432,0.8949495650656919,0.3630031300995171
tail_projection,xor3_cnf,54,-0.4333901175750161,0.6864747875820232,-0.19360003052935826
tail_projection,ALL_LFO,395,-0.12902371080009734,1.0401849267578673,0.1607013851500923
cluster_projection,graph_coloring,72,-1.711790949797365,1.2816903319121098,-0.13865474603474623
cluster_projection,modular_3sat,72,-0.11161230333234773,0.5341130858494838,0.13759160519647637
cluster_projection,pigeonhole,5,-4.84813282861029,5.899535144569409,-0.3
cluster_projection,planted_3sat,96,-0.14886312742270102,0.7895087366825946,0.2269343264258815
cluster_projection,random_3sat,96,-0.1334652744787408,0.9164580601026344,0.3220970077349614
cluster_projection,xor3_cnf,54,-0.05597245783899374,0.5892080665059418,0.17708249009810703
cluster_projection,ALL_LFO,395,-0.247031878172026,1.0931954176705385,-0.03181342426459042
