projection,train_r2_base,importance_drop_mean,importance_drop_std
tail,0.7475457781101045,0.40444611120418944,0.01486932927941976
scale,0.7475457781101045,0.3414051066130424,0.022869035298463705
mean,0.7475457781101045,0.15671936724043328,0.008376041828857464
cluster,0.7475457781101045,0.02290597482258443,0.0019314298479043044
