case,t,shock_time_inviscid,energy,dissipation,equation_residual_defect,energy_balance_defect,enstrophy,max_gradient,activity_pressure,low_mode_fraction,high_mode_fraction,H,B,S_eff,V,R_resp,R_rob,MAAT_warning
burgers_shock_warning,0.005,1.3334230027831278,0.2656236962208697,0.00031157013518737367,0.0058712877737101075,0.16309107716293178,0.6231402703747473,1.488818128379984,0.9970244325980007,1.0,0.0,0.9941629830326452,0.8597778967054314,0.999993062196647,1.0,0.9490329433509481,0.9490329433509481,0.05089117220100385
burgers_shock_warning,0.01,1.3334230027831278,0.2656223966194976,0.00031065933202590137,0.005861927697325487,0.16332700233727965,0.6213186640518027,1.4778019032079168,0.994109862481294,1.0,0.0,0.9941722342441721,0.8596035319311476,0.9999727353872638,1.0,0.9489717272608144,0.9489717272608144,0.05087776901808359
burgers_shock_warning,0.015,1.3334230027831278,0.2656211011117786,0.0003097672807300219,0.005852887981248803,0.16356064671844092,0.6195345614600437,1.4669476675488626,0.9912552983344841,1.0,0.0,0.9941811689848646,0.8594309225052199,0.999939733131625,1.0,0.9489110474270792,0.9489110474270792,0.05086508325634081
burgers_shock_warning,0.02,1.3334230027831278,0.26561980961501663,0.0003088936808119052,0.005844164642155927,0.16379204689224292,0.6177873616238104,1.4562518714119324,0.9884597785965153,1.0,0.0,0.9941897911748238,0.8592600393432586,0.9998947477041178,1.0,0.9488508946756014,0.9488508946756014,0.05085311289180494
burgers_shock_warning,0.025,1.3334230027831278,0.26561852204788194,0.0003080382407841985,0.005835753842654106,0.16402123825193488,0.616076481568397,1.4457110678662604,0.9857223705078583,0.9999999999999998,2.220446049250313e-16,0.994198104590775,0.8590908543058431,0.9998384507052759,0.9999999999999998,0.9487912601254775,0.9487912601254775,0.050841855900800335
burgers_shock_warning,0.03,1.3334230027831278,0.26561723833036976,0.0003072006778752129,0.005827651887101238,0.16424825499762152,0.6144013557504259,1.4353219093252845,0.9830421691991087,0.999999999999999,9.992007221626409e-16,0.9942061128701646,0.8589233401960675,0.9997714936533671,0.999999999999999,0.9487321351898446,0.9487321351898446,0.05083131025365609
burgers_shock_warning,0.035,1.3334230027831278,0.2656159583837626,0.0003063807177559725,0.005819855217857778,0.16447313176639258,0.6127614355119451,1.4250811439908018,0.9804182968175437,0.9999999999999967,3.3306690738754696e-15,0.9942138195148302,0.8587574695545763,0.9996945085566756,0.9999999999999967,0.9486735111337272,0.9486735111337272,0.050821474347243385
burgers_shock_warning,0.04,1.3334230027831278,0.2656146821305904,0.00030557809427856833,0.005812360410850665,0.16469590136264176,0.6111561885571366,1.4149856124485458,0.9778499016898542,0.9999999999999919,8.104628079763643e-15,0.9942212278953537,0.8585932163323019,0.9996081084670972,0.9999999999999919,0.9486153796915555,0.9486153796915555,0.05081234638641521
burgers_shock_warning,0.045,1.3334230027831278,0.26561340949459356,0.0003047925492253053,0.005805164172393421,0.16491659594557084,0.6095850984506106,1.40503224440828,0.9753361575194166,0.999999999999982,1.7985612998927536e-14,0.994228341254173,0.8584305550117887,0.9995128880156433,0.999999999999982,0.9485577327449992,0.9485577327449992,0.050803924698555755
burgers_shock_warning,0.05,1.3334230027831278,0.26561214040068815,0.0003040238320681478,0.00579826333561652,0.16513524771925295,0.6080476641362955,1.3952180555809812,0.9728762626165164,0.9999999999999649,3.5083047578154947e-14,0.9942351627090831,0.8582694600970107,0.9994094239304309,0.9999999999999649,0.9485005621364103,0.9485005621364103,0.0507962079120867
burgers_shock_warning,0.055,1.3334230027831278,0.2656108747749311,0.0003032716997379967,0.00579165485699009,0.16535188812541166,0.6065433994759933,1.3855401446862587,0.9704694391600368,0.9999999999999379,6.206146707654625e-14,0.9942416952566449,0.8581099067068941,0.999298275537712,0.9999999999999379,0.9484438598887185,0.9484438598887185,0.05078919473343736
burgers_shock_warning,0.06,1.3334230027831278,0.26560961254448456,0.0003025359164033575,0.005785335812922868,0.16556654668560944,0.605071832806715,1.3759956905845772,0.9681149324891951,0.9999999999998977,1.0225154056797692e-13,0.9942479417755211,0.8579518714256065,0.9991799852464798,0.9999999999998977,0.9483876185200742,0.9483876185200742,0.05078288363266395
burgers_shock_warning,0.065,1.3334230027831278,0.2656083536375861,0.0003018162532579887,0.0057793033973451615,0.1657792543054296,0.6036325065159773,1.3665819495268026,0.9658120104240187,0.9999999999998439,1.56097357262297e-13,0.994253905028843,0.8577953298678309,0.999055079017168,0.9999999999998439,0.9483318301478342,0.9483318301478342,0.05077727372126535
burgers_shock_warning,0.07,1.3334230027831278,0.26560709798351395,0.0003011124883171239,0.0057735549180065685,0.16599003913073815,0.6022249766342478,1.3572962525170944,0.9635599626132549,0.9999999999997768,2.2315482794965646e-13,0.9942595876678453,0.8576402597277023,0.9989240668149422,0.9999999999997768,0.948276487613335,0.948276487613335,0.05077236364028503
burgers_shock_warning,0.075,1.3334230027831278,0.26560584551255945,0.000300424406221905,0.005768087794523002,0.16619893098123825,0.6008488124438099,1.348136002782348,0.9613580999085579,0.9999999999996995,3.005373727660299e-13,0.9942649922337748,0.8574866375144088,0.9987874430480638,0.9999999999996995,0.948221583279816,0.948221583279816,0.05076815273783681
burgers_shock_warning,0.08,1.3334230027831278,0.2656045961559943,0.0002997517980516607,0.005762899554887129,0.16640595712860404,0.5995035961033214,1.3390986733443717,0.9592057537637797,0.9999999999996182,3.8180569816859133e-13,0.9942701211613219,0.8573344416567853,0.9986456869917906,0.9999999999996182,0.9481671101778657,0.9481671101778657,0.050764639939545504
burgers_shock_warning,0.085,1.3334230027831278,0.2656033498460433,0.0002990944611437042,0.005757987833704268,0.1666111454642788,0.5981889222874084,1.3301818046888116,0.9571022756583223,0.9999999999995415,4.585221091701897e-13,0.9942749767803423,0.8571836501716497,0.9984992631982608,0.9999999999995415,0.9481130611468372,0.9481130611468372,0.050761824587354884
burgers_shock_warning,0.09,1.3334230027831278,0.26560210651585514,0.0002984521989203207,0.005753350369251329,0.16681452274725775,0.5969043978406414,1.3213830025274793,0.9550470365434984,0.9999999999994769,5.231370892033738e-13,0.9942795613187477,0.8570342419509024,0.9983486218927923,0.9999999999994769,0.9480594293103817,0.9480594293103817,0.05075970596912179
burgers_shock_warning,0.095,1.3334230027831278,0.26560086609947603,0.00029782482072265013,0.005748985001510161,0.1670161157578339,0.5956496414453003,1.3126999356489135,0.9530394263109558,0.9999999999994292,5.70765656959793e-13,0.994283876904433,0.8568861959122327,0.9981941993570125,0.9999999999994292,0.9480062077641516,0.9480062077641516,0.050758283620536686
burgers_shock_warning,0.1,1.3334230027831278,0.2655996285318213,0.0002972121416511725,0.00574488966967609,0.16721594972228404,0.594424283302345,1.3041303338534809,0.9510788532822304,0.9999999999993918,6.081801728896608e-13,0.9942879255677223,0.8567394921547553,0.998036418299219,0.9999999999993918,0.9479533900029049,0.9479533900029049,0.050757556904186
burgers_shock_warning,0.105,1.3334230027831278,0.26559839374865235,0.0002966139824125268,0.0057410624106757225,0.16741405126682882,0.5932279648250536,1.2956719859691272,0.9491647437185673,0.9999999999993366,6.63358257213531e-13,0.9942917092428195,0.8565941097889321,0.9978756882123583,0.9999999999993366,0.9479009691208451,0.9479009691208451,0.05075752578651884
burgers_shock_warning,0.11,1.3334230027831278,0.2655971616865479,0.00029603016917239975,0.0057375013562656185,0.16761044407544598,0.5920603383447994,1.2873227379441747,0.9472965413501636,0.9999999999992,8.000267115448878e-13,0.9942952297706623,0.8564500301227044,0.9977124057199936,0.9999999999992,0.947848938987792,0.947848938987792,0.05075818968721188
burgers_shock_warning,0.115,1.3334230027831278,0.2655959322828827,0.000295460533414245,0.00573420473212404,0.1678051536451969,0.59092106682849,1.279080491013599,0.9454737069240714,0.9999999999988651,1.134869975771835e-12,0.994298488899807,0.8563072331703551,0.9975469549106212,0.9999999999988651,0.9477972929619594,0.9477972929619594,0.05075954873076349
burgers_shock_warning,0.12,1.3334230027831278,0.2655947054758014,0.00029490491180359245,0.005731170855395507,0.16799820345579042,0.5898098236071849,1.270943199935393,0.9436957177699862,0.9999999999981363,1.8637313914382503e-12,0.9943014882888426,0.8561657004619279,0.9973797076606798,0.9999999999981363,0.9477460249271757,0.9477460249271757,0.050761602732890314
burgers_shock_warning,0.125,1.3334230027831278,0.265593481204196,0.0002943631460577315,0.005728398133324916,0.1681896170711294,0.588726292115463,1.2629088712943135,0.9419620673832338,0.9999999999967113,3.2887026435446387e-12,0.9943042295077308,0.8560254135002395,0.9972110239465879,0.9999999999967113,0.9476951287242884,0.9476951287242884,0.05076435175134855
burgers_shock_warning,0.13,1.3334230027831278,0.26559225940768405,0.0002938350828205544,0.005725885061636643,0.1683794180892684,0.5876701656411087,1.2549755618695482,0.9402722650242697,0.9999999999941461,5.853872941941063e-12,0.9943067140393969,0.8558863537970989,0.9970412521461268,0.9999999999941461,0.9476445981650996,0.9476445981650996,0.050767796068915905
burgers_shock_warning,0.135,1.3334230027831278,0.2655910400265852,0.0002933205735423595,0.005723630222840528,0.16856762893369145,0.586641147084719,1.247141377063873,0.9386258353340489,0.999999999989812,1.0187961585472749e-11,0.994308943281394,0.8557485037579655,0.9968707293294801,0.999999999989812,0.9475944273594977,0.9475944273594977,0.05077193587319442
burgers_shock_warning,0.14,1.3334230027831278,0.2655898230018999,0.0002928194743644249,0.005721632284886262,0.1687542717320903,0.5856389487288498,1.239404469391338,0.9370223179646606,0.999999999982855,1.7144952124681367e-11,0.9943109185472252,0.8556118460367235,0.9966997815402256,0.999999999982855,0.9475446104779341,0.9475446104779341,0.050776771484793794
burgers_shock_warning,0.145,1.3334230027831278,0.2655886082752895,0.00029233164600817355,0.0057198900000672665,0.16893936880111188,0.5846632920163471,1.2317630370212547,0.9354612672246589,0.9999999999721396,2.7860380669153528e-11,0.994312641067418,0.8554763631800857,0.9965287240665676,0.9999999999721396,0.947495141620586,0.947495141620586,0.050782303481242234
burgers_shock_warning,0.15,1.3334230027831278,0.2655873957890546,0.0002918569536687531,0.005718402203308434,0.16912294155196336,0.5837139073375062,1.2242153223756316,0.9339422517385157,0.999999999956199,4.3800962856721526e-11,0.9943141119912089,0.8553420384280036,0.9963578617030814,0.999999999956199,0.9474460151134585,0.9474460151134585,0.050788532407815556
burgers_shock_warning,0.155,1.3334230027831278,0.26558618548611457,0.00029139526691287024,0.005717167811206105,0.16930501054152527,0.5827905338257404,1.2167596107782188,0.9324648541196929,0.9999999999331771,6.682288056225616e-11,0.9943153323874857,0.8552088556747762,0.9961874890032393,0.9999999999331771,0.947397225494508,0.947397225494508,0.05079545878922461
burgers_shock_warning,0.16,1.3334230027831278,0.26558497730999064,0.00029094645958072655,0.005716185821134646,0.16948559778865607,0.581892919161453,1.2093942291527797,0.9310286706568354,0.9999999999007705,9.922951349494724e-11,0.994316303245664,0.8550767977740547,0.9960178905229694,0.9999999999007705,0.9473487668881251,0.9473487668881251,0.050803083731484476
burgers_shock_warning,0.165,1.3334230027831278,0.2655837712047839,0.0002905104096919011,0.0057154553095607515,0.1696647229329834,0.5810208193838022,1.202117544768342,0.9296333110125964,0.9999999998561738,1.4382617319341762e-10,0.9943170254773487,0.8549458493477158,0.9958493410554935,0.9999999998561738,0.947300634042945,0.947300634042945,0.050811407917403795
burgers_shock_warning,0.17,1.3334230027831278,0.26558256711515776,0.0002900869993550461,0.005714975431659198,0.16984240614504534,0.5801739987100921,1.1949279640297972,0.9282783979346624,0.9999999997960257,2.0397428190932487e-10,0.9943174999167071,0.8548159946563032,0.9956821058576801,0.9999999997960257,0.9472528215457308,0.9472528215457308,0.050820432364017155
burgers_shock_warning,0.17500000000000002,1.3334230027831278,0.26558136498632,0.00028967611468125966,0.005714745420144485,0.17001866727979228,0.5793522293625193,1.1878239313115468,0.9269635669785479,0.999999999716362,2.836380019743956e-10,0.9943177273216203,0.8546872182175749,0.9955164408681393,0.999999999716362,0.9472053240502181,0.9472053240502181,0.050830158199544624
