Q_bar_quartile,n,Q_bar_min,Q_bar_max,Q_bar_median,mean_D_struct,peak_D_struct,outer_residual_fraction,nfw_like_chi2,rar_mean_sigma_residual
Q1_low,44,0.2204692023,0.542449055,0.42318722519999996,0.2428687035813076,0.44775794646725675,0.672111502206758,7.786923306285132,2.9479796774520803
Q2,44,0.5497638988,0.7688801209,0.6427422366,0.22651416239216093,0.3957737769643133,0.663870345471846,13.310494612190807,3.41272904667831
Q3,43,0.7813225316,1.213377402,0.9339969516,0.204445771737152,0.33538229485621307,0.6456200133609111,27.144980320938355,3.7493596190720684
Q4_high,44,1.227428664,2.51581989,1.7026440919999999,0.12829711106959008,0.24393182588452983,0.6655672785819517,280.47119600958763,4.342400494723768
