morphology_proxy,n,median_Q_bar,mean_Q_bar,mean_D_struct,outer_residual_fraction,nfw_like_chi2
dwarf_proxy,70,0.5999046669,0.6586243416942856,0.24942481879698145,0.6845413001379181,4.226026922685082
dm_dominated_disk_proxy,32,0.7324029463999999,0.8794560128375,0.24384184978118445,0.7967078042771912,8.967543284108341
gas_rich_late_proxy,9,0.7388883814,0.9493278349444445,0.2639093507162376,0.835033091962444,4.408911614802793
disk_proxy,38,0.9707164688,1.0305924263026316,0.13213340683342858,0.539782302873165,139.8686494380619
bulge_proxy,26,1.6886587605,1.6923284163038466,0.09346757883419574,0.5534713864083455,326.876192837544
