k_hMpc,t,delta_lambda_a
1.000000000000000021e-02,6.856856856856857085e+00,4.980704980762592271e+00
1.000000000000000021e-02,6.866866866866867092e+00,5.030812363156152323e+00
1.000000000000000021e-02,6.876876876876877098e+00,5.081423838663579495e+00
1.000000000000000021e-02,6.886886886886887105e+00,5.132544478612321548e+00
1.000000000000000021e-02,6.896896896896897111e+00,5.184179405348682934e+00
1.000000000000000021e-02,6.906906906906907118e+00,5.236333792751088012e+00
1.000000000000000021e-02,6.916916916916917124e+00,5.289012866748510788e+00
1.000000000000000021e-02,6.926926926926927131e+00,5.342221905844116492e+00
1.000000000000000021e-02,6.936936936936937137e+00,5.395966241644177153e+00
1.000000000000000021e-02,6.946946946946947143e+00,5.450251259392301151e+00
1.000000000000000021e-02,6.956956956956957150e+00,5.505082398509043351e+00
1.000000000000000021e-02,6.966966966966967156e+00,5.560465153136939342e+00
1.000000000000000021e-02,6.976976976976977163e+00,5.616405072691026845e+00
1.000000000000000021e-02,6.986986986986987169e+00,5.672907762414902244e+00
1.000000000000000021e-02,6.996996996996997176e+00,5.729978883942370871e+00
1.000000000000000021e-02,7.007007007007007182e+00,5.787624155864752318e+00
1.000000000000000021e-02,7.017017017017017189e+00,5.845849354303886969e+00
1.000000000000000021e-02,7.027027027027027195e+00,5.904660313490911250e+00
1.000000000000000021e-02,7.037037037037037202e+00,5.964062926350854887e+00
1.000000000000000021e-02,7.047047047047047208e+00,6.024063145093117022e+00
1.000000000000000021e-02,7.057057057057057214e+00,6.084666981807886010e+00
1.000000000000000021e-02,7.067067067067067221e+00,6.145880509068556208e+00
1.000000000000000021e-02,7.077077077077077227e+00,6.207709860540208346e+00
1.000000000000000021e-02,7.087087087087087234e+00,6.270161231594208573e+00
1.000000000000000021e-02,7.097097097097097240e+00,6.333240879928991873e+00
1.000000000000000021e-02,7.107107107107107247e+00,6.396955126197090280e+00
1.000000000000000021e-02,7.117117117117117253e+00,6.461310354638471587e+00
1.000000000000000021e-02,7.127127127127127260e+00,6.526313013720243639e+00
1.000000000000000021e-02,7.137137137137137266e+00,6.591969616782801467e+00
1.000000000000000021e-02,7.147147147147147273e+00,6.658286742692469673e+00
1.000000000000000021e-02,7.157157157157157279e+00,6.725271036500713784e+00
1.000000000000000021e-02,7.167167167167167285e+00,6.792929210109979188e+00
1.000000000000000021e-02,7.177177177177177292e+00,6.861268042946234935e+00
1.000000000000000021e-02,7.187187187187187298e+00,6.930294382638276574e+00
1.000000000000000021e-02,7.197197197197197305e+00,7.000015145703869734e+00
1.000000000000000021e-02,7.207207207207207311e+00,7.070437318242789537e+00
1.000000000000000021e-02,7.217217217217217318e+00,7.141567956636838410e+00
1.000000000000000021e-02,7.227227227227227324e+00,7.213414188256902726e+00
1.000000000000000021e-02,7.237237237237237331e+00,7.285983212177123747e+00
1.000000000000000021e-02,7.247247247247247337e+00,7.359282299896252155e+00
1.000000000000000021e-02,7.257257257257257343e+00,7.433318796066260781e+00
1.000000000000000021e-02,7.267267267267267350e+00,7.508100119228287461e+00
1.000000000000000021e-02,7.277277277277277356e+00,7.583633762555981761e+00
1.000000000000000021e-02,7.287287287287287363e+00,7.659927294606328374e+00
1.000000000000000021e-02,7.297297297297297369e+00,7.736988360078026261e+00
1.000000000000000021e-02,7.307307307307307376e+00,7.814824680577494576e+00
1.000000000000000021e-02,7.317317317317317382e+00,7.893444055392588865e+00
1.000000000000000021e-02,7.327327327327327389e+00,7.972854362274095941e+00
1.000000000000000021e-02,7.337337337337337395e+00,8.053063558225094454e+00
1.000000000000000021e-02,7.347347347347347402e+00,8.134079680298258452e+00
1.000000000000000021e-02,7.357357357357357408e+00,8.215910846401172307e+00
1.000000000000000021e-02,7.367367367367367414e+00,8.298565256109762700e+00
1.000000000000000021e-02,7.377377377377377421e+00,8.382051191489900077e+00
1.000000000000000021e-02,7.387387387387387427e+00,8.466377017927269932e+00
1.000000000000000021e-02,7.397397397397397434e+00,8.551551184965600072e+00
1.000000000000000021e-02,7.407407407407407440e+00,8.637582227153309589e+00
1.000000000000000021e-02,7.417417417417417447e+00,8.724478764898679017e+00
1.000000000000000021e-02,7.427427427427427453e+00,8.812249505333632271e+00
1.000000000000000021e-02,7.437437437437437460e+00,8.900903243186192526e+00
1.000000000000000021e-02,7.447447447447447466e+00,8.990448861661729296e+00
1.000000000000000021e-02,7.457457457457457473e+00,9.080895333333064201e+00
1.000000000000000021e-02,7.467467467467467479e+00,9.172251721039533123e+00
1.000000000000000021e-02,7.477477477477477485e+00,9.264527178795093576e+00
1.000000000000000021e-02,7.487487487487487492e+00,9.357730952705567873e+00
1.000000000000000021e-02,7.497497497497497498e+00,9.451872381895109143e+00
1.000000000000000021e-02,7.507507507507507505e+00,9.546960899441996773e+00
1.000000000000000021e-02,7.517517517517517511e+00,9.643006033323841208e+00
1.000000000000000021e-02,7.527527527527527518e+00,9.740017407372295821e+00
1.000000000000000021e-02,7.537537537537537524e+00,9.838004742237378863e+00
1.000000000000000021e-02,7.547547547547547531e+00,9.936977856361489003e+00
1.000000000000000021e-02,7.557557557557557537e+00,1.003694666696322990e+01
1.000000000000000021e-02,7.567567567567567544e+00,1.013792119103112377e+01
1.000000000000000021e-02,7.577577577577577550e+00,1.023991154632732403e+01
1.000000000000000021e-02,7.587587587587587556e+00,1.034292795240142837e+01
1.000000000000000021e-02,7.597597597597597563e+00,1.044698073161448981e+01
1.000000000000000021e-02,7.607607607607607569e+00,1.055208031017332893e+01
1.000000000000000021e-02,7.617617617617617576e+00,1.065823721917524836e+01
1.000000000000000021e-02,7.627627627627627582e+00,1.076546209566326340e+01
1.000000000000000021e-02,7.637637637637637589e+00,1.087376568369194807e+01
1.000000000000000021e-02,7.647647647647647595e+00,1.098315883540399618e+01
1.000000000000000021e-02,7.657657657657657602e+00,1.109365251211762349e+01
1.000000000000000021e-02,7.667667667667667608e+00,1.120525778542489981e+01
1.000000000000000021e-02,7.677677677677677615e+00,1.131798583830113891e+01
1.000000000000000021e-02,7.687687687687687621e+00,1.143184796622544397e+01
1.000000000000000021e-02,7.697697697697697627e+00,1.154685557831252751e+01
1.000000000000000021e-02,7.707707707707707634e+00,1.166302019845591609e+01
1.000000000000000021e-02,7.717717717717717640e+00,1.178035346648266035e+01
1.000000000000000021e-02,7.727727727727727647e+00,1.189886713931965545e+01
1.000000000000000021e-02,7.737737737737737653e+00,1.201857309217170311e+01
1.000000000000000021e-02,7.747747747747747660e+00,1.213948331971141492e+01
1.000000000000000021e-02,7.757757757757757666e+00,1.226160993728109894e+01
1.000000000000000021e-02,7.767767767767767673e+00,1.238496518210672370e+01
1.000000000000000021e-02,7.777777777777777679e+00,1.250956141452410719e+01
1.000000000000000021e-02,7.787787787787787686e+00,1.263541111921743720e+01
1.000000000000000021e-02,7.797797797797797692e+00,1.276252690647024401e+01
1.000000000000000021e-02,7.807807807807807698e+00,1.289092151342897274e+01
1.000000000000000021e-02,7.817817817817817705e+00,1.302060780537925666e+01
1.000000000000000021e-02,7.827827827827827711e+00,1.315159877703503355e+01
1.000000000000000021e-02,7.837837837837837718e+00,1.328390755384063127e+01
1.000000000000000021e-02,7.847847847847847724e+00,1.341754739328595036e+01
1.000000000000000021e-02,7.857857857857857731e+00,1.355253168623488413e+01
1.000000000000000021e-02,7.867867867867867737e+00,1.368887395826709152e+01
1.000000000000000021e-02,7.877877877877877744e+00,1.382658787103328457e+01
1.000000000000000021e-02,7.887887887887887750e+00,1.396568722362413162e+01
1.000000000000000021e-02,7.897897897897897757e+00,1.410618595395294861e+01
1.000000000000000021e-02,7.907907907907907763e+00,1.424809814015229215e+01
1.000000000000000021e-02,7.917917917917917769e+00,1.439143800198460355e+01
1.000000000000000021e-02,7.927927927927927776e+00,1.453621990226704597e+01
1.000000000000000021e-02,7.937937937937937782e+00,1.468245834831067320e+01
1.000000000000000021e-02,7.947947947947947789e+00,1.483016799337408465e+01
1.000000000000000021e-02,7.957957957957957795e+00,1.497936363813168903e+01
1.000000000000000021e-02,7.967967967967967802e+00,1.513006023215675810e+01
1.000000000000000021e-02,7.977977977977977808e+00,1.528227287541938217e+01
1.000000000000000021e-02,7.987987987987987815e+00,1.543601681979951401e+01
1.000000000000000021e-02,7.997997997997997821e+00,1.559130747061521660e+01
1.000000000000000021e-02,8.008008008008008716e+00,1.574816038816629593e+01
1.000000000000000021e-02,8.018018018018018722e+00,1.590659128929346267e+01
1.000000000000000021e-02,8.028028028028028729e+00,1.606661604895317552e+01
1.000000000000000021e-02,8.038038038038038735e+00,1.622825070180832796e+01
1.000000000000000021e-02,8.048048048048048742e+00,1.639151144383494341e+01
1.000000000000000021e-02,8.058058058058058748e+00,1.655641463394503177e+01
1.000000000000000021e-02,8.068068068068068754e+00,1.672297679562576533e+01
1.000000000000000021e-02,8.078078078078078761e+00,1.689121461859515705e+01
1.000000000000000021e-02,8.088088088088088767e+00,1.706114496047438323e+01
1.000000000000000021e-02,8.098098098098098774e+00,1.723278484847693903e+01
1.000000000000000021e-02,8.108108108108108780e+00,1.740615148111478661e+01
1.000000000000000021e-02,8.118118118118118787e+00,1.758126222992166277e+01
1.000000000000000021e-02,8.128128128128128793e+00,1.775813464119372753e+01
1.000000000000000021e-02,8.138138138138138800e+00,1.793678643774772397e+01
1.000000000000000021e-02,8.148148148148148806e+00,1.811723552069682341e+01
1.000000000000000021e-02,8.158158158158158813e+00,1.829949997124433381e+01
1.000000000000000021e-02,8.168168168168168819e+00,1.848359805249546639e+01
1.000000000000000021e-02,8.178178178178178825e+00,1.866954821128731368e+01
1.000000000000000021e-02,8.188188188188188832e+00,1.885736908003723755e+01
1.000000000000000021e-02,8.198198198198198838e+00,1.904707947860987005e+01
1.000000000000000021e-02,8.208208208208208845e+00,1.923869841620287602e+01
1.000000000000000021e-02,8.218218218218218851e+00,1.943224509325170146e+01
1.000000000000000021e-02,8.228228228228228858e+00,1.962773890335348170e+01
1.000000000000000021e-02,8.238238238238238864e+00,1.982519943521029049e+01
1.000000000000000021e-02,8.248248248248248871e+00,2.002464647459196456e+01
1.000000000000000021e-02,8.258258258258258877e+00,2.022610000631864935e+01
1.000000000000000021e-02,8.268268268268268884e+00,2.042958021626330734e+01
1.000000000000000021e-02,8.278278278278278890e+00,2.063510749337435968e+01
1.000000000000000021e-02,8.288288288288288896e+00,2.084270243171868486e+01
1.000000000000000021e-02,8.298298298298298903e+00,2.105238583254516982e+01
1.000000000000000021e-02,8.308308308308308909e+00,2.126417870636901952e+01
1.000000000000000021e-02,8.318318318318318916e+00,2.147810227507702763e+01
1.000000000000000021e-02,8.328328328328328922e+00,2.169417797405403903e+01
1.000000000000000021e-02,8.338338338338338929e+00,2.191242745433079975e+01
1.000000000000000021e-02,8.348348348348348935e+00,2.213287258475341091e+01
1.000000000000000021e-02,8.358358358358358942e+00,2.235553545417461763e+01
1.000000000000000021e-02,8.368368368368368948e+00,2.258043837366713191e+01
1.000000000000000021e-02,8.378378378378378954e+00,2.280760387875923101e+01
1.000000000000000021e-02,8.388388388388388961e+00,2.303705473169284090e+01
1.000000000000000021e-02,8.398398398398398967e+00,2.326881392370434298e+01
1.000000000000000021e-02,8.408408408408408974e+00,2.350290467732831701e+01
1.000000000000000021e-02,8.418418418418418980e+00,2.373935044872446554e+01
1.000000000000000021e-02,8.428428428428428987e+00,2.397817493002795430e+01
1.000000000000000021e-02,8.438438438438438993e+00,2.421940205172337812e+01
1.000000000000000021e-02,8.448448448448449000e+00,2.446305598504264012e+01
1.000000000000000021e-02,8.458458458458459006e+00,2.470916114438692190e+01
1.000000000000000021e-02,8.468468468468469013e+00,2.495774218977304315e+01
1.000000000000000021e-02,8.478478478478479019e+00,2.520882402930441657e+01
1.000000000000000021e-02,8.488488488488489025e+00,2.546243182166687546e+01
1.000000000000000021e-02,8.498498498498499032e+00,2.571859097864959764e+01
1.000000000000000021e-02,8.508508508508509038e+00,2.597732716769139216e+01
1.000000000000000021e-02,8.518518518518519045e+00,2.623866631445261888e+01
1.000000000000000021e-02,8.528528528528529051e+00,2.650263460541295402e+01
1.000000000000000021e-02,8.538538538538539058e+00,2.676925849049531791e+01
1.000000000000000021e-02,8.548548548548549064e+00,2.703856468571617455e+01
1.000000000000000021e-02,8.558558558558559071e+00,2.731058017586251907e+01
1.000000000000000021e-02,8.568568568568569077e+00,2.758533221719577710e+01
1.000000000000000021e-02,8.578578578578579084e+00,2.786284834018291079e+01
1.000000000000000021e-02,8.588588588588589090e+00,2.814315635225501566e+01
1.000000000000000021e-02,8.598598598598599096e+00,2.842628434059363940e+01
1.000000000000000021e-02,8.608608608608609103e+00,2.871226067494516343e+01
1.000000000000000021e-02,8.618618618618619109e+00,2.900111401046347837e+01
