z,a,D_LCDM,D_MAAT,fsigma8_LCDM,fsigma8_MAAT,dD_pct,dfsigma8_pct
7.342922330043755608e+01,1.343558290220826616e-02,5.992537342897255592e-02,5.988845512517725761e-02,3.949368072087747900e-02,3.946935016979572636e-02,-6.160713180879261869e-02,-6.160618771825645407e-02
7.274549090259550610e+01,1.356015110565633904e-02,6.037550709239867391e-02,6.033831147857041804e-02,3.962136512657259135e-02,3.959695594198511109e-02,-6.160712451049348004e-02,-6.160611707724809871e-02
7.206803950529497627e+01,1.368587424502519523e-02,6.082711259967940598e-02,6.078963876939706690e-02,3.975232112785665600e-02,3.972783129554449677e-02,-6.160711676216665961e-02,-6.160604366570647528e-02
7.139681140910875001e+01,1.381276302832009847e-02,6.128022701207233580e-02,6.124247403609759527e-02,3.988652034758398413e-02,3.986194787084561958e-02,-6.160710854955402799e-02,-6.160596744020804816e-02
7.073174944465611702e+01,1.394082826282578777e-02,6.173488707268157821e-02,6.169685399915533081e-02,4.002393521036990559e-02,3.999927810952774720e-02,-6.160709985825420926e-02,-6.160588835794915397e-02
7.007279696773417754e+01,1.407008085602685227e-02,6.219112921549060230e-02,6.215281507012382356e-02,4.016453892803464876e-02,4.013979523995322291e-02,-6.160709067368956571e-02,-6.160580637004370308e-02
6.941989785449287353e+01,1.420053181653683355e-02,6.264898957423144232e-02,6.261039336049059600e-02,4.030830548535149077e-02,4.028347326296161102e-02,-6.160708098111382369e-02,-6.160572142856284711e-02
6.877299649665536663e+01,1.433219225503574133e-02,6.310850399109377284e-02,6.306962469038089603e-02,4.045520962609147619e-02,4.043028693792235367e-02,-6.160707076555591716e-02,-6.160563348817429258e-02
6.813203779678127603e+01,1.446507338521647174e-02,6.356970802527725506e-02,6.353054459710472113e-02,4.060522683935044452e-02,4.058021176907355976e-02,-6.160706001191850606e-02,-6.160554249790008152e-02
6.749696716357439641e+01,1.459918652473980033e-02,6.403263696139017969e-02,6.399318834355036123e-02,4.075833334617619957e-02,4.073322399215547479e-02,-6.160704870487346274e-02,-6.160544840600174626e-02
6.686773050723294887e+01,1.473454309619835756e-02,6.449732581769772322e-02,6.445759092642756871e-02,4.091450608644073977e-02,4.088930056129076729e-02,-6.160703682888424987e-02,-6.160535116010043555e-02
6.624427423484243604e+01,1.487115462808955187e-02,6.496380935422287062e-02,6.492378708436354062e-02,4.107372270602351050e-02,4.104841913617501836e-02,-6.160702436814292221e-02,-6.160525070882201526e-02
6.562654524581149929e+01,1.500903275579736421e-02,6.543212208070316172e-02,6.539181130585466906e-02,4.123596154423476295e-02,4.121055806951016975e-02,-6.160701130673074122e-02,-6.160514699612935907e-02
6.501449092734884516e+01,1.514818922258347016e-02,6.590229826440600902e-02,6.586169783707720993e-02,4.140120162151011279e-02,4.137569639470503602e-02,-6.160699762837783255e-02,-6.160503996537496779e-02
6.440805914998253456e+01,1.528863588058730801e-02,6.637437193780584832e-02,6.633348068955960408e-02,4.156942262735741078e-02,4.154381381382860755e-02,-6.160698331663337635e-02,-6.160492956173443946e-02
6.380719826311965903e+01,1.543038469183565832e-02,6.684837690612563388e-02,6.680719364771940671e-02,4.174060490855682065e-02,4.171489068582115434e-02,-6.160696835475948374e-02,-6.160481572320217897e-02
6.321185709064759806e+01,1.557344772926134817e-02,6.732434675474584240e-02,6.728287027626772554e-02,4.191472945760859464e-02,4.188890801494544319e-02,-6.160695272575086867e-02,-6.160469838954000382e-02
6.262198492657483939e+01,1.571783717773164030e-02,6.780231485648342826e-02,6.776054392748367960e-02,4.209177790141651471e-02,4.206584743947838073e-02,-6.160693641237001417e-02,-6.160457749935370486e-02
6.203753153071277637e+01,1.586356533508590655e-02,6.828231437874368592e-02,6.824024774836194573e-02,4.227173249021233536e-02,4.224569122064152776e-02,-6.160691939703137610e-02,-6.160445299193081231e-02
6.145844712439613033e+01,1.601064461318318921e-02,6.876437829054751760e-02,6.872201468763564081e-02,4.245457608670964722e-02,4.242842223176457317e-02,-6.160690166190330858e-02,-6.160432480036347191e-02
6.088468238624385265e+01,1.615908753895918537e-02,6.924853936943677069e-02,6.920587750267744032e-02,4.264029215548364310e-02,4.261402394766981849e-02,-6.160688318887404952e-02,-6.160419285599677552e-02
6.031618844795771395e+01,1.630890675549333604e-02,6.973483020826012901e-02,6.969186876628138960e-02,4.282886475257726561e-02,4.280248043428374477e-02,-6.160686395942584215e-02,-6.160405709080378489e-02
5.975291689016074059e+01,1.646011502308550659e-02,7.022328322184218097e-02,7.018002087332775307e-02,4.302027851532013586e-02,4.299377633846258873e-02,-6.160684395481471481e-02,-6.160391743653943764e-02
5.919481973827272014e+01,1.661272522034293667e-02,7.071393065353794027e-02,7.067036604733362148e-02,4.321451865236393408e-02,4.318789687803599453e-02,-6.160682315591118480e-02,-6.160377381985088913e-02
5.864184945842462326e+01,1.676675034527700184e-02,7.120680458167537308e-02,7.116293634689144221e-02,4.341157093392809807e-02,4.338482783205628579e-02,-6.160680154326162589e-02,-6.160362616804392760e-02
5.809395895340968252e+01,1.692220351641037998e-02,7.170193692588820722e-02,7.165776367199797048e-02,4.361142168224512589e-02,4.358455553125136633e-02,-6.160677909704814770e-02,-6.160347440518585543e-02
5.755110155867235733e+01,1.707909797389429302e-02,7.219935945334128580e-02,7.215487977027579269e-02,4.381405776222237897e-02,4.378706684869171362e-02,-6.160675579710374328e-02,-6.160331845350699304e-02
