family,gate_v17_mean,gate_v17_median,gate_v17_count,score_with_R_mean,score_with_R_median,score_with_R_count,moms_mean,moms_median,moms_count,jeroslow_wang_mean,jeroslow_wang_median,jeroslow_wang_count,vsids_mean,vsids_median,vsids_count,G_gate_mean,G_gate_median,G_gate_count,R_rob_mean,R_rob_median,R_rob_count,S_mean,S_median,S_count,V_mean,V_median,V_count,alpha_mean,alpha_median,alpha_count,delta_gate_vs_score_with_R_mean,delta_gate_vs_score_with_R_median,delta_gate_vs_score_with_R_count,delta_gate_vs_moms_mean,delta_gate_vs_moms_median,delta_gate_vs_moms_count,regret_gate_to_moms_mean,regret_gate_to_moms_median,regret_gate_to_moms_count
satlib_dimacs_aim,65.9736,61.004,5,64.8896,66.332,5,37.937599999999996,31.82,5,45.598400000000005,45.848,5,68.4568,58.74399999999999,5,3.9255523255009555e-05,4.0307861328311855e-05,5,0.49068944002441556,0.4916927113209335,5,0.10287350651162978,0.1039139631112823,5,0.7409317443621599,0.7399170940129377,5,1.594,1.6,5,-1.0840000000000067,-0.6640000000000015,5,-28.036,-29.188000000000017,5,28.036,29.188000000000017,5
satlib_dimacs_dubois,263.3944,308.328,5,326.3192,372.304,5,65.38640000000001,72.412,5,335.3784,396.3200000000001,5,289.8656,345.108,5,0.18339442396642353,0.2289809257190513,5,0.6878972090812241,0.7654988376971243,5,0.36762100277103066,0.4437972098062565,5,0.7365593909682705,0.773737373714394,5,2.397333333333333,2.6666666666666665,5,62.924800000000005,46.548,5,-198.00799999999998,-229.05199999999996,5,198.00799999999998,229.05199999999996,5
satlib_dimacs_pigeonhole,2185.692,2432.644,5,2159.1192,2416.728,5,2097.5552,2398.768,5,2096.5032,2412.884,5,1809.6583999999998,2484.276,5,0.2357709130126852,0.2424046179718122,5,0.7662375329008286,0.7677905850290521,5,0.8641569409797196,0.8852573387803092,5,0.8128916119982312,0.8133333333317778,5,4.129126984126984,4.125,5,-26.572799999999962,-17.83600000000024,5,-88.13680000000015,-35.79600000000028,5,88.13680000000015,35.79600000000028,5
satlib_graph_coloring_flat30,5.4319999999999995,4.504,5,6.3936,5.688,5,5.2032,4.504,5,9.068,5.984,5,2.8199999999999994,2.1359999999999997,5,0.03428880039744066,0.0342963149169615,5,0.7001598935507001,0.7001979779716768,5,0.7597335072446649,0.7597335072446649,5,0.6948888888839658,0.6958055555497646,5,3.3333333333333335,3.3333333333333335,5,0.961600000000001,1.1840000000000002,5,-0.2287999999999993,0.0,5,0.2287999999999993,0.0,5
satlib_random_3sat_uf20,3.9928,2.892,5,3.5768,2.2920000000000003,5,3.0216000000000003,2.3200000000000003,5,2.5728,1.848,5,3.8823999999999996,3.96,5,0.816162317110378,0.8414085409890054,5,0.849381128310335,0.8541397369962878,5,0.9734469010825562,0.9734469010825562,5,0.9293690266232406,0.9310366968960846,5,4.55,4.55,5,-0.41599999999999965,-1.6199999999999999,5,-0.9711999999999996,-1.632,5,0.9711999999999996,1.632,5
satlib_random_3sat_uuf50,59.7024,60.94,5,61.775999999999996,63.848,5,40.6456,39.136,5,40.824,41.29600000000001,5,50.444,59.148,5,0.5362771465134887,0.532391501731919,5,0.8073504938660084,0.8068186532107365,5,0.9968051145430328,0.9968051145430328,5,0.8045244686819701,0.8050587894349703,5,4.36,4.36,5,2.0735999999999963,2.671999999999997,5,-19.0568,-21.803999999999995,5,19.0568,21.803999999999995,5
