policy,solved_rate,timeout_rate,median_conflicts,median_decisions,median_compute_cost,mean_compute_cost,median_runtime_s,n_runs
mode_a,1.0,0.0,4.0,7.0,5.252,20.55680808080808,0.0014541250420734286,99
progress_only,1.0,0.0,4.0,7.0,5.26,13.276242424242424,0.0013816669816151261,99
mode_a_gated,1.0,0.0,4.0,8.0,5.268,19.986464646464647,0.0014942080015316606,99
vsids,1.0,0.0,4.0,7.0,5.584,12.884121212121212,0.0013815420679748058,99
maat_only,1.0,0.0,5.0,9.0,7.092,24.25389898989899,0.001910500111989677,99
random,1.0,0.0,4.0,10.0,7.212,27.587636363636364,0.0019402079051360488,99
