family,instance_id,n_vars,n_clauses,alpha,structure_gate,clustering_mean,degree_cv,v_std,tail_degree_pressure,symmetry_penalty
random_3sat,0,18,70,3.888888888888889,0.580322125399714,0.7406633489853811,0.2813959371700548,0.1241707749120198,0.22510822503698205,0.08700965900445529
planted_3sat,1,18,70,3.888888888888889,0.6014927534462027,0.7858331483216117,0.28428212486323867,0.13157843972439034,0.24069264062006193,0.08062894119522024
random_3sat,2,18,70,3.888888888888889,0.5800201031316141,0.7538646538531324,0.2634155559000754,0.12570787220256127,0.22510822503698205,0.09398281043113264
planted_3sat,3,18,70,3.888888888888889,0.5196303719252477,0.7470794637352949,0.22857142855183674,0.10657403384428885,0.1523809523159432,0.13120765062764092
random_3sat,4,18,70,3.888888888888889,0.5279419627103054,0.7914124455689032,0.23035022136021424,0.10622957319321032,0.17316017309338289,0.1304197022435578
planted_3sat,5,18,70,3.888888888888889,0.5055051256915299,0.7865395406963355,0.21946130706314926,0.09597413166820475,0.18874458867646263,0.15000435291342262
random_3sat,6,18,76,4.222222222222222,0.5864586407223658,0.8456413956302345,0.23829960887953994,0.13643668543861504,0.14035087713405536,0.097444682296231
planted_3sat,7,18,76,4.222222222222222,0.5072726392775132,0.8055836320442027,0.20384122873166605,0.10040713395316049,0.17384370009791836,0.15630715583101357
random_3sat,8,18,76,4.222222222222222,0.5156285261549945,0.7829542371104826,0.21700555922590278,0.10292820749736778,0.17384370009791836,0.14330746405232686
planted_3sat,9,18,76,4.222222222222222,0.5629946034928711,0.839914597012158,0.23829960887953994,0.12069402164400748,0.17384370009791836,0.1111047800957589
random_3sat,10,18,76,4.222222222222222,0.5928642995497128,0.8325376058115632,0.279740679260406,0.12175121574576078,0.2695374799946697,0.08951967362217207
planted_3sat,11,18,76,4.222222222222222,0.5532189974851758,0.831610519100284,0.2279014220305443,0.11947673981256918,0.15470494411856803,0.11822725597458801
random_3sat,12,18,83,4.611111111111111,0.5572780025510228,0.821181877299069,0.24365961945415332,0.11433239008828049,0.20883534130655368,0.11405573863611365
planted_3sat,13,18,83,4.611111111111111,0.5418700022684934,0.8580989272072643,0.2812678922671072,0.0965021114991169,0.22635998533595494,0.10964321071400292
random_3sat,14,18,83,4.611111111111111,0.5378969181232138,0.8181906056810792,0.2933926665302588,0.09054447784437773,0.265790434402108,0.1084462470104183
planted_3sat,15,18,83,4.611111111111111,0.5313144706451337,0.841432124510794,0.2620308815585465,0.09782110814519855,0.1956918582845028,0.11939352499667173
random_3sat,16,18,83,4.611111111111111,0.5900103423050901,0.8322347133513711,0.284347559526576,0.12707334702013023,0.1956918582845028,0.08368610237993868
planted_3sat,17,18,83,4.611111111111111,0.5834836176213465,0.835886644209355,0.23884611566464978,0.1310275157148192,0.1825483752624518,0.10165947384477973
random_3sat,18,22,86,3.909090909090909,0.6086329277301539,0.7179437474590066,0.27472938209547815,0.13892087215496568,0.2621564481289261,0.07955387251636015
planted_3sat,19,22,86,3.909090909090909,0.6053065219826991,0.6861679123544921,0.2978197319482254,0.1352988733217552,0.272492365440706,0.07305159762313772
random_3sat,20,22,86,3.909090909090909,0.6183047919184846,0.6879780350276307,0.2944716265364804,0.14879717032159445,0.22081277888180526,0.06638165425410862
planted_3sat,21,22,86,3.909090909090909,0.5841281071225656,0.6637440545103231,0.2783150863486125,0.1378519602343232,0.16913319232290464,0.07883945046098202
random_3sat,22,22,86,3.909090909090909,0.5894408783730343,0.7030918990226901,0.25861747777038574,0.14061552997713303,0.16913319232290464,0.08501874885971407
planted_3sat,23,22,86,3.909090909090909,0.5639413563118281,0.6989791437954079,0.2818551776922115,0.12856486929987845,0.1174536057640039,0.08368882697938514
