instance_id,formula_type,n_vars,n_clauses,alpha,satisfiable,dpll_nodes,dpll_timed_out,solve_time_s,log_nodes,degree_cv,max_degree_norm,literal_imbalance,interaction_cycle_density,backdoor_density,propagation_depth_mean,contradiction_rate_mean,covariance_condition_log,H,B,S,V,R_resp,R_rob,F_MAAT,density_peak,frust_mean,frust_std,frust_q75,frust_q90,frust_q95,frust_q99,frust_max,frust_tail95_mean,frust_tail_mass,frust_gini,hotspot_fraction,hotspot_cluster_frac,hotspot_edge_density,R_tail,R_var,R_cluster,R_sat,F_frust,F_mean,F_tail,F_cluster,F_scale,F_MAAT_multi
0,random,28,95,3.3806382229522005,True,10,False,0.0003547499654814601,2.3978952727983707,0.27167503624066847,1.5719298244069682,0.2646516181943822,0.18885959129855345,0.2857142857142857,0.0,0.0,4.422071804460074,0.47494251923638564,0.6460768934757655,0.5392292045648599,0.45765945923083595,0.5197835942547387,0.5197835942547387,3.2349854241535647,0.06873117443886372,0.28985468120387764,0.12929391757899383,0.39321516355593555,0.4887732164568072,0.5137689610401657,0.5347133878056352,0.5383611812880215,0.5316060081724912,0.19177101676741223,0.24615188029156232,0.10714285714285714,0.10714285714285714,0.9999999996666666,0.6606027906087225,0.8787156576081128,0.8071177470053893,0.7766795826700872,1.0109095595475202,0.28985468120387764,0.8290684091348363,0.6071428569761904,0.16844618050944005,1.8945121278243446
1,random,35,124,3.5322156303394943,True,23,False,0.0013735000975430012,3.1780538303479458,0.2614031350537544,1.4112903224478626,0.26434533717162184,0.16312542837556243,0.2857142857142857,0.0,0.0,4.35884002851666,0.47853529752379176,0.6494766268923968,0.5407906747417536,0.45662598681059885,0.5216101606459048,0.5216101606459048,3.2180621434412813,0.15976717123506565,0.2743352000587705,0.11491258179278538,0.3887747828977918,0.41533297808857217,0.44431667125350527,0.493591774276317,0.5043422504662931,0.4885327266575049,0.19010063479561073,0.2386072076143162,0.11428571428571428,0.11428571428571428,0.49999999991666666,0.6923689381305221,0.8914440689430874,0.7956694616416928,0.7889596426814279,0.9481604325281487,0.2743352000587705,0.7386377170905665,0.3642857142440476,0.14633156214290677,1.5235901935362914
2,random,30,115,3.8328742436217538,True,10,False,0.0004331660456955433,2.3978952727983707,0.23305861943162035,1.478260869436673,0.25792227922083394,0.18984312682792082,0.26666666666666666,0.0,0.0,4.295386706874548,0.4821957241227973,0.6622109022225972,0.5401386005670202,0.46115524351255377,0.5280668975965178,0.5280668975965178,3.170058708376101,0.5316844913858765,0.2786909521500951,0.12544979479033425,0.38786207862494165,0.49056977892521303,0.5033255411333257,0.5366916054774286,0.5486349429508854,0.528042981789753,0.18591313422251657,0.24706457904800372,0.1,0.1,0.9999999996666666,0.6651919179435486,0.88210004933328,0.8187307530779818,0.7831927128684776,0.9775059633204912,0.2786909521500951,0.8181496274276691,0.5999999998333333,0.1660177028241285,1.8628582822352262
3,random,33,128,3.8884064791674873,True,15,False,0.0006742089753970504,2.772588722239781,0.22669715823906364,1.4609374998744507,0.2846925504414623,0.19009617352154898,0.2727272727272727,0.0,0.0,4.1387213772601354,0.49147769220557613,0.6492987120928883,0.5403071227294743,0.45856264960879856,0.5269656942024658,0.5269656942024658,3.1780968615976777,0.6199463203444758,0.28275725429766785,0.12619293053845962,0.4019642995053162,0.47561212216177434,0.5038449257223181,0.5143374546109755,0.5153348572083738,0.5137764156499389,0.21477568269222844,0.2492485075200488,0.12121212121212122,0.12121212121212122,0.8333333331944445,0.6649621798734905,0.8814447727630759,0.7847231940537559,0.7719150593503568,1.0355230418278007,0.28275725429766785,0.8147075737008629,0.5378787878093434,0.16439992161772427,1.7997435374255983
4,random,29,121,4.173453008162616,True,10,False,0.0004404169740155339,2.3978952727983707,0.23608027861065528,1.438016528810737,0.2681918486945977,0.20434453144728357,0.3103448275862069,0.0,0.0,4.408448251374585,0.4757120315684994,0.655432719282726,0.5405302601779691,0.45366834284224206,0.5210390133404476,0.5210390133404476,3.2229260818634167,0.9743972297562424,0.29982446898020376,0.11349729537496316,0.39025246323407825,0.4676712156950559,0.47962168009065187,0.4884594560784099,0.48944022861185144,0.4876888490878487,0.16624965184451157,0.21552167990488247,0.10344827586206896,0.10344827586206896,0.9999999996666666,0.675848437107743,0.8927066108445703,0.8131037598190377,0.7886809386912318,0.9495737024197204,0.29982446898020376,0.7654138210909847,0.6034482756954023,0.144380214256757,1.8130667800233475
5,random,32,139,4.339428957198794,True,18,False,0.0008454999187961221,2.9444389791664403,0.20882595345851382,1.4580335730295992,0.24540419454421003,0.197431781701405,0.28125,0.0,0.0,4.755327876728848,0.4568646721537142,0.6776698024036968,0.5403353824925637,0.4588792286278912,0.52179675022545,0.52179675022545,3.2174737811400007,0.9783914565232937,0.2819743256104064,0.12650542897470554,0.367309536486645,0.4714409289373387,0.5140115930099546,0.557709417057255,0.5642683644253743,0.5536894170574398,0.22962664046979225,0.2501607345483725,0.125,0.125,0.8333333331944445,0.6604969239449048,0.8811693656843322,0.7788007830714049,0.7681608863116689,1.0550243163208872,0.2819743256104064,0.8502729616560302,0.5416666665972223,0.1738241114352098,1.8477380652988686
6,random,33,149,4.503208061168597,True,22,False,0.0008185829501599073,3.1354942159291497,0.21124065562848335,1.47651006700509,0.21446520402043487,0.18721994934732372,0.30303030303030304,0.0,0.0,4.579281462426338,0.466239511725816,0.6957803151333566,0.5401556276403523,0.4572429365508817,0.5293497830000254,0.5293497830000254,3.1603213726197734,0.8147991996219227,0.2800693725297389,0.13158059485832987,0.3820420683587403,0.49577131470870156,0.5370761765753382,0.545524822362332,0.5476646686696168,0.5443211588144844,0.23044073849318336,0.26162751697142794,0.12121212121212122,0.12121212121212122,0.8333333331944445,0.6505858429398317,0.8767086140838275,0.7847231940537559,0.7649366282395059,1.0718491446988185,0.2800693725297389,0.8674487723798,0.5378787878093434,0.1817877202695678,1.86718465298845
7,random,29,138,4.751621016579165,False,29,False,0.0015561250038444996,3.4011973816621555,0.24945973032627347,1.471014492650581,0.24054018260867102,0.21701742475668315,0.3103448275862069,0.0,0.0,4.750712717938846,0.45710562429961304,0.6667568854803984,0.5402090807061118,0.45214386173084065,0.5165197171076125,0.5165197171076125,3.2583662849538846,0.43305914389344896,0.31179709189464927,0.1202180149209697,0.42958867399289,0.49235225302335456,0.5177963487666887,0.5317681471304102,0.5355788883186658,0.5287739933396378,0.17353076083340788,0.21377051816547876,0.10344827586206896,0.10344827586206896,0.9999999996666666,0.6588499180489973,0.886727095904597,0.8131037598190377,0.7802626439165894,0.992498766870864,0.31179709189464927,0.8270631125402458,0.6034482756954023,0.14655932302711366,1.8888678031574109
8,random,29,141,4.850968702201071,False,25,False,0.001413875026628375,3.258096538021482,0.2606054615333518,1.5082742315750828,0.2538717874224721,0.218051831992802,0.27586206896551724,0.0,0.0,4.832385455371107,0.4528787857155328,0.6555281853006771,0.5398468785530348,0.45769972834142897,0.5141044154301989,0.5141044154301989,3.277785293342765,0.29840798459569384,0.30641443855351025,0.11288150869957271,0.42044699857582135,0.4863937977734464,0.5115236486517203,0.5290739634337426,0.5298296596864616,0.5284802020923205,0.17387690234705508,0.19985075940540797,0.10344827586206896,0.10344827586206896,0.6666666664444444,0.6615840915833506,0.8932564969694595,0.8131037598190377,0.7832536045494045,0.9771949833360563,0.30641443855351025,0.8195298559553553,0.43678160908429114,0.13895977472188029,1.701685678315037
9,random,26,132,5.091631195383708,False,25,False,0.0012040409492328763,3.258096538021482,0.18237848569780132,1.3787878786973524,0.1756969241899617,0.24008919722491573,0.3076923076923077,0.0,0.0,4.456422820727328,0.4730132450562547,0.7324988451129325,0.5411077100825321,0.4517054100315049,0.5389045446349705,0.5389045446349705,3.0870041997686117,0.09119337660618211,0.3050009766382772,0.12576525471120506,0.41986649212989435,0.5116540238186773,0.521641233089074,0.5235083452580909,0.5237088771978413,0.5233078133183405,0.19728314009435774,0.23093071803693555,0.11538461538461539,0.11538461538461539,0.6666666664444444,0.6571851355328394,0.8818218260079785,0.7939226578179512,0.771996961013127,1.0350986566958427,0.3050009766382772,0.8327161907417088,0.44871794860683756,0.15777506412480563,1.7442101801116292
10,random,28,95,3.376263911033152,True,6,False,0.000255499966442585,1.9459101490553132,0.29008441684616104,1.9649122805087103,0.2832903207607359,0.18483245149905297,0.2857142857142857,0.0,0.0,4.315689145300666,0.4810184616220853,0.6305803485305644,0.5354470277715879,0.4571606862379803,0.5175953321616164,0.5175953321616164,3.258899521681056,0.0669200145992582,0.2818369334958893,0.11718169785246224,0.3859711802580365,0.43396576189492114,0.4690585262843925,0.5408422332950142,0.5665305529407612,0.5189595906338222,0.19041537301605652,0.2321555801010109,0.10714285714285714,0.10714285714285714,0.9999999996666666,0.6807080739861632,0.8894235721277736,0.8071177470053893,0.787653991098989,0.9547855274818478,0.2818369334958893,0.7870834861859137,0.6071428569761904,0.150603686274233,1.8266669629322265
11,random,33,117,3.556329031655269,True,7,False,0.0003466659691184759,2.0794415416798357,0.2533530948527128,1.5042735041320767,0.21348399073390575,0.18444643657548532,0.2727272727272727,0.0,0.0,4.363432436805188,0.4782725310719424,0.6814105701795085,0.5398857463716074,0.45743883996842893,0.5302399516051374,0.5302399516051374,3.1541002771755418,0.18005046337961259,0.2751261809462715,0.11862472510508293,0.3827132707417784,0.463629315503054,0.47231433786357585,0.49431976473160344,0.5015835774704406,0.49023387006600755,0.21077433937305995,0.24096499981292308,0.12121212121212122,0.12121212121212122,0.8333333331944445,0.6792027859017289,0.8881410352644482,0.7847231940537559,0.77935015856095,0.9971793412214215,0.2751261809462715,0.7721678050726426,0.5378787878093434,0.15563908965616988,1.7408118634844274
12,random,25,94,3.7677212063455947,True,11,False,0.00024633295834064484,2.4849066497880004,0.2659810863962666,1.5070921984479528,0.17223138297932095,0.2011952191234258,0.28,0.0,0.0,4.244643232208428,0.4851635040281241,0.7025498140129119,0.5398583616443997,0.4599148288380271,0.539197106840064,0.539197106840064,3.08714479791855,0.432089766005868,0.279370548926815,0.12776145348192625,0.39998230383662103,0.4749174918914476,0.5011921186818535,0.5491838866445846,0.562957403816426,0.5342625763750901,0.22224457891713012,0.252138543473428,0.12,0.12,0.9999999996666666,0.6661372568875904,0.8800632901404274,0.7866278610665535,0.772589826087772,1.032027983776643,0.279370548926815,0.8313452067334284,0.6199999998333333,0.16598310725161314,1.8966988627451897
13,random,28,110,3.9463821593136337,True,50,False,0.0017609589267522097,3.9318256327243257,0.2724577792858402,1.6969696968257115,0.20467607787223271,0.19766423357658464,0.25,0.0,0.0,4.6338770442648975,0.4632912861154333,0.6800767668785382,0.5380200019035654,0.4652195743366707,0.52725820884495,0.52725820884495,3.18011909401564,0.7113658771318282,0.2678555774819223,0.12860427947182881,0.293555681792871,0.48835943371630314,0.5133258552156733,0.5403383021323888,0.5474230929597134,0.5343031099461493,0.20897988780634152,0.2522082007391473,0.10714285714285714,0.10714285714285714,0.6666666664444444,0.6607962168580566,0.8793218624179048,0.8071177470053893,0.7769339604485195,1.009599695680734,0.2678555774819223,0.8357399782334531,0.44047619036507935,0.19009883070558498,1.7341705767860396
14,random,27,110,4.071611340475237,True,9,False,0.0002965410239994526,2.302585092994046,0.3006879164943297,1.5545454544182646,0.22637629475729215,0.20986519607836707,0.25925925925925924,0.0,0.0,4.733187069666895,0.4580229380283468,0.6579790964480184,0.5393977512590069,0.4600631675184559,0.517573775525877,0.517573775525877,3.2517148379932808,0.8843619932554849,0.2932490499623508,0.09875378709191378,0.3667176901987037,0.4366660945656768,0.4637638966457318,0.4932001786156455,0.500129082630214,0.4868042672175823,0.17867542993953886,0.1885115718239534,0.1111111111111111,0.1111111111111111,0.9999999996666666,0.6831702860628933,0.9059657410253441,0.8007374029168081,0.7913652084539641,0.9359828470058633,0.2932490499623508,0.7550328434384392,0.6111111109444445,0.1298274956191505,1.789220499964385
15,random,26,112,4.31448438405936,False,13,False,0.0006506249774247408,2.6390573296152584,0.3317351140955865,1.7023809522492204,0.20039461145333995,0.22146118721453964,0.2692307692307692,0.0,0.0,4.48267852780492,0.4715491677408985,0.6625525113079277,0.5379677945741071,0.4551463485401196,0.5219546648498278,0.5219546648498278,3.220654747667839,0.9897737412304803,0.2823178830035922,0.11738989910560575,0.36506876769406804,0.47749024727176065,0.4990177291695836,0.5236210161436828,0.5306191001376641,0.5166229321497016,0.20727269342065205,0.23057006481324516,0.11538461538461539,0.11538461538461539,0.9999999996666666,0.6671035175507721,0.889238412301404,0.7939226578179512,0.7780303654539962,1.0039588965070678,0.2823178830035922,0.812646410596588,0.6153846152179487,0.1603147695772615,1.8706636783953905
16,random,27,121,4.487860190755344,False,39,False,0.0017072500195354223,3.6888794541139363,0.33833866923861483,1.7851239668093708,0.20012399592706184,0.22619047619041358,0.2962962962962963,0.0,0.0,4.890443920044805,0.4499212903172827,0.6605389801379105,0.537170757130568,0.45045335708281614,0.5115580713358431,0.5115580713358431,3.3026159161081665,0.835454562320272,0.29872137000566645,0.11089130562375284,0.3682289389917443,0.46760286243895,0.48833956694447994,0.5175123799993827,0.5257905136578401,0.5098710258531144,0.18535630577684412,0.20937537689613128,0.1111111111111111,0.1111111111111111,0.9999999996666666,0.6718896831137617,0.8950360290249292,0.8007374029168081,0.7838077172898662,0.9743661839552038,0.29872137000566645,0.7934348333883823,0.6111111109444445,0.14720459503488187,1.8504719093733752
17,random,35,164,4.6772033941160345,False,37,False,0.00246095797047019,3.6375861597263857,0.2752245671318154,1.4939024389181168,0.20488402548686982,0.19123841617519943,0.2857142857142857,0.0,0.0,4.51131913616192,0.46996240371310455,0.6789937260238682,0.5399865292825438,0.4566651241656363,0.5262299650468425,0.5262299650468425,3.1842789394861084,0.5473339051526999,0.2842318733645184,0.11875956163191873,0.4012191627911954,0.47744936140935085,0.4876941202363444,0.5082165482421389,0.517127069604358,0.5040233617187417,0.19829552313456783,0.22677111467958033,0.11428571428571428,0.11428571428571428,0.8333333331944445,0.6721811872464306,0.8880212894851467,0.7956694616416928,0.7802147211093103,0.9927444496819765,0.2842318733645184,0.7913762751410559,0.5309523808829365,0.15010668436124636,1.7566672137497572
18,random,33,160,4.854890663625849,False,41,False,0.002573292003944516,3.7376696182833684,0.21877975986537682,1.5124999998960156,0.2099231329015451,0.2056842451125011,0.30303030303030304,0.0,0.0,4.46232296910849,0.47268344810306884,0.6959015401624844,0.539805830497047,0.4554597325173866,0.5311160101220539,0.5311160101220539,3.1476449949407277,0.29364084943543667,0.2905429508962283,0.11804787688226605,0.374297272884747,0.4626725029162005,0.4907236810640824,0.5149617334027968,0.5212055217955792,0.5114496024318568,0.2056255142640777,0.23049141658017014,0.12121212121212122,0.12121212121212122,0.8333333331944445,0.6708151300623314,0.8886535056368525,0.7847231940537559,0.7762779775530306,1.012978412612134,0.2905429508962283,0.7996109263315003,0.5378787878093434,0.15707882203594634,1.7851114870730183
19,random,25,126,5.021945360572747,False,27,False,0.0011639170115813613,3.332204510175204,0.22237963684949882,1.3227513226638392,0.19774000301665773,0.24440143765544806,0.32,0.0,0.0,4.808535760875065,0.4541049850494821,0.7023227836504804,0.5416551756386705,0.4481671398116437,0.522850682262033,0.522850682262033,3.2069631098921825,0.13395493469647324,0.308055228378577,0.1402854577401155,0.47097551485779077,0.4997874780158776,0.5277835782867651,0.534080797259854,0.5342803572710129,0.5338646072477652,0.2042298304892444,0.25500931109243075,0.12,0.12,0.9999999996666666,0.6545429694442625,0.8691101057785233,0.7866278610665535,0.7648813919321287,1.0721379963510538,0.308055228378577,0.8458814345390032,0.6199999998333333,0.1637433275511976,1.9376799903021114
20,random,29,97,3.352358716395513,True,22,False,0.00046866596676409245,3.1354942159291497,0.2687891582828515,1.4948453606757712,0.26263391777542205,0.181847338037145,0.27586206896551724,0.0,0.0,4.256602492071634,0.48446076989185105,0.6480814358008133,0.5399773646958625,0.45983399383041523,0.5246017762669363,0.5246017762669363,3.196691350431192,0.05769775301155125,0.2797953922131697,0.1205187920685763,0.3518492525003357,0.46245010446336604,0.48161397913087767,0.5475816974258992,0.572367971934036,0.5281067674552204,0.18911357971712722,0.23643371650602174,0.10344827586206896,0.10344827586206896,0.6666666664444444,0.6749396361571893,0.8864604287636867,0.8131037598190377,0.7864843502829841,0.9607298133109824,0.2797953922131697,0.802683222773109,0.43678160908429114,0.16293820253407534,1.682198426604645
21,random,32,114,3.5693364991810026,True,18,False,0.0004104170948266983,2.9444389791664403,0.32701511763059077,1.8713450290646694,0.28961090989091354,0.18322411533415905,0.25,0.0,0.0,4.231844822980162,0.48591780895013115,0.6166157518818607,0.5363427256062474,0.4585371810481089,0.5160011418153818,0.5160011418153818,3.269567101871557,0.19172030791473108,0.2830075053846586,0.12059109288948555,0.3604682584207451,0.4690133143640054,0.5025565581331758,0.5453106686109139,0.5628643748830229,0.5345519454118793,0.22505880992329114,0.23184933975117916,0.125,0.125,0.8333333331944445,0.6655323519019023,0.8863963392638732,0.7788007830714049,0.771627745063824,1.0370121578460305,0.2830075053846586,0.8314765949194556,0.5416666665972223,0.16383092065566734,1.8199816875570038
22,random,37,138,3.735525911241284,True,11,False,0.0005914170760661364,2.4849066497880004,0.310872474236877,1.6086956520301408,0.25604553102006844,0.16548742138361525,0.24324324324324326,0.0,0.0,4.656048219196151,0.46210463466797347,0.6385640804652448,0.5388730955249936,0.46161933736779565,0.5145286960648616,0.5145286960648616,3.276290972789648,0.3857873075150968,0.26864722879644615,0.11796875249924366,0.30052839661698444,0.43825412473625064,0.5253854754316697,0.5408220473609077,0.5470383771174484,0.5384045857889197,0.2064467230655874,0.23487741174750765,0.10810810810810811,0.10810810810810811,0.49999999991666666,0.6555719954767562,0.8887238225790624,0.8055611076677214,0.77713279241893,1.008576151632654,0.26864722879644615,0.8474081798785205,0.35810810806644144,0.18026444849922438,1.6544279652406324
23,random,33,128,3.8837392412950527,True,17,False,0.0007757080020383,2.8903717578961645,0.2860555880683027,1.4609374998744507,0.20073390164746197,0.18222326454029494,0.2727272727272727,0.0,0.0,4.607315150900685,0.46472098788917154,0.6777383066394109,0.5403071227294743,0.4564108814236565,0.5238457642782256,0.5238457642782256,3.201849469600906,0.6124987942123207,0.2685361361520487,0.12122894923198799,0.38607247925830246,0.4478671070855606,0.4685610936519181,0.49031873330602016,0.4954401787669158,0.48743792023426635,0.21365557405361965,0.25567935926304863,0.12121212121212122,0.12121212121212122,0.8333333331944445,0.6809386441753458,0.8858311260184931,0.7847231940537559,0.7793367134776868,0.9972483484539048,0.2685361361520487,0.7671343538183331,0.5378787878093434,0.16053852577518474,1.7340878035549099
24,random,30,122,4.075677531561924,False,29,False,0.0014189999783411622,3.4011973816621555,0.2818845983709697,1.721311475268745,0.2815375800392935,0.20401569351483864,0.26666666666666666,0.0,0.0,4.939032474989782,0.4474757207999261,0.6339496644005886,0.5377852342031937,0.4599413456658474,0.507195705928537,0.507195705928537,3.3357293501292027,0.8890149930206809,0.29342405934655563,0.12317693013345822,0.3881548943805835,0.48132409084994315,0.5107141350293924,0.5284257046703325,0.5349469081125897,0.5237034539018013,0.1767620568827852,0.2358605315146789,0.1,0.1,0.9999999996666666,0.6619386003034545,0.8841072235127907,0.8187307530779818,0.7825064330729649,0.9810125365473128,0.29342405934655563,0.819117501585255,0.5999999998333333,0.1624926527199556,1.8750342134850997
25,random,25,109,4.363031252111162,True,17,False,0.0005295830778777599,2.8903717578961645,0.16598491430060555,1.2996941895030816,0.22236321193406827,0.23276869158871707,0.32,0.0,0.0,4.402193440885634,0.4760661639299725,0.7074332824431517,0.5418807608796115,0.4513167440357953,0.5336765047255652,0.5336765047255652,3.124570970612882,0.9639102793244436,0.31933874232283044,0.11600074149542591,0.43228477394607734,0.4950561493221771,0.5328486340687659,0.5474822449792135,0.5512568579820695,0.5433930808927863,0.201530463232971,0.19912302737624055,0.12,0.08,0.3333333332222222,0.652380135764363,0.8904745630144124,0.8521437889662113,0.7910641620648774,0.9375047924180037,0.31933874232283044,0.8569723723666154,0.24666666661111109,0.14200616527916357,1.5649839465797204
26,random,32,144,4.512774290429603,True,27,False,0.0012228330597281456,3.332204510175204,0.2689970193566289,1.7777777776460906,0.23952352470076205,0.1937216026434957,0.28125,0.0,0.0,4.803333339954729,0.4543733430887634,0.6608824705638422,0.5372414251153976,0.4591408786128368,0.5166078637995115,0.5166078637995115,3.2631923994550514,0.8015222656349208,0.2792632023525091,0.13629227465029278,0.3908747647574028,0.5143504669085872,0.5235371108637866,0.5279947360380156,0.5287806691393003,0.5275130351049702,0.23403085185841152,0.2641608968219262,0.125,0.125,0.6666666665555555,0.6563673394427777,0.8725875599909764,0.7788007830714049,0.7640599806066289,1.0764359317369794,0.2792632023525091,0.8460421918473974,0.45833333327777775,0.1803203067015827,1.7639590341792668
27,random,34,160,4.709938734134892,False,49,False,0.002960875048302114,3.912023005428146,0.26322650784947293,1.5583333332229514,0.2184891243274072,0.19977000164281258,0.29411764705882354,0.0,0.0,4.982753750956044,0.44529774620330387,0.6750117275213872,0.5393610176578286,0.455973807263007,0.5155853520635444,0.5155853520635444,3.267179802265713,0.49609572702951577,0.2836779607109855,0.12795678151598522,0.3741621480796075,0.48029094252741655,0.5082025736413249,0.5689595983341147,0.5762695362220603,0.565193872755476,0.21715974197083848,0.24604931293104793,0.11764705882352941,0.11764705882352941,0.9999999998333333,0.6630409054306629,0.8798914058955691,0.7903383629814982,0.7725515836716316,1.0322259846361126,0.2836779607109855,0.8469723083010919,0.6176470587401961,0.1705058963204036,1.9188032240726771
28,random,30,147,4.898133834751882,False,33,False,0.0019361249869689345,3.5263605246161616,0.24284221577631873,1.496598639353973,0.191916694399821,0.2188134904509917,0.3,0.0,0.0,4.835845334667161,0.4527014505681902,0.6985077393682569,0.5399603247935164,0.4530958063035985,0.5232682494297796,0.5232682494297796,3.206903769871674,0.24413754225660458,0.2904760195045972,0.12664394644104723,0.4075972475121967,0.4874091060989279,0.5040856724207541,0.5257881958275534,0.5325865710857144,0.5208652344337126,0.17667940005238691,0.24388991576164876,0.1,0.1,0.9999999996666666,0.6648557448130915,0.8810473167895266,0.8187307530779818,0.782749118867898,0.9797721727180527,0.2904760195045972,0.8111496203476275,0.5999999998333333,0.1616489313967598,1.863274571082318
29,random,31,158,5.103126813839271,False,25,False,0.0015120420139282942,3.258096538021482,0.19171632594250518,1.3734177214291645,0.17229813889218942,0.21697774587217927,0.2903225806451613,0.0,0.0,4.825069130680649,0.45325423979896834,0.731114494659435,0.5411601274568123,0.4567369518689571,0.5329230108238637,0.5329230108238637,3.1315532911653787,0.0853123226924931,0.29181699216595625,0.12355120154312771,0.4301076938937329,0.4739147530380179,0.4978457757816881,0.5341540743204334,0.5447427247999219,0.5270949740007744,0.22267038138852824,0.23034080913429222,0.12903225806451613,0.12903225806451613,0.49999999991666666,0.6676254766470368,0.8837763893706898,0.7725453888611077,0.7696024357472103,1.0475248535106616,0.29181699216595625,0.8205904082890368,0.37903225802284946,0.1497649402690008,1.6412045987468435
