score,pearson,spearman
F_MAAT,-0.3083069293516404,-0.2683245685215357
R_rob_inverse,-0.3052955665274949,-0.26547054477013154
F_frust,-0.1832732117078965,-0.14762697410902223
F_MAAT_multi,-0.1776181318037154,-0.151439364074419
R_sat_inverse,-0.1831208507214941,-0.14762697410902223
frust_q95,-0.16603393461016924,-0.14280363896462214
hotspot_cluster_frac,-0.14848744459076663,-0.11874026128807878
covariance_condition_log,-0.17920320483618513,-0.030022697282494563
