morphology_proxy,n_galaxies,n_rows,mean_D_struct,mean_residual_fraction,median_R_rob,pooled_radius_spearman_Dstruct_vs_nfw,pooled_radius_spearman_Dstruct_vs_rar,pooled_radius_spearman_Dstruct_vs_radius
bulge_proxy,26,971,0.088297684146071,0.39724597467073747,0.6072561290995729,0.6473387148899372,0.20704870884258678,0.6432572088604009
disk_proxy,38,783,0.1217853760757717,0.4461827096736106,0.6188468877377691,0.4536219954258117,-0.06680597545700463,0.29230888315231807
dm_dominated_disk_proxy,32,643,0.21907666532484352,0.715396031835338,0.6304827866495678,-0.010389899629273345,0.15637630171943265,-0.1112701298747617
dwarf_proxy,70,834,0.24363760134449278,0.6902417850128788,0.6571864497469811,0.24022768064107403,-0.2372497040274321,-0.3370450967866916
gas_rich_late_proxy,9,160,0.21932469434118068,0.7836728759645902,0.5801672044841877,0.23936792406540178,0.14159303702763457,-0.31502572001775125
