r_kpc,v_obs_km_s,v_baryon_km_s,v_dark_residual_km_s,residual_fraction,rho_residual_norm,slope_dlnv_dlnr,H,B,S_eff,V,R_resp,R_rob,structural_dark_support,structural_warning
0.4,30.310523261926676,26.789202769592848,14.179789680437331,0.21885310416670928,0.999999999999997,0.9117167592108807,1.0,0.5230900420691925,0.9259721106160901,0.7103389090024319,0.7189201984015313,0.7189201984015313,0.11176324435502671,0.1175996141219806
0.5154811715481171,38.19632692439341,33.8668957040556,17.66331695593331,0.2138460932593883,0.7317510177890997,0.8996911364293823,1.0,0.5264013611599926,0.9330586035893715,0.6813148203400913,0.7104850542551244,0.7104850542551244,0.10351519466610788,0.11761299391649596
0.6309623430962343,45.7261509333392,40.66580445874875,20.90868783308334,0.2090856687508126,0.6667367610648249,0.8785188633129266,1.0,0.5323342871502581,0.9468748998207738,0.7227458513623228,0.727316347371098,0.727316347371098,0.10990899144529542,0.10710233258229948
0.7464435146443515,52.9160648638061,47.19400066880545,23.933997191094615,0.20457633370555303,0.6093714131523025,0.8576488361327943,1.0,0.5383148744526841,0.9600700625119098,0.7098730241931273,0.7256697467939931,0.7256697467939931,0.10538409778374763,0.10425399722134891
0.8619246861924686,59.78141288071937,53.45934974641135,26.75659265874317,0.20032228438049046,0.5583024230213789,0.8371011059473936,1.0,0.5443358543319257,0.9722878130921819,0.6980639560885852,0.724303724654622,0.724303724654622,0.10128501499828066,0.10145961768430885
0.9774058577405859,66.33684648523186,59.46951581316302,29.393092565314937,0.19632740228668724,0.5126970160687823,0.816885468877139,1.0,0.5503924254609258,0.9830706618067904,0.6876262150787118,0.7233385722836777,0.7233385722836777,0.09765061217589713,0.09868634978212965
1.092887029288703,72.59635578283812,65.23196651936091,31.85940076281081,0.19259524704608239,0.4719397927605183,0.7970069214247673,1.0,0.5564808838950627,0.9918294519452556,0.6787015514246972,0.7228414205046471,0.7228414205046471,0.09448599434523888,0.0959231963463361
1.2083682008368202,78.57329933998872,70.75397775275621,34.17071847845682,0.18912905006442596,0.4355275111079858,0.7774679226477303,1.0,0.5625980571904735,0.9978023636047006,0.6713766940798278,0.7228610592125835,0.7228610592125835,0.09178661044596195,0.09316602490370779
1.3238493723849372,84.28043269292189,76.04263823921497,36.34155341377167,0.18593170903842354,0.40302647053673,0.7582694538694419,1.0,0.5687410412546777,0.9999991412299472,0.6657255569639,0.7234412465289813,0.7234412465289813,0.08954718894317296,0.09041204687631572
1.4393305439330546,89.72993556955439,81.10485403770997,38.385726368510234,0.18300578331153725,0.3740527527333264,0.7394115625974145,1.0,0.5749070671386869,0.9971243821091323,0.6618280982728164,0.7246266176797957,0.7246266176797957,0.08776559446011237,0.08765750921357078
