z,H_obs_km_s_Mpc,H_err,H_LCDM_Planck,H_residual,H_pull_sigma,D_growth_LCDM,sigma8_z_proxy,Gamma_coh,U_struct_obs,CCI_obs_norm,CCI_LCDM_norm,CCI_residual,CCI_err_norm_approx
0.07000000000000001,69,19.6,69.74804403482725,-0.7480440348272452,-0.0381655119809819,0.9643042365610774,0.7820507358510339,0.9643042365610774,0.02989604981128427,1.148649708298101,1.167174293337374,-0.01852458503927301,0.3724378244115563
0.09,69,12,70.46231241672814,-1.462312416728139,-0.1218593680606782,0.9542472327532765,0.7738945057629073,0.9542472327532765,0.03513252162589972,1.182121552634523,1.219382638176551,-0.03726108554202834,0.2471195538429479
0.12,68.59999999999999,26.2,71.56954364255233,-2.969543642552338,-0.113341360402761,0.939307011518145,0.7617779863412156,0.939307011518145,0.04010867860512914,1.222768915938798,1.301620067696637,-0.07885115175783963,0.5389211590437455
0.17,83,8,73.50952178896418,9.490478211035821,1.186309776379478,0.9148414100774461,0.7419363835728089,0.9148414100774461,0.14751585142833,1.7268711570959,1.449641334820027,0.2772298222758733,0.2372297666268968
0.179,75,4,73.87114953785292,1.128850462147085,0.2822126155367712,0.9105000635825311,0.7384155515654328,0.9105000635825311,0.0999671863600689,1.510698649033718,1.477798007285897,0.03290064174782104,0.1168031362375289
0.199,75,5,74.68821249334377,0.3117875066562306,0.06235750133124611,0.9009247148642722,0.7306499437549248,0.9009247148642722,0.1051976830547864,1.551406455348459,1.542076885367033,0.009329569981426422,0.1496495850206377
0.2,72.90000000000001,29.6,74.72955053524676,-1.829550535246753,-0.06180913970428219,0.9004486037934207,0.7302638176764643,0.9004486037934207,0.09139712956041297,1.49075251870415,1.545353455863882,-0.05460093715973202,0.7327933700654186
0.27,77,14,77.73650360339217,-0.7365036033921655,-0.05260740024229753,0.867777311856093,0.7037673999152915,0.867777311856093,0.1366304255727112,1.765869992881914,1.790081829214434,-0.02421183633252011,0.4585309266054591
0.28,88.8,36.6,78.18408366892076,10.61591633107923,0.2900523587726567,0.8632189237819969,0.7000705471871995,0.8632189237819969,0.2083198086896362,2.187313549631735,1.827594479489213,0.3597190701425226,1.185273936076432
0.352,83,14,81.53638930603952,1.463610693960476,0.1045436209971768,0.8312347216529227,0.6741313592605204,0.8312347216529227,0.1940279591074474,2.171177676541789,2.11757340792019,0.05360426862159962,0.5127848309087034
0.3802,83,13.5,82.91029208036838,0.08970791963162128,0.006645031083823799,0.8191143816511399,0.6643017635190746,0.8191143816511399,0.2010855266173013,2.244420055884646,2.241025656752844,0.003394399131802395,0.5099462738323328
0.4,95,17,83.89499766732223,11.10500233267777,0.6532354313339865,0.8107425906407316,0.6575122410096333,0.8107425906407316,0.2696796111061778,2.767318643152071,2.331156048864501,0.4361625942875698,0.6746734181216998
0.4004,77,10.2,83.91505964564298,-6.915059645642984,-0.6779470240826455,0.8105746407413236,0.6573760336412134,0.8105746407413236,0.169921789732914,2.067537155076782,2.333006639437133,-0.2654694843603513,0.3870659024315506
0.4247,87.09999999999999,11.2,85.14626916949814,1.953730830501854,0.1744402527233798,0.8004591610849738,0.6491723796399138,0.8004591610849738,0.2350147455557396,2.52580923262861,2.447671049139999,0.07813818348861101,0.4485292271923611
0.4497,92.8,12.9,86.43825828540123,6.361741714598764,0.4931582724495166,0.7902317826674233,0.6408779757432803,0.7902317826674233,0.2706965542864039,2.833536448360499,2.570306715101891,0.2632297332586084,0.5368691273666877
0.47,89,49.6,87.505987288849,1.494012711151001,0.03012122401514115,0.782060734363748,0.6342512555689996,0.782060734363748,0.2560784537542849,2.736350372748457,2.673438295817759,0.06291207693069767,1.905941689906106
0.4783,80.90000000000001,9,87.94730633370885,-7.047306333708846,-0.7830340370787607,0.7787542366043686,0.6315696858861429,0.7787542366043686,0.213002345539975,2.420064219962199,2.716535551002217,-0.2964713310400175,0.3748551200516792
0.48,97,62,88.03803583204706,8.961964167952942,0.1445478091605313,0.7780794583633205,0.631022440732653,0.7780794583633205,0.2981576722843072,3.11013920979549,2.725429849744319,0.3847093600511702,2.434676183212517
0.593,104,13,94.32098610932977,9.679013890670234,0.7445395300515565,0.7350749709469367,0.5961458014379657,0.7350749709469367,0.3546600852032948,3.838232723786343,3.369450048819969,0.4687826749663735,0.6340569092999513
0.68,92,8,99.48326943793515,-7.483269437935149,-0.9354086797418937,0.7043748771176396,0.5712480253424057,0.7043748771176396,0.319234097931531,3.549964025806275,3.939587187507778,-0.3896231617015036,0.4135872225846939
0.781,105,12,105.8097936333743,-0.8097936333742695,-0.06748280278118912,0.6712166428487635,0.5443566973503472,0.6712166428487635,0.3977635620197417,4.641135846587945,4.687732872454502,-0.04659702586655712,0.689691471352653
0.875,125,17,112.0020098888436,12.99799011115635,0.7645876535974326,0.6425988115578074,0.5211476361733819,0.6425988115578074,0.4853441692001479,6.28893311091699,5.471585772105221,0.8173473388117696,1.074600165905059
0.88,90,40,112.3392758790834,-22.33927587908336,-0.5584818969770839,0.64113406960251,0.5199597304476357,0.64113406960251,0.3512251932907994,4.133844445445531,5.515721466931237,-1.381877021485706,2.404891998261265
0.9,117,23,113.6961288461485,3.303871153851503,0.1436465719065871,0.6353313038571999,0.5152536874281892,0.6353313038571999,0.4641349821356742,5.905884221264555,5.694774261187246,0.2111099600773088,1.469643926026533
1.037,154,20,123.3155411095642,30.68445889043579,1.53422294452179,0.5978921909921315,0.4848905668946187,0.5978921909921315,0.5851944183777222,9.234574919592058,7.031697949026499,2.202876970565559,1.447335634339251
1.3,168,17,143.2563970292426,24.74360297075737,1.455506057103374,0.5360149519106957,0.4347081259995743,0.5360149519106957,0.6460307983409636,12.28710955199088,10.166636702131,2.12047284985988,1.463059729662018
1.363,160,33.6,148.2991547052946,11.7008452947054,0.3482394432948036,0.5228848940653109,0.4240596490869672,0.5228848940653109,0.638987900931844,12.07431417760757,11.034167784277,1.040146393330575,2.990221346806246
1.43,177,18,153.7681288188349,23.23187118116513,1.29065951006473,0.509555136796454,0.4132492159419243,0.509555136796454,0.6749941932866034,14.16165351285354,12.00807000984204,2.153583503011504,1.673867858124179
