z,E_H_over_H0,Omega_m_z,Omega_L_z,D_growth_norm,sigma8_z,Gamma_inst,Gamma_prod,Gamma_coh,U_struct,CCI_cos_v02,CCI_cos_v02_normalized
9.232480533926585853e-01,1.710517157805947486e+00,7.658815167823628256e-01,2.341184832176370356e-01,6.286976549181950702e-01,5.098737981386561868e-01,1.710517157805947486e+00,1.923248053392658585e+00,6.286976549181950702e-01,4.624712089461522346e-01,2.953993872634292472e+00,5.907987748222579327e+00
9.343715239154616325e-01,1.721910489255016774e+00,7.689694413433130205e-01,2.310305586566868408e-01,6.255654137171218210e-01,5.073335505245858412e-01,1.721910489255016774e+00,1.934371523915461744e+00,6.255654137171218210e-01,4.670314501131965779e-01,3.005975492349295397e+00,6.011950987704566707e+00
9.454949944382647908e-01,1.733359419422746628e+00,7.720113002294687332e-01,2.279886997705312390e-01,6.224598487400543334e-01,5.048149373281840546e-01,1.733359419422746628e+00,1.945494994438264680e+00,6.224598487400543334e-01,4.715555158344036379e-01,3.058591203715313789e+00,6.117182410489219180e+00
9.566184649610678381e-01,1.744863599278658750e+00,7.750077254528933146e-01,2.249922745471067131e-01,6.193807053240679705e-01,5.023177520178191413e-01,1.744863599278658750e+00,1.956618464961067838e+00,6.193807053240679705e-01,4.760433984286012721e-01,3.111843850953148305e+00,6.223687705018140726e+00
9.677419354838709964e-01,1.756422683700766596e+00,7.779593464398620872e-01,2.220406535601379128e-01,6.163277297912138630e-01,4.998417888606744852e-01,1.756422683700766596e+00,1.967741935483870996e+00,6.163277297912138630e-01,4.804951026227735067e-01,3.165736251915951094e+00,6.331472506997638305e+00
9.788654060066741547e-01,1.768036331455931975e+00,7.808667896531256147e-01,2.191332103468745518e-01,6.133006695363171223e-01,4.973868429939531932e-01,1.768036331455931975e+00,1.978865406006674155e+00,6.133006695363171223e-01,4.849106451348766944e-01,3.220271198551351244e+00,6.440542400322973648e+00
9.899888765294772019e-01,1.779704205178524790e+00,7.837306782390780491e-01,2.162693217609220897e-01,6.102992731093128675e-01,4.949527104916527920e-01,1.779704205178524790e+00,1.989988876529477313e+00,6.102992731093128675e-01,4.892900542628773608e-01,3.275451457361662655e+00,6.550902917998777220e+00
1.001112347052280249e+00,1.791425971347500257e+00,7.865516316987828382e-01,2.134483683012171340e-01,6.073232902923698662e-01,4.925391884271119736e-01,1.791425971347500257e+00,2.001112347052280249e+00,6.073232902923698662e-01,4.936333694802274574e-01,3.331279769861711149e+00,6.662559543054702438e+00
1.012235817575083408e+00,1.803201300262006423e+00,7.893302655818286162e-01,2.106697344181713005e-01,6.043724721720293847e-01,4.901460749315158516e-01,1.803201300262006423e+00,2.012235817575083630e+00,6.043724721720293847e-01,4.979406410379819681e-01,3.387758853033943307e+00,6.775517709455646020e+00
1.023359288097886566e+00,1.815029866015624549e+00,7.920671912020174066e-01,2.079328087979824546e-01,6.014465712065893976e-01,4.877731692485440251e-01,1.815029866015624549e+00,2.023359288097886566e+00,6.014465712065893976e-01,5.022119295737311750e-01,3.444891399780415586e+00,6.889782803005722656e+00
