transfer,model,spearman,pearson,mutual_info,score_mean,score_std,quality_mean,quality_std,details
SAT->SAT,MAAT frozen source weights,0.16004437902688984,0.25338895659087857,0.028019694692181574,-0.7941427856881128,0.023603595092574675,0.6020963304392412,0.17777924688593708,weights fitted on source only
SAT->SAT,MAAT equal weights,-0.2683245685215357,-0.3083069293516407,0.038168029956416216,-0.6398494682801088,0.016797553926516145,0.6020963304392412,0.17777924688593708,predeclared equal-sector architecture
SAT->SAT,Scalar MAAT cost,-0.2683245685215357,-0.3083069293516405,0.038168029956416216,-3.199247341400544,0.08398776963258069,0.6020963304392412,0.17777924688593708,negative scalar F_MAAT/F_maat
SAT->SAT,R_rob only,-0.26547054477013154,-0.30529556652749484,0.043419787518180986,0.5244738408271897,0.010664393602893993,0.6020963304392412,0.17777924688593708,emergent robustness support only
Quantum->Quantum,MAAT frozen source weights,0.36356875942835354,0.38056836565200497,0.1710966262610425,-0.7146391355857965,0.23339207368442275,0.49155158461081316,0.1292109864594332,weights fitted on source only
Quantum->Quantum,MAAT equal weights,0.3771438857143697,0.3830591116425921,0.20426266921623792,-0.6531833429929267,0.24158424530508318,0.49155158461081316,0.1292109864594332,predeclared equal-sector architecture
Quantum->Quantum,Scalar MAAT cost,0.3771438857143697,0.383059111642592,0.20426266921623792,-3.265916714964633,1.2079212265254158,0.49155158461081316,0.1292109864594332,negative scalar F_MAAT/F_maat
Quantum->Quantum,R_rob only,0.4305639873813168,0.4608063466420162,0.20516241187480766,0.5137356840045646,0.1274620126892623,0.49155158461081316,0.1292109864594332,emergent robustness support only
SAT->Quantum,MAAT frozen source weights,0.603448095815005,0.477594073266966,0.33714878066661225,-0.8882786122772317,0.581453815437522,0.49155158461081316,0.1292109864594332,weights fitted on source only
SAT->Quantum,MAAT equal weights,0.3771438857143697,0.3830591116425921,0.20426266921623792,-0.6531833429929267,0.24158424530508318,0.49155158461081316,0.1292109864594332,predeclared equal-sector architecture
SAT->Quantum,Scalar MAAT cost,0.3771438857143697,0.383059111642592,0.20426266921623792,-3.265916714964633,1.2079212265254158,0.49155158461081316,0.1292109864594332,negative scalar F_MAAT/F_maat
SAT->Quantum,R_rob only,0.4305639873813168,0.4608063466420162,0.20516241187480766,0.5137356840045646,0.1274620126892623,0.49155158461081316,0.1292109864594332,emergent robustness support only
Quantum->SAT,MAAT frozen source weights,-0.04075887445711216,-0.17157137303537429,0.046329495058256676,-0.7128597106072553,0.02721551015271641,0.6020963304392412,0.17777924688593708,weights fitted on source only
Quantum->SAT,MAAT equal weights,-0.2683245685215357,-0.3083069293516407,0.038168029956416216,-0.6398494682801088,0.016797553926516145,0.6020963304392412,0.17777924688593708,predeclared equal-sector architecture
Quantum->SAT,Scalar MAAT cost,-0.2683245685215357,-0.3083069293516405,0.038168029956416216,-3.199247341400544,0.08398776963258069,0.6020963304392412,0.17777924688593708,negative scalar F_MAAT/F_maat
Quantum->SAT,R_rob only,-0.26547054477013154,-0.30529556652749484,0.043419787518180986,0.5244738408271897,0.010664393602893993,0.6020963304392412,0.17777924688593708,emergent robustness support only
