instance_id,n_vars,n_clauses,alpha,satisfiable,dpll_nodes,dpll_timed_out,solve_time_s,log_nodes,degree_cv,max_degree_norm,literal_imbalance,expansion_defect,interaction_cycle_density,backdoor_density,propagation_depth,contradiction_rate,covariance_condition_log,H,B,S,V,R_resp,R_rob,F_MAAT,F_MAAT_primary,density_peak
0,25,81,3.252979493957259,True,13,False,0.0003551669651642442,2.6390573296152584,0.24608915862037847,1.4403292179588139,0.1653384393188889,0.0,0.20551276854470793,0.28,0.0,0.0,2.8813405293912053,0.5812820892841182,0.7145374151532919,0.5405077376085028,0.6116112423419062,0.6333286362410031,0.6087266602162272,2.481929720890136,1.9855437767053319,0.02985529690529199
1,36,123,3.41588622260488,True,18,False,0.0005694999126717448,2.9444389791664403,0.27341742632780053,1.4634146340035692,0.2520977479027881,0.0,0.158861340679486,0.2777777777777778,0.0,0.0,2.8143123897629923,0.586999798543008,0.6524050309212482,0.5402830186650931,0.6493738819320523,0.6288542836078851,0.6054354507488086,2.5090366244494406,2.0072292995554766,0.08482182019715921
2,24,89,3.6939302175270856,True,11,False,0.0002477080561220646,2.4849066497880004,0.20809279972794825,1.3483146066203762,0.2161391848676383,0.0,0.20267934312869373,0.2916666666666667,0.0,0.0,2.8893136985922383,0.580609357477416,0.6958697499350217,0.5414052902965291,0.610242796111108,0.6270539144492827,0.6044484750853392,2.517194232454912,2.013755385958427,0.32971076816719547
3,25,96,3.838498092846101,True,9,False,0.000248582917265594,2.302585092994046,0.24320431953218657,1.5624999998643663,0.2441635031414214,0.0,0.21567905778424157,0.28,0.0,0.0,2.7804243457691458,0.5899335787878709,0.6667485461738177,0.5393206164752199,0.6040988898988664,0.6193808075160743,0.5983152377885819,2.5681875438015997,2.0545500350374746,0.540543825035968
4,27,110,4.0757504660591914,True,12,False,0.000498084002174437,2.5649493574615367,0.2472994637749563,1.6363636362297522,0.1847798292090075,0.0,0.2184329199548426,0.2962962962962963,0.0,0.0,2.9479702753441193,0.5757077018873528,0.7014155526356273,0.5386054170297215,0.5974062257566861,0.622513907466829,0.6003845019406281,2.5509249538729115,2.0407399630921623,0.889097746725236
5,25,107,4.298986084606428,False,25,False,0.001076792017556727,3.258096538021482,0.23692402916324945,1.6355140185642123,0.18862294566528826,0.0,0.22491126169724915,0.28,0.0,0.0,3.0520854666849186,0.5672081001990948,0.7027886683412232,0.5386136328387873,0.5974349048500125,0.619849024955593,0.598458138249767,2.566993495988523,2.053594796784314,0.994750961743327
6,30,135,4.509459294310931,True,13,False,0.00047729199286550283,2.6390573296152584,0.2730042516772587,1.6296296295089163,0.258566048940318,0.0,0.21712856845171552,0.3,0.0,0.0,3.018114046507013,0.5699536903352035,0.6489759911365489,0.5386705418044112,0.5972798191856706,0.6045265053203625,0.587343702846421,2.6607255218030796,2.128580417439309,0.8061563038452029
7,32,152,4.763308226921904,False,59,False,0.0033387080766260624,4.0943445622221,0.27008428626772485,1.8947368419722992,0.1771187487022556,0.0,0.20609523809519883,0.28125,0.0,0.0,3.255838501833043,0.5512801861548434,0.6979255477916567,0.5361185203283069,0.6108024781129405,0.6171074034464369,0.5957797941976983,2.589420756629008,2.071536605296139,0.4159692478459749
8,31,153,4.925542843557241,False,35,False,0.002108457963913679,3.58351893845611,0.22063597211881825,1.418300653498982,0.20990134235899854,0.0,0.22004847645425551,0.2903225806451613,0.0,0.0,3.0454386033211827,0.5677432201473477,0.6952416915354896,0.5407223432688457,0.5979591591383271,0.6179970883007274,0.5977001991757533,2.573329941180412,2.058663952938505,0.21572497255892148
9,33,169,5.130220005401586,False,27,False,0.0017658750293776393,3.332204510175204,0.2527580897874143,1.4970414200209026,0.19999830385785025,0.0,0.21111825192798664,0.2727272727272727,0.0,0.0,2.959095160321383,0.5747873693130061,0.6898614826953129,0.5399560216321314,0.6096006040445593,0.6229284518373185,0.6010605477247118,2.545298014430114,2.0362384115387195,0.07264501120226596
