score,spearman,abs_spearman
fidelity_retention,0.8165316509669484,0.8165316509669484
probability_stability,0.7992779924854418,0.7992779924854418
dpdt_norm0,-0.7197390923152592,0.7197390923152592
B_stat,0.7173747528838543,0.7173747528838543
purity_decay_pressure,-0.4271535193276893,0.4271535193276893
H_stationarity,0.4107261265992382,0.4107261265992382
lindblad_norm0,-0.4107261265992382,0.4107261265992382
purity_final,0.4042470121589773,0.4042470121589773
coherence_exposure,-0.3121017599358354,0.3121017599358354
decoherence_pressure,-0.3121017599358354,0.3121017599358354
F_scalar_stat,-0.24958322990611342,0.24958322990611342
R_rob_stat,0.24958322990611342,0.24958322990611342
V_align,-0.19723381254376127,0.19723381254376127
B_pop,0.19723381254376127,0.19723381254376127
R_rob_pop,0.11016504167940137,0.11016504167940137
F_scalar_pop,-0.11016504167940137,0.11016504167940137
S_coh,0.05364048419063024,0.05364048419063024
