instance_id,family,theta,phi,T,gamma_z,gamma_x,gamma_y,gamma_m,gamma_p,hx,hy,hz,pointer_axis_x,pointer_axis_y,pointer_axis_z,pointer_robustness,fidelity_retention,probability_stability,purity_final,purity_loss,coherence_loss,entropy_final,decoherence_time_frac,H_stationarity,B_pop,B_stat,S_coh,V_align,R_resp_pop,R_rob_pop,F_scalar_pop,R_resp_stat,R_rob_stat,F_scalar_stat,lindblad_norm0,dpdt_norm0,purity_decay_pressure,h_misalignment,channel_conflict,damping_pressure,excitation_pressure,decoherence_pressure,coherence_exposure,transverse_hamiltonian_pressure,pointer_alignment_loss,B_stat_gain
0,z_dephasing,2.7249163005132164,5.21368361598011,1.4237069036693426,1.1632723633773652,0.2146590008764704,0.1331883166734463,0.02537170959987588,0.0007375688785255896,0.5307434887534368,0.2552950827937669,0.5619836113299149,0.17669332119601203,0.10963195543372627,0.978141249816457,0.5866592100632018,0.5627007385139329,0.6471236769989845,0.5254370257106051,0.47456297428939487,0.7343962773327052,0.9629844573390831,0.15833333333333333,0.38527207777668826,0.10100390361206946,0.5826354268257068,1.0,0.8989960963879305,0.32705528135592393,0.32705528135592393,4.47050426318914,0.5865532016875942,0.5865532016875942,2.1339676173381714,1.595568320888338,0.17030954717487184,1.0734859064465079,0.5653673179282118,0.24326668699278797,0.01650483452252584,0.0004798041787885422,2.1885634821686817,2.1885634821686817,0.5653673179282118,0.10100390361206946,0.48163152321363734
1,x_dephasing,2.9026868790730487,5.094563855793557,1.1218643213455863,0.10242807986971557,0.5565212268267127,0.0796876654360791,0.07414391339286808,0.06835048931624227,-0.5396062097371426,0.2330242083073556,0.2151083416809194,0.9581988945520524,0.13720345109865936,0.25105794447864505,0.6652219160666512,0.5371049189955241,0.909920690489199,0.5213147659844628,0.4786852340155372,0.7899359644274586,0.9690269985324648,0.425,0.4438472198588842,0.8105105006113201,0.6347860225633976,1.0,0.18948949938867984,0.40850034974446336,0.40850034974446336,3.5810500328381827,0.3765436567814088,0.3765436567814088,3.9068851355145577,1.2530275177074168,0.04062464224303361,1.4116705974402182,0.7250181931274031,0.3684015316517507,0.08414626411161528,0.07757128081016416,0.9885098519651813,0.9885098519651813,0.7250181931274031,0.8105105006113201,-0.17572447804792257
2,amplitude_damping,1.5052104364754315,1.4408028491450493,1.3869189937344237,0.2559307514813699,0.15015511935000897,0.03185686475313237,1.5133235758854844,0.00941524814479064,-0.6901495292906678,0.16179237380163083,0.8137234043951703,0.08475298358343092,0.017981167389626167,0.9962397348996942,0.6827029612434599,0.6170766833374253,0.7593212771060555,0.7226811505841855,0.27731884941581453,0.6604523717307089,0.6492230198442872,0.4083333333333333,0.3952347156548554,0.9059537284958801,0.5832760846098218,1.0,0.09404627150411998,0.322924424607862,0.322924424607862,4.521347848880377,0.27884120155949893,0.27884120155949893,5.108451315002261,1.5301421165474365,0.09956336532733928,1.472363546544574,0.7144562850392969,0.2233625004094072,0.7718354713886443,0.004802028201948431,2.7193064958332718,2.7193064958332718,0.7144562850392969,0.9059537284958801,-0.32267764388605824
3,thermal_relaxation,1.6708018172662655,3.7716698553132466,1.0620405497445407,0.1700008278317328,0.07811776156068405,0.11763802516038033,1.6791527344003694,1.0016706535400732,-0.3365396307756711,-0.18966012176989544,0.8933734672380469,0.0555795114947428,0.08369753358256556,0.9949400186816294,0.5920850447218426,0.47853141364150614,0.7794120069443333,0.5335009031371523,0.46649909686284774,0.924740377211782,0.9511136892141753,0.36666666666666664,0.33021032289550234,0.8069146442239348,0.34875754556662786,1.0,0.19308535577606517,0.37192541815594243,0.37192541815594243,3.956247733237153,0.2812038085725308,0.2812038085725308,5.074702298990125,2.0283729207231898,0.5893147994726422,1.967691074675666,0.4792220493278118,0.12005482027107983,0.5511599015850821,0.32878527814383807,3.2355915007948486,3.2355915007948486,0.4792220493278118,0.8069146442239348,-0.4581570986573069
4,mixed_zx,2.29068431673193,0.4361839437566374,1.3375849888825648,0.40439724349021716,0.5237531991830057,0.17745162241800355,0.270675373117131,0.0810242392725846,-0.3888391609163751,-0.03725206210771372,0.5227691426696379,0.6199971758453494,0.21005982382533447,0.7559618855195417,0.6789302284413237,0.5250072551463658,0.9743957842407518,0.5025871758925178,0.4974128241074822,0.9416324096460579,0.9962642686061424,0.3,0.4515273744768677,0.990837521848512,0.6118736948646758,1.0,0.009162478151487963,0.16004170171050422,0.16004170171050422,7.32928343610765,0.13628653185869574,0.13628653185869574,7.971983018443196,1.2147051464124048,0.017094359516098112,1.7146728641188267,0.9745505714258355,0.6406007024898144,0.18573736466593552,0.05559881012906082,1.9492648482056474,1.9492648482056474,0.9745505714258355,0.990837521848512,-0.37896382698383624
5,depolarizing,2.9704981836946716,5.591110517580997,1.4408730473636289,0.6449649083435519,0.8303458297894258,0.9016738698846708,0.16105124515233588,0.10759761251953154,0.26640268630954644,-0.2446306556323767,0.4508161119211579,0.576234089380066,0.6257335229377339,0.5257488302490636,0.5809500526140735,0.49360967403275613,0.7403780706446366,0.5000859391471507,0.4999140608528493,0.9886179562116311,0.9998760124666507,0.15,0.26778178440741307,0.48947923819032646,0.20052031455586106,1.0,0.5105207618096735,0.4059846109747979,0.4059846109747979,3.605760095287031,0.30152102839685424,0.30152102839685424,4.795662075782261,2.7343839582402785,1.333931722175361,3.7690355567035803,0.9117079163312133,0.659184130551663,0.06087436042629382,0.04066988640371693,3.8120219540593387,3.8120219540593387,0.9117079163312133,0.48947923819032646,-0.2889589236344654
6,z_dephasing,0.3238640763431829,2.011245515039825,1.45085213991699,1.6495111564409346,0.09404592768994169,0.05785669110309216,0.07568265688888065,0.05785271942513295,0.26182382653911634,-0.3254941381247842,0.192132116759635,0.05523198383845987,0.03397850291283285,0.9978952296213619,0.685331542586169,0.6865158019950357,0.7248521759132637,0.589169200126726,0.410830799873274,0.5551961488389632,0.8672302240978035,0.8666666666666667,0.46502721048301576,0.0516951742135785,0.6030210959343978,0.9999999999999994,0.9483048257864215,0.2835472523648438,0.2835472523648438,5.041505976071613,0.643062143845158,0.643062143845158,1.766055650010102,1.150411798400608,0.20058192950923956,0.7347226215111495,0.9054836852667636,0.14751705230286916,0.039113512013699316,0.029898831902564572,2.8073251172990394,2.8073251172990377,0.9054836852667636,0.0516951742135785,0.5513259217208193
7,x_dephasing,0.9971773708846918,1.6699283212191487,1.5462205425705655,0.17407609656952072,2.365384706155853,0.07957832090820367,0.10538625062422424,0.039438288639739645,-0.061983118274720715,0.20693255550025813,0.5433883216759016,0.9933793891502606,0.033420129760569336,0.10991125573953724,0.6646768443834993,0.5016416524910224,0.9671800259769989,0.5022867269735896,0.49771327302641044,0.9700605789546765,0.9966984310484464,0.09166666666666666,0.2151200113579923,0.9949992095732093,0.26014245605404906,0.9999999999999998,0.00500079042679074,0.10229334982764661,0.10229334982764661,9.1196424372,0.06540991241621492,0.06540991241621492,10.908325841552196,3.6485679955448145,0.5383402503200219,5.0496204612315765,0.9999624493403428,0.14417460679283978,0.038130046729558234,0.014269259792998236,4.273542772591129,4.273542772591129,0.9999624493403428,0.9949992095732093,-0.7348567535191602
8,amplitude_damping,0.7273103926412529,1.7981484449236986,1.029385357794848,0.2458480364881977,0.1165330549954507,0.01999522741514316,0.6936712342003627,0.05432893472412556,-0.2179080028715047,0.33268670788390875,0.9945282761374657,0.12629869066437457,0.021670855897217962,0.9917555216590159,0.852900906866227,0.8058089553669163,0.9641577405271616,0.7502747999884151,0.24972520001158494,0.6402049076968933,0.6003817960531432,0.7583333333333333,0.5867923310256671,0.26408265411661025,0.6243034322462981,0.9999999999999999,0.7359173458833898,0.4849360250859126,0.4849360250859126,2.894953214146847,0.6460057701254117,0.6460057701254117,1.7477873719057033,0.7041804180570633,0.2005295187443633,0.5735033302416614,0.4319570341777053,0.338273418709629,0.6136638912887961,0.04806269000157489,1.163593005463789,1.1635930054637889,0.4319570341777053,0.26408265411661025,0.3602207781296879
9,thermal_relaxation,2.7147954378780104,2.010523815548141,0.8495541708458693,0.17787666711633884,0.045121024560086646,0.03560464141547499,0.36348565685612516,0.8528350897400666,0.3762392354865598,0.07144321992011472,0.5194619532728292,0.26899188967268123,0.21225935955228303,0.9394622544694251,0.7468697699878936,0.7473222810098309,0.7885383395556793,0.6481347375899358,0.3518652624100642,0.3503078793373242,0.7742388521554447,1.0,0.556153778711505,0.1769170518383122,0.4452762199274143,1.0,0.8230829481616878,0.4326493578720775,0.4326493578720775,3.351310703220674,0.5885129173284893,0.5885129173284893,2.120625610970495,0.798063841833092,0.4695507321579757,0.8762729662560658,0.3506805579398963,0.17533275920331715,0.24644380567178356,0.5782234351248993,1.2530270541108086,1.2530270541108086,0.3506805579398963,0.1769170518383122,0.2683591680891021
10,mixed_zx,2.4966829028355924,3.4786953524047513,0.6989012882617343,0.43641119678028345,0.40721371905207315,0.08105097699729827,0.29602660592330143,0.09871823329608104,-0.23148860258535228,-0.18376317710782752,0.3216749646088275,0.5067433459773025,0.10086114822936049,0.8561765063849761,0.6183767099116704,0.632098090463619,0.6301702697073999,0.5451204685484733,0.4548795314515267,0.0,0.9338887331799038,1.0,0.45935833675136917,0.00825738338998061,0.3261964751094839,0.9999999999999898,0.9917426166100194,0.15552409253489002,0.15552409253489002,7.443818480622068,0.5296755758642111,0.5296755758642111,2.541962322563905,1.1769497144040224,0.769527270485671,1.504521457213937,0.9475864656571765,0.6692403066386046,0.22436103868183216,0.07481937405613706,0.9221448494582027,0.9221448494581933,0.9475864656571765,0.00825738338998061,0.3179390917195033
11,depolarizing,1.4626778825142008,0.14009067090356625,1.580125016493335,0.8220355632240318,0.8542256205842241,0.941807863997966,0.09656884135155905,0.11861679164244363,0.4038024971521509,-0.18995294900529952,1.160601541341074,0.5554277226960741,0.6123747456320499,0.5625808526538522,0.5524522398515374,0.4988462091958513,0.6515061500761753,0.5000132181796691,0.49998678182033085,0.9965459224611052,0.9999809301137182,0.075,0.2474845245363415,0.3075097400696357,0.2958241800037695,0.9999999999999996,0.6924902599303643,0.374921371952428,0.374921371952428,3.92415579791995,0.3701108316287318,0.3701108316287318,3.9758110917672114,3.0406566910536514,0.5538431229389634,3.6362858177945094,0.7909139337149317,0.6675879968197138,0.03408406663988136,0.041865912175870795,4.476896599387286,4.476896599387283,0.7909139337149317,0.3075097400696357,-0.01168556006586624
12,z_dephasing,0.2455916309618178,1.7981966839750674,1.2493219837182015,1.9196514526056319,0.15724819913616606,0.0800453132249071,0.0184723252701793,0.0012008741425374137,0.2539548932312701,-0.0973769645859366,0.6932882768231432,0.08082242529228414,0.0411416880044231,0.9958790574552815,0.7331348505768228,0.739296732189825,0.7671809501077274,0.633154346294705,0.366845653705295,0.5670035350319791,0.798308368106257,0.8,0.4657954831422926,0.02868845245109075,0.5945384536793695,1.0,0.9713115475489092,0.235010346122654,0.235010346122654,5.792502954684122,0.6455223121090263,0.6455223121090263,1.7507820139423607,1.146864957242441,0.21954752229368046,0.6939484214290679,0.3144636184237046,0.11805778159314773,0.008486709139725155,0.000551715575168245,2.7192969230445017,2.7192969230445017,0.3144636184237046,0.02868845245109075,0.5658500012282788
