dataset_id,family,split,policy,n_vars,n_clauses,solved,sat,timeout,decisions,propagations,conflicts,learned_clauses,max_level,runtime_s,search_cost,structural_update_s,support_evaluation_s,gate_calculation_s,arbitration_s,structural_overhead_s,total_cost,activations,activation_rate,audit_max_abs_error
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,closure_BSV,100,160,1,0,0,43,117,16,15,24,0.04954183392692357,29.368,0.002731167,0.016223582,8.9916e-05,0.00055288,0.019597544999999997,34.638617688701636,1,0.023255813953488372,0.0
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,closure_HBS,100,160,1,0,0,36,110,18,17,20,0.04257966601289809,29.24,0.002563212,0.013829502,7.5294e-05,0.000463084,0.016931092,33.79349448026448,3,0.08333333333333333,0.0
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,jeroslow_wang,100,160,1,0,0,74,315,36,35,26,0.05455970799084753,59.46,0.00695874,0.0,0.0,0.000592374,0.007551113999999999,59.46,0,0.0,0.0
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,vsids,100,160,1,0,0,193,386,30,29,35,0.10625620803330094,89.444,0.009105763,0.0,0.0,0.001237334,0.010343096999999999,89.444,0,0.0,0.0
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,score_with_R_Paper69,100,160,1,0,0,185,175,27,26,26,0.10988504101987928,83.2,0.006085001,0.0,0.0,0.002135041,0.008220042,83.2,185,1.0,0.0
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,static_gate_v17_Paper69,100,160,1,0,0,135,193,21,20,34,0.07660237501841038,62.272,0.005099758,0.0,0.0,0.001867085,0.006966843,62.272,135,1.0,0.0
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,state_v18_primary,100,160,1,0,0,73,228,25,24,30,0.06792041705921292,47.812,0.004842951,0.021557796,0.000149835,0.000751501,0.027302083000000005,55.15469734286617,1,0.0136986301369863,0.0
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,state_v18_gate_signal_shuffled,100,160,1,0,0,70,260,28,27,31,0.06769133394118398,50.04,0.005432173,0.020822252,0.000141629,0.000744243,0.027140296999999997,57.339186170758424,3,0.04285714285714286,0.0
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,random_activation_matched_q,100,160,1,0,0,80,320,33,32,36,0.07779691705945879,58.28,0.007042057,0.022968462,0.000168377,0.00095308,0.031131976,66.65271930692516,16,0.2,0.0
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,state_Mode_A_always,100,160,1,0,0,185,175,27,26,26,0.18595837499015033,83.2,0.006250882,0.066359047,0.000373833,0.002262162,0.075245924,103.43684589253904,185,1.0,2.7755575615628914e-16
