comparison,mean,ci95_low,ci95_high,wins_for_state_v18,losses_for_state_v18,ties,n_pairs
state_v18_primary_vs_static_gate_v17_Paper69,-517.1976540024481,-704.8866726267526,-177.72084444994886,54,25,0,79
state_v18_primary_vs_score_with_R_Paper69,-522.9015706691147,-715.0306227579674,-172.41337881369142,53,26,0,79
state_v18_primary_vs_state_v18_gate_signal_shuffled,42.24136538673735,6.647983199956927,70.1398531899076,43,36,0,79
state_v18_primary_vs_random_activation_matched_q,23.96386305672695,-8.27463713399955,51.138726061618804,46,33,0,79
state_v18_primary_vs_moms,-642.9622524872965,-841.6300044803678,-295.8216777609561,5,74,0,79
state_v18_primary_vs_jeroslow_wang,-533.745279002448,-727.0481704732196,-209.5968358965784,35,44,0,79
state_v18_primary_vs_vsids,-862.5773509721449,-1605.137873684613,-274.00558683042055,47,32,0,79
