family,delta_search,delta_total,overhead_penalty,activation_rate
satlib_dimacs_aim,0.6689999999999996,-7.410549771381811,8.079549771381812,0.13556024445431608
satlib_dimacs_dubois,-275.4392727272727,-348.6623819019675,73.22310917469481,0.14182342274907536
satlib_dimacs_pigeonhole,-18.509999999999934,-3487.4199438177566,3468.9099438177564,0.1536801516318159
satlib_graph_coloring_flat30,0.0,-1.4047600714083939,1.4047600714083939,0.1375059860160479
satlib_random_3sat_uf20,-0.11024999999999996,-0.5671814499777255,0.45693144997772556,0.11282242063492062
satlib_random_3sat_uuf50,-3.1035000000000013,-12.308697911286604,9.205197911286602,0.07209244328856396
