family,policy,mean_total_cost,activation_rate,solve_rate,timeouts
satlib_graph_coloring_flat30,static_gate_v17_Paper69,7.09825,1.0,1.0,0
satlib_graph_coloring_flat30,vsids,4.538,0.0,1.0,0
satlib_random_3sat_uf20,Paper68_hard_threshold_0_5,5.106266994503448,0.559323489010989,1.0,0
satlib_random_3sat_uf20,closure_BSV,3.591972858478799,0.12896825396825395,1.0,0
satlib_random_3sat_uf20,closure_HBS,3.416710836277623,0.10500992063492064,1.0,0
satlib_random_3sat_uf20,closure_HBV,3.8575008757607927,0.10302579365079365,1.0,0
satlib_random_3sat_uf20,closure_HSV,3.5667033163691393,0.11282242063492064,1.0,0
satlib_random_3sat_uf20,jeroslow_wang,3.35475,0.0,1.0,0
satlib_random_3sat_uf20,moms,3.00825,0.0,1.0,0
satlib_random_3sat_uf20,random_activation_matched_q,3.147837140385097,0.22157738095238094,1.0,0
satlib_random_3sat_uf20,score_with_R_Paper69,5.363,1.0,1.0,0
satlib_random_3sat_uf20,state_Mode_A_always,6.083773501177105,1.0,1.0,0
satlib_random_3sat_uf20,state_gate_response_only_0_5z_t,3.668517749420087,0.1730654761904762,1.0,0
satlib_random_3sat_uf20,state_gate_value_only_z_R,4.0774750005837985,0.2170138888888889,1.0,0
satlib_random_3sat_uf20,state_v18_gate_signal_shuffled,3.6209963927754294,0.11837797619047619,1.0,0
satlib_random_3sat_uf20,state_v18_primary,3.5754314499777253,0.11282242063492064,1.0,0
satlib_random_3sat_uf20,static_gate_v17_Paper69,5.0445,1.0,1.0,0
satlib_random_3sat_uf20,vsids,7.1275,0.0,1.0,0
satlib_random_3sat_uuf50,Paper68_hard_threshold_0_5,57.379554193626625,0.3416636850344952,1.0,0
satlib_random_3sat_uuf50,closure_BSV,49.850810509307344,0.06477762847374917,1.0,0
satlib_random_3sat_uuf50,closure_HBS,49.41581703144105,0.06993335237947307,1.0,0
satlib_random_3sat_uuf50,closure_HBV,49.96630198498278,0.13078586667563893,1.0,0
satlib_random_3sat_uuf50,closure_HSV,48.96796375828911,0.0668592063700592,1.0,0
satlib_random_3sat_uuf50,jeroslow_wang,45.056,0.0,1.0,0
satlib_random_3sat_uuf50,moms,37.51825,0.0,1.0,0
satlib_random_3sat_uuf50,random_activation_matched_q,51.566120772052145,0.224909348514734,1.0,0
satlib_random_3sat_uuf50,score_with_R_Paper69,80.551,1.0,1.0,0
satlib_random_3sat_uuf50,state_Mode_A_always,98.9934607743383,1.0,1.0,0
satlib_random_3sat_uuf50,state_gate_response_only_0_5z_t,52.69417268898854,0.2605870991147126,1.0,0
satlib_random_3sat_uuf50,state_gate_value_only_z_R,45.66077382619875,0.0,1.0,0
satlib_random_3sat_uuf50,state_v18_gate_signal_shuffled,47.16953569394298,0.05614347019313557,1.0,0
satlib_random_3sat_uuf50,state_v18_primary,49.8269479112866,0.07209244328856398,1.0,0
satlib_random_3sat_uuf50,static_gate_v17_Paper69,75.40875,1.0,1.0,0
satlib_random_3sat_uuf50,vsids,56.741749999999996,0.0,1.0,0
