split,policy,n_instances,solve_rate,mean_total_cost,median_total_cost,mean_runtime_s,mean_activation_rate,mean_overhead_fraction,timeouts
calibration,moms,19,0.9473684210526315,436.6665263157895,24.404,1.6236411754568842,0.0,0.42284421449437015,1
test,Paper68_hard_threshold_0_5,79,0.9620253164556962,585.8092712147445,40.87689833472721,1.3387144273161724,0.3826567410672176,0.42420170058417783,3
test,closure_BSV,79,0.9620253164556962,547.302482967935,32.01112466696602,1.2849350004969755,0.10271916118751458,0.4199925110552064,3
test,closure_HBS,79,0.9620253164556962,555.7234721381719,33.79349448026448,1.2893648080548412,0.13647530865749033,0.416781674894759,3
test,closure_HBV,79,0.9620253164556962,547.9578136728982,30.18902803954203,1.2736149040018385,0.15096294689006517,0.4166434157859478,3
test,closure_HSV,79,0.9620253164556962,563.796726944609,33.86363181977764,1.3159358518204027,0.12166871865170714,0.4150161453619748,3
test,jeroslow_wang,79,0.9620253164556962,412.17240506329114,30.396,1.3689839947582636,0.0,0.249293833650121,3
test,moms,79,0.9620253164556962,332.94784810126583,28.84,1.2331444699659095,0.0,0.4147957557580212,3
test,random_activation_matched_q,79,0.9620253164556962,569.7429853690819,35.32376861941875,1.3109097832082948,0.22516270250307907,0.4194928177214534,3
test,score_with_R_Paper69,79,0.9620253164556962,421.32941772151895,53.276,1.362618183966172,1.0,0.23674520578314023,3
test,state_Mode_A_always,79,0.9620253164556962,613.536461448688,62.38604926010627,1.4408903871382928,1.0,0.42274916678858043,3
test,state_gate_response_only_0_5z_t,79,0.9620253164556962,561.0374775161479,36.63141692343712,1.2954489394235484,0.24521824820774163,0.4179808974129218,3
test,state_gate_value_only_z_R,79,0.9620253164556962,556.1999724099534,34.206588581733406,1.309455154550592,0.12643553154753046,0.41847493056027496,3
test,state_v18_gate_signal_shuffled,79,0.9620253164556962,583.1340742697956,34.269784638830735,1.3497942847736133,0.19741591233000394,0.41747087837483676,3
test,state_v18_primary,79,0.9620253164556962,562.4671519425007,32.65348527961414,1.3095664382511396,0.12028450338061611,0.4168731961753299,3
test,static_gate_v17_Paper69,79,0.9620253164556962,416.67453164556963,48.684,1.3442217689891687,1.0,0.23351062313145765,3
test,vsids,79,0.9746835443037974,311.9005569620253,46.80799999999999,0.9788275790663106,0.0,0.26650728674424595,2
