galaxy,r_kpc,v_obs_km_s,e_v_obs_km_s,v_gas_km_s,v_disk_km_s,v_bulge_km_s,upsilon_disk,upsilon_bulge,v_baryon_km_s,v_residual_km_s,residual_fraction,H,B,S_eff,V,R_resp,R_rob,D_struct,v_nfw_like_km_s,v_rar_km_s,nfw_fractional_residual,rar_sigma_residual
DDO161,5.81,53.0,1.86,28.4,21.59,0.0,0.5,0.7,32.2432016090214,42.063950717924726,0.6298953186187256,1.0,0.5861952837977216,0.9904396364681636,0.38246539367540494,0.6074979570465251,0.6074979570465251,0.1463542531390774,43.668664641389576,72.58160906845936,0.048976974568226334,10.527746810999654
DDO161,6.28,55.0,1.48,28.98,20.86,0.0,0.5,0.7,32.51784433199716,44.357522473645886,0.6504429090909091,1.0,0.51440181266799,0.9685705341605702,0.643499862354798,0.6917518291929446,0.6917518291929446,0.2895395919952405,45.08909197684953,74.20361956543626,0.021631872825387404,12.975418625294768
DDO161,6.75,57.6,0.99,29.57,20.11,0.0,0.5,0.7,32.81144541162428,47.340986998582956,0.6755066822193287,1.0,0.4725108034294112,0.989985187854102,0.3758074761187306,0.5620725628241113,0.5620725628241113,0.14268800010856053,46.42811949722686,75.79065415297771,0.025800169376695076,18.190654152977707
DDO161,7.22,59.7,1.19,30.3,19.38,0.0,0.5,0.7,33.2548071712948,49.580316658932304,0.6897154112269892,1.0,0.4669836548136762,0.7302087502114156,0.35611003416402603,0.5499146592323246,0.5499146592323246,0.13506705732382937,47.69386656485087,77.51801130457554,0.05148660446122304,14.973118743340786
DDO161,7.69,60.5,1.26,31.18,18.7,0.0,0.5,0.7,33.86794059283794,50.13195188699518,0.6866232087972133,1.0,0.7351472999652029,0.0781136762970322,0.5038057187880829,0.7181455711248433,0.4124213450334145,0.14266672974276204,48.89320437735595,79.4211048639123,0.03351332988569101,15.016749891993893
DDO161,8.16,61.8,1.33,32.06,18.06,0.0,0.5,0.7,34.509787017598356,51.26709080882198,0.688177386076811,1.0,0.5791147144993365,0.4157915965566678,0.49896125238410505,0.661115196953258,0.5887443904086463,0.20215942824738367,50.03201324011995,81.32526762264453,0.032758415585420524,14.680652347853032
DDO161,8.64,62.9,1.35,32.64,17.47,0.0,0.5,0.7,34.89942764573654,52.33010557986674,0.6921527217856592,1.0,0.7399084950720244,0.18679499320066612,0.668010459004157,0.7906551278890223,0.5512284531927097,0.2548688856361859,51.13785608906471,82.8916469479892,0.0311796867903244,14.80862736888089
DDO161,9.11,63.0,2.09,33.23,16.94,0.0,0.5,0.7,35.323005251535434,52.16594003753791,0.6856349962207107,1.0,0.4768556803495942,0.5576580011793615,0.5598094446537046,0.6438861159393934,0.621153275692708,0.23841412279208393,52.16915815947698,84.44774816343241,8.459638914657036e-05,10.262080460972445
DDO161,9.58,64.5,2.38,33.38,16.44,0.0,0.5,0.7,35.34630390861257,53.95265331751535,0.6996908358872663,1.0,0.44560413973209134,0.9856464933408103,0.6453440661935804,0.6600550822159573,0.6600550822159573,0.29804214910952026,53.153409982751164,85.4483719575324,0.020576601695948202,8.801836956946387
DDO161,10.05,65.6,1.08,33.38,15.98,0.0,0.5,0.7,35.240666849536204,55.330420204440884,0.7114104792534206,1.0,0.41580544969266975,0.9937348930225153,0.5447188845768881,0.6095661887014406,0.6095661887014406,0.23621831086816608,54.094042664598916,86.2440370516126,0.03143821297789456,19.114849121863518
DDO161,10.52,67.5,3.22,32.79,15.57,0.0,0.5,0.7,34.58896572608091,57.96424285712701,0.7374163950617284,1.0,0.28032451725014873,1.0,0.40855833263010144,0.4856294902868847,0.4856294902868847,0.14630929354887848,54.99410901270265,86.26917277899081,0.07363542911363018,5.828935645649318
