alpha,latent_zc,sharpness,depth_floor,z_transition,residual_at_transition,cci_norm_at_transition,curvature_strength,delta_z_vs_matter_lambda,abs_delta_z_vs_matter_lambda,final_cci_norm,max_residual,regime
0.2,0.6,2.0,0.1,0.6816816816816816,0.6022232031173723,3.7740031640075715,1.4369194560088658,0.38611429822072896,0.38611429822072896,47.49324679782796,0.995138018115699,cosmologically_relevant_mid_z
0.2,0.6,2.0,0.15000000000000002,0.6846846846846847,0.5882247986690717,3.765598103911352,1.391248009109603,0.389117301223732,0.389117301223732,47.086905456321844,0.992899852753918,cosmologically_relevant_mid_z
0.2,0.6,2.0,0.2,0.6906906906906907,0.5771215031440037,3.776982367364267,1.3472090670726686,0.395123307229738,0.395123307229738,46.69251042099472,0.9906667033568088,cosmologically_relevant_mid_z
0.2,0.6,2.0,0.25,0.6936936936936937,0.5637237312333744,3.769019027453679,1.3047164452815707,0.39812631023274103,0.39812631023274103,46.30954249751848,0.9884385530812865,cosmologically_relevant_mid_z
0.2,0.6,2.0,0.30000000000000004,0.6996996996996997,0.5531543738621539,3.780554277915669,1.2637042917046415,0.404132316238747,0.404132316238747,45.93751214797227,0.9862153851595911,cosmologically_relevant_mid_z
0.2,0.6,2.0,0.3500000000000001,0.7027027027027027,0.5403212281079997,3.7730192340589377,1.224122722250513,0.40713531924175006,0.40713531924175006,45.57595740318483,0.9839971828988677,cosmologically_relevant_mid_z
0.2,0.6,2.0,0.4,0.7087087087087087,0.5302545957839796,3.7847096293434945,1.1858967638276283,0.41314132524775604,0.41314132524775604,45.224441948980804,0.9817839296807479,cosmologically_relevant_mid_z
0.2,0.6,2.5,0.1,0.7237237237237237,0.6459390511191598,4.188751486315539,1.60296887715117,0.42815634026277105,0.42815634026277105,48.73964976313716,0.9953694218253142,cosmologically_relevant_mid_z
0.2,0.6,2.5,0.15000000000000002,0.7267267267267267,0.6312476344825284,4.169567870508655,1.5452338150032006,0.431159343265774,0.431159343265774,48.245783037796734,0.9931179092066134,cosmologically_relevant_mid_z
0.2,0.6,2.5,0.2,0.7297297297297297,0.6168744333833631,4.150891743843846,1.4895246012707162,0.43416234626877703,0.43416234626877703,47.7665388621591,0.9908714719342757,cosmologically_relevant_mid_z
0.2,0.6,2.5,0.25,0.7297297297297297,0.6002684389485426,4.111352332999831,1.4357720666301645,0.43416234626877703,0.43416234626877703,47.301277287065304,0.9886300928663981,cosmologically_relevant_mid_z
0.2,0.6,2.5,0.30000000000000004,0.7327327327327328,0.5865286478000289,4.093928041317962,1.3838967440306646,0.4371653492717801,0.4371653492717801,46.84939516920002,0.9863937549381866,cosmologically_relevant_mid_z
0.2,0.6,2.5,0.3500000000000001,0.7357357357357357,0.5730785519270813,4.076959717836948,1.3338019114536337,0.440168352274783,0.440168352274783,46.41032356254812,0.9841624411615221,cosmologically_relevant_mid_z
0.2,0.6,2.5,0.4,0.7387387387387387,0.5599096983389077,4.0604347679347335,1.2854158910923843,0.44317135527778606,0.44317135527778606,45.983525328600926,0.9819361346245311,cosmologically_relevant_mid_z
0.2,0.6,3.0,0.1,0.7567567567567568,0.6838298566785541,4.56756521719565,1.8110423844898378,0.4611893732958041,0.4611893732958041,49.732789096765025,0.995439651067417,cosmologically_relevant_mid_z
0.2,0.6,3.0,0.15000000000000002,0.7567567567567568,0.6656658949831824,4.512505809743141,1.7373029274008331,0.4611893732958041,0.4611893732958041,49.16940443514554,0.9931840870926923,cosmologically_relevant_mid_z
0.2,0.6,3.0,0.2,0.7567567567567568,0.6478896309408917,4.459157373748905,1.6662631491543323,0.4611893732958041,0.4611893732958041,48.622736356538965,0.9909336165564518,cosmologically_relevant_mid_z
0.2,0.6,3.0,0.25,0.7567567567567568,0.6304887829015887,4.407441376737121,1.5978028262005068,0.4611893732958041,0.4611893732958041,48.092051723406506,0.9886882222254073,cosmologically_relevant_mid_z
0.2,0.6,3.0,0.30000000000000004,0.7597597597597597,0.6159742953780029,4.37996107037068,1.5318293202303437,0.46419237629880705,0.46419237629880705,47.57665965136662,0.9864478869439254,cosmologically_relevant_mid_z
0.2,0.6,3.0,0.3500000000000001,0.7597597597597597,0.5992711431253545,4.330836245737959,1.4682256645864413,0.46419237629880705,0.46419237629880705,47.07590850844307,0.9842125936335925,cosmologically_relevant_mid_z
0.2,0.6,3.0,0.4,0.24024024024024024,0.004530524622690302,1.6285050576914941,168.30342429884607,-0.055327143220712444,0.055327143220712444,46.58918316646197,0.9819823252927801,low_z
0.2,0.6,3.5,0.1,0.7747747747747747,0.7099170399507024,4.837241122361647,2.062194151752607,0.47920739131382206,0.47920739131382206,50.52305578245555,0.9954608523449717,cosmologically_relevant_mid_z
0.2,0.6,3.5,0.15000000000000002,0.7747747747747747,0.6908298500324299,4.769820384246879,1.9686016249239913,0.47920739131382206,0.47920739131382206,49.90444512957733,0.9932040652677168,cosmologically_relevant_mid_z
0.2,0.6,3.5,0.2,0.7747747747747747,0.6721640828182575,4.70462207816671,1.8786121028799414,0.47920739131382206,0.47920739131382206,49.30420155720663,0.990952377097146,cosmologically_relevant_mid_z
0.2,0.6,3.5,0.25,0.7747747747747747,0.6539059339239905,4.641538096796368,1.792057919610187,0.47920739131382206,0.47920739131382206,48.72151902974277,0.988705770572318,cosmologically_relevant_mid_z
0.2,0.6,3.5,0.30000000000000004,0.24024024024024024,0.006064778937926062,1.6380869922091115,99.43102615460649,-0.055327143220712444,0.055327143220712444,48.15563799522179,0.9864642285101143,low_z
0.2,0.6,3.5,0.3500000000000001,0.24024024024024024,0.00043303414898594327,1.6336086965023424,404.7626720182754,-0.055327143220712444,0.055327143220712444,47.60584208208262,0.984227733804799,low_z
0.2,0.6,3.5,0.4,0.24624624624624625,0.0007685559991862458,1.6488513342989586,379.90115063746134,-0.049321137214706434,0.049321137214706434,47.07145507366848,0.9819962694275856,low_z
0.2,0.6,4.0,0.1,0.7807807807807807,0.7259894179772521,4.998261748942628,2.353624221360093,0.48521339731982804,0.48521339731982804,51.14509301622805,0.995467242470098,cosmologically_relevant_mid_z
0.2,0.6,4.0,0.15000000000000002,0.7807807807807807,0.706020173696741,4.921111361170908,2.2366570386898275,0.48521339731982804,0.48521339731982804,50.48304527996703,0.9932100867415606,cosmologically_relevant_mid_z
0.2,0.6,4.0,0.2,0.24024024024024024,0.005220937450964717,1.645270931610863,160.61135535686978,-0.055327143220712444,0.055327143220712444,49.84065813085153,0.9909580315684228,low_z
0.2,0.6,4.0,0.25,0.24024024024024024,0.0004076238066295084,1.6408709131772354,420.3776847286107,-0.055327143220712444,0.055327143220712444,49.21706860268143,0.9887110596814032,low_z
0.2,0.6,4.0,0.30000000000000004,0.24624624624624625,0.0018996105187913518,1.6566364287993445,331.6960344667462,-0.049321137214706434,0.049321137214706434,48.611463505448555,0.9864691538890927,low_z
0.2,0.6,4.0,0.3500000000000001,0.24924924924924924,0.00015130233093281668,1.6621649737795647,422.11750189265877,-0.04631813421170344,0.04631813421170344,48.02307588746787,0.9842322970775154,low_z
0.2,0.6,4.0,0.4,0.25225225225225223,0.0016542027008892343,1.6675894251515186,332.29422123122083,-0.04331513120870045,0.04331513120870045,47.451181795026464,0.9820004722096929,low_z
0.2,0.6,4.5,0.1,0.24024024024024024,0.0025488819244512922,1.6498847516162567,320.6003511719995,-0.055327143220712444,0.055327143220712444,51.628736261800505,0.9954691675403462,low_z
0.2,0.6,4.5,0.15000000000000002,0.24324324324324323,0.0018215969912275184,1.656028673998839,354.730039230985,-0.05232414021770945,0.05232414021770945,50.93292646744095,0.9932119007525829,low_z
0.2,0.6,4.5,0.2,0.24624624624624625,0.0010218543443079357,1.6620673921138147,392.8429904623797,-0.049321137214706434,0.049321137214706434,50.257781089901584,0.990959735016959,low_z
0.2,0.6,4.5,0.25,0.24924924924924924,0.0001501214347162339,1.6679991690001272,434.9166079766884,-0.04631813421170344,0.04631813421170344,49.602393049329855,0.9887126530616809,low_z
0.2,0.6,4.5,0.30000000000000004,0.25225225225225223,0.0007930984945440929,1.673822316934872,392.9804258714002,-0.04331513120870045,0.04331513120870045,48.96590758953217,0.9864706376928408,low_z
0.2,0.6,4.5,0.3500000000000001,0.2552552552552553,0.001807266884764084,1.6795351994158936,330.43960866532274,-0.040312128205697406,0.040312128205697406,48.34751855883412,0.9842336717939801,low_z
0.2,0.6,4.5,0.4,0.26126126126126126,0.0009369155784118945,1.6953142827259398,372.8565068030829,-0.034306122199691425,0.034306122199691425,47.74646500371962,0.9820017383256522,low_z
0.2,0.6,5.0,0.1,0.24624624624624625,0.001382624399368948,1.6651620212801648,382.7707198694103,-0.049321137214706434,0.049321137214706434,52.0006886656497,0.995469747396798,low_z
0.2,0.6,5.0,0.15000000000000002,0.24924924924924924,0.001470877907618761,1.6715560707789703,372.0821630267345,-0.04631813421170344,0.04631813421170344,51.27891724017868,0.9932124471564977,low_z
0.2,0.6,5.0,0.2,0.25225225225225223,0.0016378423997478126,1.677843201946227,356.96149551048177,-0.04331513120870045,0.04331513120870045,50.57858162782441,0.9909602481179666,low_z
0.2,0.6,5.0,0.25,0.2552552552552553,0.0018835059755914266,1.6840210764582173,337.4125626182476,-0.040312128205697406,0.040312128205697406,49.89874087136639,0.9887131330086534,low_z
0.2,0.6,5.0,0.30000000000000004,0.26126126126126126,0.001726216908922114,1.7004502770936631,340.91125688801753,-0.034306122199691425,0.034306122199691425,49.23850829234254,0.9864710846338985,low_z
0.2,0.6,5.0,0.3500000000000001,0.26426426426426425,0.0012684579102427314,1.706360393848455,360.16164178137103,-0.031303119196688434,0.031303119196688434,48.59704763287687,0.9842340858764949,low_z
0.2,0.6,5.0,0.4,0.26726726726726724,0.0007318078988800505,1.7121522046160227,383.7326011817308,-0.028300116193685443,0.028300116193685443,47.973569521983926,0.9820021196962526,low_z
0.2,0.6,5.5,0.1,0.2552552552552553,0.000350436483780549,1.6903596514910688,437.9338829702534,-0.040312128205697406,0.040312128205697406,52.28420312712693,0.9954699220495107,low_z
0.2,0.6,5.5,0.15000000000000002,0.25825825825825827,0.0007356844781073391,1.6969963177237488,411.09914526077955,-0.037309125202694415,0.037309125202694415,51.54264400661117,0.9932126117333056,low_z
0.2,0.6,5.5,0.2,0.26126126126126126,0.0010387328770576053,1.7035244759830894,388.72617119865697,-0.034306122199691425,0.034306122199691425,50.82310848889833,0.9909604026639387,low_z
0.2,0.6,5.5,0.25,0.26426426426426425,0.0012591729415646754,1.7099412270705847,370.84040177106823,-0.031303119196688434,0.031303119196688434,50.12462980979456,0.9887132775686304,low_z
0.2,0.6,5.5,0.30000000000000004,0.26726726726726724,0.0013966415025568253,1.7162437000341582,357.46487574846776,-0.028300116193685443,0.028300116193685443,49.44629697281782,0.9864712192524945,low_z
0.2,0.6,5.5,0.3500000000000001,0.2702702702702703,0.00145082187998835,1.7224290559275002,348.6201759839023,-0.025297113190682396,0.025297113190682396,48.787250785169206,0.9842342105980988,low_z
0.2,0.6,5.5,0.4,0.2732732732732733,0.0014214447450609455,1.7284944916105058,344.3243785569591,-0.022294110187679406,0.022294110187679406,48.14668022708585,0.9820022345650297,low_z
0.2,0.6,6.0,0.1,0.26126126126126126,0.0007627549923122177,1.7047370857433535,411.3773614311255,-0.034306122199691425,0.034306122199691425,52.498800499495395,0.9954699746541968,low_z
0.2,0.6,6.0,0.15000000000000002,0.26426426426426425,5.430917971418061e-05,1.7116573443462728,445.58453228914414,-0.031303119196688434,0.031303119196688434,51.74226405470408,0.9932126613031699,low_z
0.2,0.6,6.0,0.2,0.26726726726726724,0.0007887268760058977,1.7184718350488388,399.6736154808936,-0.028300116193685443,0.028300116193685443,51.00819606100656,0.9909604492125558,low_z
0.2,0.6,6.0,0.25,0.2702702702702703,0.0014396779970664137,1.72517715716142,358.2732518777094,-0.025297113190682396,0.025297113190682396,50.29561022526727,0.9887133211095062,low_z
0.2,0.6,6.0,0.30000000000000004,0.2702702702702703,0.001890996532241439,1.7212635955982396,326.83790871317024,-0.025297113190682396,0.025297113190682396,49.60357714867625,0.9864712597990666,low_z
0.2,0.6,6.0,0.3500000000000001,0.2732732732732733,0.0013597733676863502,1.7277760392685086,350.8488279011714,-0.022294110187679406,0.022294110187679406,48.93122028263336,0.9842342481637372,low_z
0.2,0.6,6.0,0.4,0.27627627627627627,0.0009132252881957671,1.7341720819995654,370.05459983693464,-0.019291107184676415,0.019291107184676415,48.277712224750104,0.9820022691630361,low_z
0.2,0.7,2.0,0.1,0.7147147147147147,0.6036990188033834,3.972827567765785,1.3574906795423374,0.419147331253762,0.419147331253762,48.27251255044487,0.9950652632306718,cosmologically_relevant_mid_z
0.2,0.7,2.0,0.15000000000000002,0.7177177177177178,0.5915433708485226,3.964456343109229,1.3191624734690208,0.42215033425676507,0.42215033425676507,47.81210922032752,0.9928312937446463,cosmologically_relevant_mid_z
0.2,0.7,2.0,0.2,0.7207207207207207,0.5796258416873586,3.9563412015824677,1.2820063055340256,0.425153337259768,0.425153337259768,47.36521145361538,0.9906023216266496,cosmologically_relevant_mid_z
0.2,0.7,2.0,0.25,0.7237237237237237,0.5679398942782234,3.948476077024341,1.2459776733758758,0.42815634026277105,0.42815634026277105,46.93123357807293,0.9883783301268205,cosmologically_relevant_mid_z
0.2,0.7,2.0,0.30000000000000004,0.7267267267267267,0.5564792298035413,3.9408551180463998,1.2110341205138582,0.431159343265774,0.431159343265774,46.50962330270575,0.9861593025700693,cosmologically_relevant_mid_z
0.2,0.7,2.0,0.3500000000000001,0.7297297297297297,0.5452377769181069,3.9334726787222247,1.1771351260257745,0.43416234626877703,0.43416234626877703,46.099859372907076,0.9839452223556608,cosmologically_relevant_mid_z
0.2,0.7,2.0,0.4,0.7327327327327328,0.5342096815743739,3.926323309757613,1.1442420010166927,0.4371653492717801,0.4371653492717801,45.7014494205221,0.9817360729568008,cosmologically_relevant_mid_z
0.2,0.7,2.5,0.1,0.7717717717717718,0.654588281431991,4.50630327930456,1.4852176567309243,0.4762043883108191,0.4762043883108191,49.55154867240452,0.9953409482987736,cosmologically_relevant_mid_z
0.2,0.7,2.5,0.15000000000000002,0.7717717717717718,0.6394589681015095,4.463180661699857,1.4378258018326164,0.4762043883108191,0.4762043883108191,49.00115282531395,0.9930910781741702,cosmologically_relevant_mid_z
0.2,0.7,2.5,0.2,0.7717717717717718,0.6246038282271498,4.421205275688701,1.3918832290449643,0.4762043883108191,0.4762043883108191,48.46703911535799,0.9908462760700355,cosmologically_relevant_mid_z
0.2,0.7,2.5,0.25,0.7747747747747747,0.6124656579537497,4.402818619577486,1.3473473837032088,0.47920739131382206,0.47920739131382206,47.948495571719015,0.9886065248814249,cosmologically_relevant_mid_z
0.2,0.7,2.5,0.30000000000000004,0.7747747747747747,0.5981226822638738,4.362626245416252,1.3041546889794802,0.47920739131382206,0.47920739131382206,47.44485113713814,0.9863718075802814,cosmologically_relevant_mid_z
0.2,0.7,2.5,0.3500000000000001,0.24024024024024024,0.007015783337839389,1.6224889334786496,22.177531379786274,-0.055327143220712444,0.055327143220712444,46.95547277065483,0.9841421072150043,low_z
0.2,0.7,2.5,0.4,0.24024024024024024,6.377228399851971e-05,1.6189515094531737,402.3806327319618,-0.055327143220712444,0.055327143220712444,46.47976279310903,0.9819174069100196,low_z
0.2,0.7,3.0,0.1,0.8168168168168168,0.6975289217038628,4.995422396420314,1.6535405362504605,0.5212494333558642,0.5212494333558642,50.51217575284163,0.9954290450674984,cosmologically_relevant_mid_z
0.2,0.7,3.0,0.15000000000000002,0.8168168168168168,0.6817193132833128,4.936859943514512,1.5933410844255036,0.5212494333558642,0.5212494333558642,49.894448159588165,0.9931740929443026,cosmologically_relevant_mid_z
0.2,0.7,3.0,0.2,0.8138138138138138,0.6637817541685571,4.854636864255325,1.5350812338704145,0.5182464303528611,0.5182464303528611,49.29504367909875,0.9909242315252275,cosmologically_relevant_mid_z
0.2,0.7,3.0,0.25,0.24024024024024024,0.003739789864704429,1.630197771450074,216.11374699403342,-0.055327143220712444,0.055327143220712444,48.71315897207115,0.988679443590806,low_z
0.2,0.7,3.0,0.30000000000000004,0.24324324324324323,0.0016234463638145902,1.6363173665776178,328.1423518554148,-0.05232414021770945,0.05232414021770945,48.14803698380431,0.9864397119991445,low_z
0.2,0.7,3.0,0.3500000000000001,0.24624624624624625,0.0005203973210292559,1.6423711366038098,384.03118140941706,-0.049321137214706434,0.049321137214706434,47.598963658155775,0.9842050196854861,low_z
0.2,0.7,3.0,0.4,0.25225225225225223,0.0009858204616570543,1.6580902387334675,353.1073709862592,-0.04331513120870045,0.04331513120870045,47.065264927536624,0.9819753496617771,low_z
