step,t,baseline_energy,maat_energy,baseline_residual_rms,maat_residual_rms,baseline_distance_to_kink,maat_distance_to_kink,baseline_roughness,maat_roughness,mean_lambda_H,mean_lambda_S,mean_lambda_R,max_lambda_H,max_lambda_S,max_lambda_R,maat_stability,mean_defect_H,mean_defect_S,mean_defect_R
200,0.4,0.9600900070736831,0.9529214835379263,0.03915220113537417,0.030076613501701738,0.020681327393462987,0.01817812020872082,0.08007959765402511,0.07962179395925847,0.006019495793022984,0.013350407010934292,0.418893608336035,0.04119832060521187,0.04533210856363297,2.6218948964241204,0.9705577608094376,5.16412733831241e-07,3.642814462931973e-06,0.03033538072582902
220,0.44,0.9567857121445444,0.9506253132578952,0.0349469661482113,0.026415646856176856,0.01958664100458794,0.017287735144200653,0.08011122072986422,0.07975802565959624,0.005367648979986213,0.011904701164124332,0.3818766730640752,0.036604563968055684,0.04031282211407626,2.698028846936936,0.9707126974898604,3.9803697512597785e-07,3.6552587632882013e-06,0.030170927593584494
240,0.48,0.9541402720144636,0.9488763026439802,0.031341682224358625,0.023364150574071554,0.018640736389526506,0.01656122611804189,0.08017368598616685,0.07988821006885759,0.00478639018333425,0.010615549749983633,0.3488168495733673,0.032529095794762805,0.03584580805943358,2.758653927929897,0.9708240648456126,3.1118797965635206e-07,3.6672654830192546e-06,0.03005275230690442
260,0.52,0.952004374786951,0.9475242333579788,0.02821486466309246,0.02078553850314213,0.017823660377013793,0.015965421156846325,0.0802399482361134,0.07999908529758458,0.004268075478210077,0.009465999603079209,0.3192851700353898,0.028911782423861523,0.03187153355125405,2.806156740484496,0.9709038336207422,2.4615865727057533e-07,3.677552653303071e-06,0.029968123898276397
280,0.56,0.9502681751898978,0.9464659534432225,0.025477673971695303,0.018580903453170892,0.017118522597023532,0.015474764522294472,0.0802973190150493,0.08008657125035473,0.0038058886948093285,0.008440933403909102,0.2928988962490184,0.025699890693298887,0.028336482229074186,2.857036972472483,0.9709603640769204,1.9662310438241283e-07,3.685708112359955e-06,0.029908157940810788
300,0.6,0.9488491199363634,0.9456288964977853,0.023063386531834037,0.016677058388976995,0.016510794353899322,0.015069292640459095,0.08034067602626055,0.08015096539719835,0.003393751781388835,0.007526870876484263,0.26931725428244147,0.02284708083621592,0.02519267233174399,2.9082198905039296,0.9709996082218625,1.5833595713869966e-07,3.6917385213288487e-06,0.02986653293428647
320,0.64,0.9476840645964408,0.9449609169110865,0.020920712726720636,0.015018824068102957,0.01598783793461624,0.014733229923838761,0.08036882737455044,0.0801945016008692,0.0030262448739996357,0.006711791514079463,0.24823719448256215,0.0203125529256314,0.022397173742860387,2.9500367122440845,0.9710258771456279,1.2837426106182623e-07,3.6958389317647925e-06,0.02983867220876
340,0.68,0.9467239992800557,0.9444238307280964,0.019009409749225367,0.013563885405201545,0.015538582766835167,0.014453989337692534,0.08038253958582497,0.08022011154475243,0.0026985350218103597,0.0059849765018834345,0.22939943779176417,0.0180603232907614,0.019911638235508646,2.9837539871007692,0.9710423413330528,1.0467932627985113e-07,3.698274828638154e-06,0.029821211119583087
360,0.72,0.9459304185232357,0.9439891954268247,0.017297319547396037,0.012279236939039775,0.015153295364799056,0.014221436645612715,0.08038346516182698,0.08023081841727163,0.002406312630713412,0.005336867757730055,0.21259622436843634,0.016058609168197735,0.017701853001637482,3.010518874470482,0.9710513585010987,8.57708422697095e-08,3.6993236840309834e-06,0.029811648215585615
380,0.76,0.9452727602435115,0.9436355166969644,0.015758320938326638,0.011138778615351388,0.01482340872097463,0.014027362505026342,0.08037356497528347,0.08022944175817966,0.002145734789406716,0.0047589422372060226,0.19763582678640998,0.01427930305932815,0.01573732360173975,3.0313628837228173,0.9710547026500909,7.056525228101531e-08,3.6992461814305297e-06,0.02980810171756013
400,0.8,0.9447265591647976,0.943346350266204,0.01437088393378294,0.010121638787999774,0.01454138892274641,0.013865092949446465,0.08035480572966455,0.08021846578227775,0.0019133747326527811,0.0042435998501668334,0.184320424390115,0.012697521524944872,0.013990889367606937,3.047206779201187,0.9710537279387239,5.825701333948424e-08,3.6982730503305513e-06,0.029809135404609263
420,0.84,0.9442720895838616,0.943108969797487,0.013117029876702092,0.009210916162931715,0.014300624894253499,0.01372918122381969,0.0803290108069407,0.08020000844488683,0.0017061767771246084,0.0037840635146915652,0.17249364856970367,0.011291216010776648,0.012438372083111276,3.0588665529365806,0.9710494807278407,4.8238400271079885e-08,3.696601503943712e-06,0.02981363962056762
440,0.88,0.9438933507658577,0.9429134210731993,0.01198157054768189,0.008392741807964742,0.014095332657164651,0.013615162363738251,0.08029779617824069,0.08017584163006365,0.0015214161372160127,0.003374290034122078,0.16200364366260503,0.010040835665120353,0.011058257307298076,3.067060851165171,0.9710427748596839,4.00445871474442e-08,3.6943968119176273e-06,0.02982075135104159
460,0.92,0.9435772970727562,0.9427518490405237,0.010951542511446321,0.007655612495216867,0.013920469166302855,0.013519365696029066,0.08026255265294657,0.08014742405263896,0.0013566630923685596,0.0030088906251626744,0.15270586093651764,0.008929034013817881,0.009831406804759517,3.0795300099424234,0.9710342479664088,3.33159022905871e-08,3.691795161847158e-06,0.029829794463225912
480,0.96,0.943313246078678,0.9426180052559929,0.010015780349489793,0.006989884329134803,0.013771653126138058,0.01343876555209905,0.08022445242874193,0.08011594335439809,0.0012097510346925555,0.002683060051933961,0.1444670705028412,0.007940412870288814,0.008740800045408248,3.090999579434574,0.9710244027809527,2.777108466051197e-08,3.688907475749094e-06,0.029840235874673292
500,1.0,0.9430924182557862,0.9425068833063728,0.009164590179663474,0.0063873866132683815,0.01364509161014339,0.013370860950331067,0.08018446742919544,0.08008235945511374,0.0010787479766878822,0.0023925134340483612,0.13717950106408883,0.007061298054836393,0.007771302500754043,3.099939397987725,0.9710136368882566,2.3188097779131342e-08,3.6858233883254043e-06,0.029851653993896707
520,1.04,0.9429075753593698,0.9424144460217179,0.00838949659737836,0.005841127472308958,0.013537512077436137,0.013313578387084548,0.08014339239958454,0.08004744498616984,0.0009619311443729739,0.002133429897693088,0.13074686650882156,0.006279542444831117,0.006909458402828077,3.106789073852,0.9710022641755388,1.939018135228616e-08,3.6826150140977202e-06,0.029863715970922793
540,1.08,0.9427527338395032,0.9423374216577769,0.007683044063152418,0.005345085127217522,0.013446099733886753,0.013265196668663506,0.08010186890529429,0.0800118158145459,0.0008577643217053497,0.0019024023286962817,0.12507210951919207,0.005584352630524839,0.006143305679408803,3.1119297643504145,0.9709905330722766,1.6235692699905778e-08,3.6793398056123607e-06,0.029876158355463752
560,1.12,0.9426229359656437,0.9422731462493474,0.007038639152066791,0.004894035317002478,0.013368440284727588,0.01322428447989478,0.08006040821431464,0.07997595905953547,0.0007648776483583307,0.0016963925667969984,0.12006917121027202,0.004966136053615061,0.005462210890647943,3.1156893994415995,0.9709786399876771,1.3610421808799916e-08,3.676043161004038e-06,0.029888772849515237
580,1.16,0.9425140658197596,0.9422194414780365,0.006450423818857564,0.004483415077075734,0.013302468090233855,0.01318964927120338,0.08001941210270941,0.07994025724757221,0.0006820496051818026,0.001512691451895053,0.11566171108070819,0.004416365991016822,0.00485735819549889,3.1183478859476326,0.9709667394853143,1.1421770130550342e-08,3.6727606877399214e-06,0.02990139552058764
600,1.2,0.9424227005036007,0.9421745195377876,0.005913172460134329,0.004109215689310307,0.013246419642674112,0.013160295690925979,0.07997919122163479,0.07990500816475912,0.0006081909504442979,0.0013488831968633528,0.11178198498230084,0.003927462140556854,0.004320293945451194,3.120142222737683,0.9709549523333835,9.5943042578403e-09,3.6695200653402214e-06,0.0299138982676961
620,1.24,0.9423459892159052,0.9421369083769751,0.005422207425699236,0.0037678974007427546,0.013198792178098726,0.013135391645874742,0.07993998099498725,0.07987044105709383,0.0005423303956077234,0.0012028136184024194,0.10836985981769172,0.0034926848883370274,0.003842660274345159,3.1212714330064077,0.9709433719323942,8.06632106656923e-09,3.6663425662073896e-06,0.029926182007686652
640,1.28,0.9422815545512152,0.9421053924920912,0.004973328977700939,0.00345632067256262,0.013158307145488142,0.013114240493655206,0.07990195518930003,0.07983672979823239,0.00048360183226199994,0.001072561808152529,0.1053719467947025,0.003106041604494691,0.003417876067943882,3.1219012270261777,0.9709320694862559,6.787167989144987e-09,3.6632442918963012e-06,0.029938171193711418
660,1.32,0.942227411632817,0.9420789657119395,0.004562756676199363,0.0031716901397568385,0.013123878188823521,0.0130962581893557,0.0798652373781284,0.07980400356968137,0.00043123294224564575,0.0009564148715204707,0.10274083773302124,0.0027622035366265847,0.0030400894094322656,3.1221683312963284,0.9709210981883222,5.7151341596925624e-09,3.6602371755969532e-06,0.029949809377854977
680,1.36,0.9421819016409275,0.9420567933003662,0.00418707988943665,0.002911508266595206,0.013094583256680644,0.01308095441299432,0.07982991055125574,0.07977235554916375,0.00038453504116809934,0.0008528454020203513,0.10043664094807622,0.002456432057152027,0.0027040967333497425,3.1221844459327124,0.970910496602356,4.8157775217888465e-09,3.6573297965003244e-06,0.029961055627105708
700,1.4000000000000001,0.9421436370188827,0.9420381812842358,0.003843215660399178,0.0026735353289571604,0.013069640436332547,0.013067916709965688,0.07979602511807805,0.07974185032787048,0.000342894021769611,0.000760491394901618,0.09843169108758382,0.0021845131792424246,0.002405270952933655,3.122039815157127,0.9709002912073345,4.0605848308340084e-09,3.654528073110735e-06,0.029971881825763394
720,1.44,0.9421114561946672,0.9420225518159218,0.0035283725596275666,0.0024557593562058153,0.013048387110483554,0.013056797921439734,0.07976360553842525,0.07971252924251698,0.000305762278018091,0.0006781383359156666,0.09669206097226206,0.0019426993909688558,0.0021394975621433113,3.1218064135622163,0.9708904988707223,3.4259066033523942e-09,3.651835769204938e-06,0.029982270053250944
740,1.48,0.9420843860854233,0.9420094231004391,0.003240019454084606,0.0022563699875905747,0.013030262049664891,0.013047305774534782,0.07973265579103705,0.07968441451075836,0.0002726515037396257,0.0006047032296768611,0.09518601738928475,0.001727657973182247,0.0019031178255071136,3.1215407633088255,0.9708811289714726,2.892093878383957e-09,3.649254877582894e-06,0.029992210333076724
760,1.52,0.9420616109892674,0.9419983928475428,0.0029758583492260683,0.002073734523247484,0.013014790077448908,0.013039193928674711,0.0797031638646286,0.0796575131168378,0.00024312627108004708,0.0005392203575806998,0.09388546517726713,0.001536425066620478,0.0016928782681264734,3.121286405351771,0.9708721848907744,2.4427921168072685e-09,3.646785982233891e-06,0.030001699052180135
780,1.56,0.942042446734337,0.9419891247155501,0.0027338006349826283,0.0019063776640843506,0.013001568975215408,0.013032254526049804,0.07967510543157112,0.07963181999531166,0.00021679830435022008,0.0004808285779866468,0.09276553502819894,0.0013663648404377005,0.001505885766133973,3.1210760522252987,0.9708636652292608,2.0643675061077987e-09,3.6444285553490425e-06,0.03001073767021551
800,1.6,0.9420263191659362,0.9419813371741927,0.0025119461997757443,0.0017529641246481602,0.012990258325322255,0.01302631199249156,0.07964844684104289,0.07960732061567098,0.00019332137395245064,0.000428760001654908,0.09180421864253793,0.0012151331898599238,0.001339567615932416,3.120933451824165,0.9708555648117142,1.7454385275710875e-09,3.642181198089557e-06,0.03001933165407345
820,1.6400000000000001,0.9420127462213028,0.9419747943280506,0.0023085649799478333,0.0016122835872610438,0.012980570024082014,0.013021217870574926,0.07962314754766806,0.0795839930812684,0.0001723867432398823,0.00038232989351190774,0.0909820455532416,0.001080645456675417,0.0011916360297804707,3.120874991786581,0.9708478755165828,1.4764920325062856e-09,3.640041835787486e-06,0.030027489598105677
840,1.68,0.9420013229771229,0.9419692983357569,0.002122080592442448,0.0014832376000855254,0.012972260227485342,0.013016846506436822,0.07959916207335777,0.07956180983508718,0.0001537191084321714,0.0003409276679462235,0.09028179666984797,0.0009610477241469516,0.0010600565667499868,3.1209110731268312,0.9708405869603263,1.2495675927928416e-09,3.6380078762983126e-06,0.03003522249823834
860,1.72,0.941991709164483,0.9419646831329753,0.0019510557617010357,0.0013648281065559832,0.012965122522227899,0.013013091444049803,0.07957644158423464,0.0795407390468499,0.00013707297819473438,0.0003040088592173616,0.08968825022737956,0.0008546912888212245,0.0009430200626509068,3.1210472801176468,0.9708336870611056,1.0579972751944725e-09,3.6360763385237003e-06,0.030042543154004328
880,1.76,0.9419836187349272,0.941960809224178,0.0017941793016214528,0.001256147355426968,0.012958982141775932,0.013009862406835883,0.07955493515097772,0.07952074574134238,0.00012222944527072102,0.0002710879613831159,0.0891879563690149,0.000760109956553569,0.000838917670987723,3.1212853713942583,0.970827162501978,8.961905914738401e-10,3.634243956741412e-06,0.030049465677123088
900,1.8,0.9419768111337681,0.941957559353255,0.0016502544531187095,0.0011563689878296651,0.012953691071715524,0.013007082767743098,0.07953459074944003,0.07950179271610572,0.00010899330771060834,0.00024173204358597482,0.0887690370593477,0.0006759998496555748,0.0007463186700698564,3.121624115053987,0.9708209991102944,7.59456402635715e-10,3.6325072652730914e-06,0.03005600508893673
920,1.84,0.9419710839961152,0.9419548348986873,0.0015181884096492028,0.0010647401344080808,0.012949123910438084,0.013004687426206035,0.07951535604870308,0.07948384128728771,9.719050184174395e-05,0.00021555505673551123,0.08842100842846493,0.0006012014470792866,0.0006639507296589212,3.12205998829698,0.9708151821671763,6.43855147055899e-10,3.630862667136011e-06,0.030062176991993025
940,1.8800000000000001,0.9419662670297284,0.9419525528675481,0.0013969828887584739,0.00098057438450821,0.012945174370412758,0.01300262102454277,0.07949717902561862,0.07946685189495484,8.666581321974739e-05,0.00019221275671598754,0.08813462299605423,0.0005346836105447048,0.0005906823645392792,3.122587759984716,0.9708096966586529,5.460760212506025e-10,3.629306489618368e-06,0.030067997303503256
960,1.92,0.941962216888836,0.9419506433854785,0.001285725628622514,0.0009032455123979395,0.012941752322053942,0.013000836447914957,0.0794800084380929,0.07945078459318357,7.728083545931576e-05,0.00017139817735610952,0.08790172952766337,0.00047552937698634577,0.0005255073326225383,3.1232009724377483,0.9708045274781366,4.6333474437988155e-10,3.6278350291533385e-06,0.030073482040411045
980,1.96,0.9419588128760605,0.9419490475982508,0.0011835827056952653,0.0008321818639649798,0.012938781296721021,0.012999293561483473,0.07946379418371831,0.07943559944545797,6.891215010175434e-05,0.00015283759362758718,0.08771514853900642,0.0004229233220613136,0.00046753076206486403,3.1238923368834857,0.9707996595883556,3.932883400839387e-10,3.6264445874148663e-06,0.030078647147472243
1000,2.0,0.941955953336887,0.9419477159154872,0.001089791583736517,0.0007668613222903756,0.012936196377913954,0.012997958146215627,0.07944848756565749,0.07942125684206217,6.144970358332572e-05,0.00013628692198598122,0.08756856169458918,0.00037614032109118214,0.00041595681576292687,3.1246540552131847,0.9707950781495427,3.339640150184941e-10,3.625131500197262e-06,0.0300835083611317
1020,2.04,0.9419535526336777,0.9419466065392649,0.0010036548162759451,0.0007068067826935255,0.012933942420480583,0.01299680100125449,0.07943404148378141,0.07940771775308318,5.479535996051389e-05,0.00012152851051601682,0.08745641354868157,0.0003345355530211706,0.0003700777228322563,3.1254780791187557,0.9707907686195938,2.836997354389402e-10,3.623892160350103e-06,0.03008808110314029
1040,2.08,0.9419515386049884,0.9419456842302614,0.0009245343344488198,0.0006515820778620872,0.012931972546846929,0.012995797186096045,0.07942041056584287,0.07939494392816071,4.886161035961484e-05,0.00010836827666972184,0.08737382425377979,0.0002975356100507763,0.00032926402555542004,3.126356316251278,0.9707867168309942,2.410945268321511e-10,3.622723035808175e-06,0.030092380398826238
1060,2.12,0.9419498504314839,0.9419449192722203,0.0008518462604754259,0.0006007883019724353,0.012930246877122296,0.012994925380237983,0.07940755125078726,0.07938289805213537,4.3570422179090465e-05,9.663315495681671e-05,0.08731651201752265,0.0002646305907640706,0.0002929559070783723,3.1272807917672365,0.9707829090485377,2.0496686667693929e-10,3.6216206835679533e-06,0.030096420815749567
1080,2.16,0.9419484368426992,0.9419442866021871,0.0007850561941450154,0.0005540604896076395,0.012928731456599927,0.012994167341629037,0.07939542183410843,0.0793715438641329,3.8852212910961105e-05,8.61688210228518e-05,0.08728072422636816,0.0002353670680797558,0.0002606554800637708,3.128243772495407,0.9707793320112206,1.7431982243266782e-10,3.6205817603121922e-06,0.030100216419153905
1100,2.2,0.9419472546096587,0.9419437650794579,0.0007236749257249006,0.0005110646110688648,0.012927397349835223,0.012993507448293699,0.07938398248332733,0.07936084624632297,3.464493508633161e-05,7.683766218526518e-05,0.08726317627559126,0.00020934183533987668,0.00023191992978636596,3.129237859956125,0.9707759729611456,1.4831181800168947e-10,3.619603030260749e-06,0.030103780741207148
1120,2.24,0.941946267277347,0.9419433368707161,0.0006672545339353375,0.00047149485055134884,0.012926219875281138,0.012992932310040638,0.07937319523018421,0.07935077128752935,3.0893260311499716e-05,6.851696773861157e-05,0.08726099725236743,0.00018619634452871783,0.00020635541696104777,3.130256057583724,0.9707728196618145,1.2623210187342715e-10,3.6186813707276654e-06,0.030107126761508785
1140,2.2800000000000002,0.9419454440985121,0.9419429869325706,0.0006153848321443093,0.0004350711377952211,0.01292517795852149,0.012992430439275443,0.079363023944891,0.07934128632600317,2.7547851664199483e-05,6.109731523031939e-05,0.08727168171360412,0.00016561176010762755,0.00018361165609172481,3.1312918167307444,0.970769860407799,1.0748014663973729e-10,3.61781377578267e-06,0.03011026689675142
1160,2.32,0.9419447591365349,0.9419427025758256,0.0005676901298677107,0.00040153690734984725,0.012924253585575913,0.012991991971699993,0.07935343429678403,0.0793323599749662,2.4564714881525508e-05,5.4481131485470226e-05,0.08729304688427503,0.00014730456039808044,0.0001633770944637631,3.132339065358033,0.9707670840274571,9.154833875517456e-11,3.6169973583496368e-06,0.030113212997769964
1180,2.36,0.9419441905103245,0.9419424730983772,0.0005238262800939996,0.00037065706261104394,0.012923431340650566,0.012991608429152575,0.07934439370487917,0.0793239621339376,2.1904619807243892e-05,4.858140945715624e-05,0.08732319467659613,0.00013102262596027342,0.00014537462520300849,3.133392222727616,0.9707644798800816,7.800742426853218e-11,3.6162293510196766e-06,0.030115976352503016
1200,2.4,0.9419437197585648,0.9419422894757767,0.0004834779859726746,0.00034221612439948545,0.012922698015157198,0.012991272518074085,0.07933587128115192,0.07931606398838653,1.953258449015242e-05,4.33205640281775e-05,0.08736047799658715,0.00011654176110088739,0.00012935777520497487,3.134446202905455,0.970762037848643,6.649426479043452e-11,3.6155071058119245e-06,0.030118567693636578
1220,2.44,0.9419433313042909,0.9419421441002869,0.0004463563430640119,0.0003160165461013381,0.012922042276888687,0.012990977958116066,0.07932783776880102,0.07930863799984258,1.7417415149053304e-05,3.862941171713957e-05,0.08740347086336364,0.00010366260059280516,0.00011510731530043503,3.1354964094400355,0.9707597483290893,5.6701531441710176e-11,3.61482809307735e-06,0.030120997209907158
1240,2.48,0.9419430120038369,0.9419420305607353,0.0004121965957051952,0.0002918771793514637,0.012921454389981477,0.012990719336270077,0.07932026547729942,0.07930165788826511,1.5531295954583852e-05,3.444626087143441e-05,0.08745094191876313,9.220785898283353e-05,0.00010242824585896959,3.1365387232019977,0.9707576022170009,4.8369025596629565e-11,3.614189899710437e-06,0.030123274560215366
1260,2.52,0.9419427507667533,0.9419419434567169,0.0003807560881385079,0.0002696318759526773,0.012920925977764336,0.012990491982622508,0.07931312821566062,0.07929509860819181,1.3849423233273734e-05,3.0716100382560386e-05,0.08750183095137108,8.201988457308792e-05,9.114711622055656e-05,3.1375694850423965,0.9707555908922648,4.127636605868986e-11,3.6135902268070288e-06,0.030125408889847743
1280,2.56,0.9419425382354406,0.9419418782417266,0.000351812392910018,0.0002491282132217141,0.012920449821830833,0.01299029186444725,0.07930640122504326,0.07928893631995003,1.2349679283378356e-05,2.738987625486905e-05,0.08755522810033903,7.29584843519387e-05,8.110964095865335e-05,3.1385854746460096,0.9707537062023106,3.523682465230118e-11,3.613026886885309e-06,0.03012740884822772
1300,2.6,0.9419423665150484,0.9419418310906756,0.0003251616007123996,0.00023022633127371358,0.012920019691716647,0.012990115495859933,0.07930006111156908,0.07928314835701616,1.1012341512957945e-05,2.4423846514155227e-05,0.08761035544115786,6.489898987846571e-05,7.21785800801442e-05,3.1395838867156223,0.9707519404443593,3.0092127535914e-11,3.612497800768319e-06,0.030129282607720034
1320,2.64,0.9419422289456896,0.9419417987879671,0.0003006167573339845,0.0002127978719181617,0.012919630200442294,0.012989959860687364,0.07929408578002788,0.07927771319043825,9.819823075182079e-06,2.177900597272576e-05,0.08766655068827421,5.773053744109807e-05,6.423185391466272e-05,3.140562305418055,0.9707502863470471,2.5708069033116923e-11,3.612000994210713e-06,0.030131037883099936
1340,2.68,0.9419421199102973,0.9419417786329096,0.0002780064347123017,0.00019672500987113033,0.01291927668192302,0.012989822346567823,0.07928845436897836,0.07927261039109483,8.756441590048123e-06,1.9420573286239807e-05,0.08772325277856874,5.135453876180971e-05,5.716086668853873e-05,3.141518677848275,0.9707487370517253,2.1970809427042038e-11,3.6115345943398504e-06,0.030132681951371025
1360,2.72,0.9419420346725005,0.9419417683597695,0.0002571734242940439,0.00018189956790288058,0.012918955086872047,0.01298970068860274,0.07928314718762508,0.07926782059044109,7.808212911056221e-06,1.7317533556790137e-05,0.0877799891256515,4.568332114220028e-05,5.086901566178204e-05,3.14245128712013,0.9707472860936747,1.8783748778036672e-11,3.6110968259694574e-06,0.030134221671676648
1380,2.7600000000000002,0.9419419692398016,0.9419417660701768,0.00023797354198224242,0.00016822220835257704,0.012918661894350078,0.012989592921137383,0.07927814565474257,0.07926332544028716,6.9626672247407735e-06,1.544223046716343e-05,0.08783636435802544,4.0638918282882276e-05,4.527036526995293e-05,3.143358725567525,0.9707459273834261,1.6064886083251486e-11,3.610686007835182e-06,0.03013566350510062
1400,2.8000000000000003,0.9419419202480758,0.9419417701759649,0.00022027453492868404,0.00015560169417000387,0.01291839403655742,0.01298949733646494,0.07927343223983477,0.07925910757206765,6.208685064649659e-06,1.3770002582584295e-05,0.08789205037473613,3.615199508475212e-05,4.028846799192546e-05,3.1442398684348882,0.9707446551883411,1.3744587553044977e-11,3.6103005487927867e-06,0.030137013534195303
1420,2.84,0.9419418848640468,0.9419417793508289,0.00020395508131094392,0.00014395421329236276,0.012918148834839228,0.012989412449431597,0.07926899040664998,0.07925515055598285,5.536351083250126e-06,1.2278859037078474e-05,0.08794677757044397,3.216089158836475e-05,3.5855315690943745e-05,3.145093848347997,0.9707434641145698,1.1763699898694034e-11,3.609938944013133e-06,0.030138277482110523
1440,2.88,0.9419418607029265,0.9419417924894319,0.00018890387502968158,0.00013320276074535881,0.012917923945189718,0.012989336967074758,0.07926480455911927,0.0792514388603263,4.936823658768465e-06,1.0949190339523358e-05,0.08800032709817032,2.8610772851057666e-05,3.1910406978027163e-05,3.1459200307830573,0.9707423490894793,1.0071954691110104e-11,3.609599771201971e-06,0.03013946073122621
1460,2.92,0.9419418457588391,0.9419418086728121,0.00017501878798209321,0.00012327657338223754,0.01291771731180709,0.012989269762557471,0.07926085998974146,0.07924795781126018,4.40221862220997e-06,9.763510496300642e-06,0.08805252405250125,2.5452873023199102e-05,2.8399917748624133e-05,3.1467179906912985,0.9707413053446198,8.626618382829927e-12,3.609281686867531e-06,0.030140568341215552
1480,2.96,0.9419418383460392,0.9419418271391172,0.00016220610322263318,0.00011411061264285264,0.012917527127475174,0.012989209852772675,0.07925714283040826,0.07924469355325026,3.9255055754952055e-06,8.706227059298939e-06,0.08810323146897517,2.2643823185009588e-05,2.527596346760255e-05,3.1474874903864665,0.9707403283992783,7.3913497509596e-12,3.6089834226547813e-06,0.030141605066485756
1500,3.0,1.6648932325491916,1.6646105439953185,0.3301284991806058,0.3300532214213388,0.08678671614053017,0.08678178766517887,0.0998792945406509,0.09986609806804195,3.500415437229724e-06,7.763436075250677e-06,0.09072810796630962,2.0145053661664848e-05,2.2495943043905804e-05,3.1482220499102747,0.9404045441803487,6.272600883051326e-05,5.788590011255921e-06,0.06337214785748863
