d_H,d_B,d_S,d_V,d_R,label,source,alpha,runtime,C_hat
0.5,0.0037037037037036535,0.0,0.8644257703081233,0.2529171284720374,sat,sat_hardness_atlas,3.0,0.000169038772583,0.0386564680504464
0.5,0.0037037037037036535,0.0,0.8630252100840337,0.25510297920783764,sat,sat_hardness_atlas,3.0,9.703636169433594e-05,0.0391047373406254
0.5,0.05370370370370359,0.0,0.8620448179271709,0.2565943128327445,sat,sat_hardness_atlas,3.0,0.0001189708709716,0.0374400755653513
0.5,0.02962962962962956,0.0,0.8623249299719888,0.24006514053277217,sat,sat_hardness_atlas,3.0,0.0001258850097656,0.0379547605114657
0.5,0.024074074074074026,0.0,0.8626050420168068,0.25155282160135717,sat,sat_hardness_atlas,3.0,9.393692016601562e-05,0.0383446828536744
0.5,0.02777777777777779,0.0,0.8607843137254902,0.23585626536275828,sat,sat_hardness_atlas,3.0,0.0001122951507568,0.0383609863382573
0.5,0.042592592592592626,0.0,0.861624649859944,0.25155282160135717,sat,sat_hardness_atlas,3.0,0.0001027584075927,0.03788549930485
0.5,0.00925925925925919,0.0,0.8613445378151261,0.2572515045753727,sat,sat_hardness_atlas,3.0,0.000105857849121,0.0394123475530006
0.5,0.01851851851851838,0.0,0.861764705882353,0.2482517101643027,sat,sat_hardness_atlas,3.0,8.702278137207031e-05,0.038725707784147
0.5,0.007407407407407418,0.0,0.8630252100840337,0.2280191493893453,sat,sat_hardness_atlas,3.0,0.0001478195190429,0.0383638924031324
0.5,0.02777777777777779,0.0,0.8614845938375351,0.23048480935334825,sat,sat_hardness_atlas,3.0,9.202957153320312e-05,0.0380521626042393
0.5,0.005555555555555647,0.0,0.861904761904762,0.25936405209063906,sat,sat_hardness_atlas,3.0,0.0001170635223388,0.0394476645085538
0.5,0.0018518518518519933,0.0,0.8606442577030813,0.2374035038553578,sat,sat_hardness_atlas,3.0,8.487701416015625e-05,0.0394581743288732
0.5,0.0037037037037036535,0.0,0.8626050420168068,0.25138123417361125,sat,sat_hardness_atlas,3.0,8.20159912109375e-05,0.0391412050301846
0.5,0.01851851851851838,0.0,0.861624649859944,0.25936405209063906,sat,sat_hardness_atlas,3.0,8.392333984375e-05,0.0390124216670276
0.5,0.01851851851851838,0.0,0.8612044817927171,0.25086505650110336,sat,sat_hardness_atlas,3.0,9.298324584960938e-05,0.0389407446342717
0.5,0.0037037037037036535,0.0,0.8591036414565827,0.22760327810409153,sat,sat_hardness_atlas,3.0,8.702278137207031e-05,0.0396001984175073
0.5,0.0018518518518519933,0.0,0.8605042016806723,0.2540988476279413,sat,sat_hardness_atlas,3.0,8.392333984375e-05,0.0398755324920636
0.5,0.040740740740740855,0.0,0.8623249299719888,0.2461208804041476,sat,sat_hardness_atlas,3.0,9.775161743164062e-05,0.037649712493221
0.5,0.011111111111111183,0.0,0.8621848739495799,0.2428545244981628,sat,sat_hardness_atlas,3.0,0.0001099109649658,0.0387798996401964
0.5,0.014814814814814836,0.0,0.8614845938375351,0.2437705090006037,sat,sat_hardness_atlas,3.0,7.987022399902344e-05,0.0388512236820407
0.5,0.012962962962962954,0.0,0.861624649859944,0.266110930628931,sat,sat_hardness_atlas,3.0,9.107589721679688e-05,0.039385910402712
0.5,0.042592592592592626,0.0,0.8623249299719888,0.23507525609667068,sat,sat_hardness_atlas,3.0,9.703636169433594e-05,0.0373418571656731
0.5,0.031481481481481444,0.0,0.8606442577030813,0.23507525609667068,sat,sat_hardness_atlas,3.0,8.487701416015625e-05,0.038236367038464
0.5,0.02592592592592602,0.0,0.8638655462184874,0.24594165341483887,sat,sat_hardness_atlas,3.0,7.700920104980469e-05,0.0377994967451002
0.5,0.005555555555555647,0.0,0.8614845938375351,0.22486460001032182,sat,sat_hardness_atlas,3.0,8.20159912109375e-05,0.0387986966175371
0.5,0.01851851851851838,0.0,0.8609243697478992,0.2413746966194703,sat,sat_hardness_atlas,3.0,7.796287536621094e-05,0.038808766959245
0.5,0.03703703703703698,0.0,0.8623249299719888,0.25642947827319196,sat,sat_hardness_atlas,3.0,0.0001161098480224,0.0380185358709054
0.5,0.062962962962963,0.0,0.8635854341736695,0.25155282160135717,sat,sat_hardness_atlas,3.0,8.034706115722656e-05,0.0365540079353626
0.5,0.011111111111111183,0.0,0.8623249299719888,0.24230166254919006,sat,sat_hardness_atlas,3.0,8.702278137207031e-05,0.0387283038398239
0.5,0.04629629629629639,0.0,0.8623249299719888,0.2527473996709214,sat,sat_hardness_atlas,3.0,7.605552673339844e-05,0.0375736249192466
0.5,0.0018518518518519933,0.0,0.8610644257703082,0.23624490966191258,sat,sat_hardness_atlas,3.0,9.989738464355467e-05,0.0393133634075562
0.5,0.020370370370370372,0.0,0.861764705882353,0.2428545244981628,sat,sat_hardness_atlas,3.0,7.605552673339844e-05,0.0385339163377548
0.5,0.00925925925925919,0.0,0.861764705882353,0.24789909353939588,sat,sat_hardness_atlas,3.0,0.0001018047332763,0.0390831774271195
0.5,0.011111111111111183,0.0,0.861764705882353,0.24081515940310716,sat,sat_hardness_atlas,3.0,0.000105857849121,0.0388530377163823
0.5,0.014814814814814836,0.0,0.8623249299719888,0.2527473996709214,sat,sat_hardness_atlas,3.0,9.489059448242188e-05,0.0388139193010469
0.5,0.00925925925925919,0.0,0.8602240896358544,0.27061494835669586,sat,sat_hardness_atlas,3.0,8.082389831542969e-05,0.0400378424397349
0.5,0.02962962962962956,0.0,0.8607843137254902,0.2540988476279413,sat,sat_hardness_atlas,3.0,7.700920104980469e-05,0.0386879808057355
