d_H,d_B,d_S,d_V,d_R,label,source
0.5,0.0037037037037036,0.0,0.8644257703081233,0.2529171284720374,sat,sat_hardness_atlas
0.5,0.0037037037037036,0.0,0.8630252100840337,0.2551029792078376,sat,sat_hardness_atlas
0.5,0.0537037037037035,0.0,0.8620448179271709,0.2565943128327445,sat,sat_hardness_atlas
0.5,0.0296296296296295,0.0,0.8623249299719888,0.2400651405327721,sat,sat_hardness_atlas
0.5,0.024074074074074,0.0,0.8626050420168068,0.2515528216013571,sat,sat_hardness_atlas
0.5,0.0277777777777777,0.0,0.8607843137254902,0.2358562653627582,sat,sat_hardness_atlas
0.5,0.0425925925925926,0.0,0.861624649859944,0.2515528216013571,sat,sat_hardness_atlas
0.5,0.0092592592592591,0.0,0.8613445378151261,0.2572515045753727,sat,sat_hardness_atlas
0.5,0.0185185185185183,0.0,0.861764705882353,0.2482517101643027,sat,sat_hardness_atlas
0.5,0.0074074074074074,0.0,0.8630252100840337,0.2280191493893453,sat,sat_hardness_atlas
0.5,0.0277777777777777,0.0,0.8614845938375351,0.2304848093533482,sat,sat_hardness_atlas
0.5,0.0055555555555556,0.0,0.861904761904762,0.259364052090639,sat,sat_hardness_atlas
0.5,0.0018518518518519,0.0,0.8606442577030813,0.2374035038553578,sat,sat_hardness_atlas
0.5,0.0037037037037036,0.0,0.8626050420168068,0.2513812341736112,sat,sat_hardness_atlas
0.5,0.0185185185185183,0.0,0.861624649859944,0.259364052090639,sat,sat_hardness_atlas
0.5,0.0185185185185183,0.0,0.8612044817927171,0.2508650565011033,sat,sat_hardness_atlas
0.5,0.0037037037037036,0.0,0.8591036414565827,0.2276032781040915,sat,sat_hardness_atlas
0.5,0.0018518518518519,0.0,0.8605042016806723,0.2540988476279413,sat,sat_hardness_atlas
0.5,0.0407407407407408,0.0,0.8623249299719888,0.2461208804041476,sat,sat_hardness_atlas
0.5,0.0111111111111111,0.0,0.8621848739495799,0.2428545244981628,sat,sat_hardness_atlas
0.5,0.0148148148148148,0.0,0.8614845938375351,0.2437705090006037,sat,sat_hardness_atlas
0.5,0.0129629629629629,0.0,0.861624649859944,0.266110930628931,sat,sat_hardness_atlas
0.5,0.0425925925925926,0.0,0.8623249299719888,0.2350752560966706,sat,sat_hardness_atlas
0.5,0.0314814814814814,0.0,0.8606442577030813,0.2350752560966706,sat,sat_hardness_atlas
0.5,0.025925925925926,0.0,0.8638655462184874,0.2459416534148388,sat,sat_hardness_atlas
0.5,0.0055555555555556,0.0,0.8614845938375351,0.2248646000103218,sat,sat_hardness_atlas
0.5,0.0185185185185183,0.0,0.8609243697478992,0.2413746966194703,sat,sat_hardness_atlas
0.5,0.0370370370370369,0.0,0.8623249299719888,0.2564294782731919,sat,sat_hardness_atlas
0.5,0.062962962962963,0.0,0.8635854341736695,0.2515528216013571,sat,sat_hardness_atlas
0.5,0.0111111111111111,0.0,0.8623249299719888,0.24230166254919,sat,sat_hardness_atlas
0.5,0.0462962962962963,0.0,0.8623249299719888,0.2527473996709214,sat,sat_hardness_atlas
