environment,Delta,q_tidal,Sigma_env,S_env,max_R_LG_minus1_pct,max_Sigma_lens_minus1_pct
void,0.16375743605622828,0.12128485938209929,0.014496769389498995,0.9997898878336678,1.4996848317504252,3.5292520020120843
void,0.2059333672014583,0.17120611955739498,0.028476835599878424,0.9991897269091093,1.4987845903635666,3.527115447492468
void,0.11311707201302769,0.1592486756900194,0.024732910615667902,0.9993886571012404,1.4990829856517784,3.5278236304924215
void,0.11175359901285331,0.11986307652588435,0.014163665506602958,0.9997994308154851,1.4996991462231435,3.529285974909757
void,0.13099532365025565,0.14693696925416758,0.02113417607703502,0.9995535460117361,1.4993303190175222,3.52841062978122
void,0.15729778840723888,0.06781932544209474,0.004578402719114078,0.9999790386679283,1.4999685580018074,3.529925377670784
void,0.1604667239160926,0.18084907374560555,0.03167055793527425,0.9989979808096053,1.4984969712143137,3.526432841803251
void,0.1743859639193791,0.1737489302870092,0.029304040168741868,0.9991420100087629,1.4987130150130534,3.526945577715379
void,0.18887064465811718,0.10943549221734902,0.011834396719285526,0.9998599666663714,1.4997899499994638,3.5295014819203496
void,0.15382657377609424,0.12385093766049378,0.015107322709081241,0.9997718208781583,1.49965773131715,3.529187683888013
void,0.20027491869262562,0.28759854969294896,0.07639414272761265,0.9941977969910665,1.4912966954865103,3.5093451672547626
void,0.23893502477880435,0.11821744312674705,0.013782744983302347,0.9998100720202152,1.4997151080302196,3.5293238574739316
void,0.2170167158115924,0.19125683860421167,0.03528835913182556,0.9987562804742707,1.4981344207113167,3.525572404893329
void,0.2605149036228932,0.19211826071099752,0.035595612470696564,0.9987345557509689,1.4981018336263752,3.5254950665137397
void,0.3463519400519887,0.19066855003162445,0.03507920900858782,0.9987709614897825,1.4981564422345883,3.5256246682194847
void,0.16558031113140695,0.22554188531812933,0.04840673305379609,0.9976622660009618,1.496493399001353,3.521677830913217
void,0.32345514185220053,0.18128534452826683,0.03181867522968426,0.9989885958805722,1.498482893820774,3.5263994320227754
void,0.14552884154796378,0.16779069562716065,0.02738279019837057,0.9992507446055334,1.498876116908221,3.5273326676370065
void,0.19630180161082497,0.1930794621708944,0.035939852555952036,0.9987099932651279,1.4980649898975962,3.5254076259471523
void,0.27070622148233775,0.14959371743676744,0.02188845433028993,0.9995211249981669,1.499281687497156,3.5282952118728783
void,0.3012573988536421,0.09438091053121377,0.00882910872408168,0.99992205291536,1.4998830793729656,3.529722508560762
void,0.2459479447223701,0.10114095070572682,0.010125909005409491,0.9998974764789642,1.4998462147183478,3.529635016580235
void,0.2475160116351,0.10726444766876261,0.011374787278960376,0.9998706309528741,1.4998059464292224,3.529539446694119
void,0.2977469589457103,0.3149031200320168,0.09021763564018427,0.9919264903054461,1.4878897354580811,3.501260260933936
void,0.20586638853467087,0.20596349255125623,0.04069465396510408,0.9983466831221134,1.4975200246830855,3.5241142739182107
void,0.24636377870528375,0.11828323855211725,0.013797879432665791,0.9998096547613692,1.4997144821419672,3.5293223720372024
void,0.1625510226698376,0.11475411660018481,0.01299735155811805,0.9998310973853872,1.499746646077993,3.529398707547604
void,0.12559591652090182,0.18921531320673024,0.034564926235663714,0.9988066915606382,1.4982100373408525,3.5257518646752084
void,0.10503312852859016,0.09202310508956453,0.00839714275052254,0.9999294929652198,1.499894239447741,3.5297489951050975
void,0.3153405470157875,0.10979439617391994,0.011911221920847192,0.9998581429186391,1.4997872143778679,3.529494989393833
void,0.24383966065956622,0.21443921628519663,0.04396259376671519,0.9980710185104438,1.4971065277655793,3.5231329375260634
void,0.17051502485179515,0.18957908769983037,0.03469334372311488,0.9987978188802852,1.4981967283203446,3.5257202785707875
void,0.16465212656451467,0.15704381311626103,0.024069147644668498,0.9994210115534856,1.4991315173301434,3.527938811187026
void,0.1679807420219687,0.11092053075126967,0.012153831132004196,0.9998523062054938,1.4997784593081542,3.5294742107457644
void,0.13880376727643567,0.13232275660432152,0.017208011475007407,0.9997039719996024,1.49955595799931,3.5289461429473423
void,0.1527028904271533,0.09925986687377136,0.009756396072929819,0.9999048217954212,1.4998572326930582,3.5296611658632626
void,0.17408607743678547,0.206518075934579,0.04090512378799168,0.9983295658669772,1.4974943488003767,3.524053338196742
void,0.27202247774096155,0.06576834134349205,0.00430684557141873,0.9999814514252799,1.4999721771378205,3.529933967084098
void,0.2186043663656867,0.12631660024890712,0.01570529169386583,0.9997534046370825,1.4996301069555296,3.5291221223320735
void,0.12432777240718546,0.1479485664708268,0.021419922387974136,0.9995413973377908,1.4993120960065998,3.5283673808318206
void,0.2809637459370327,0.11283319144324327,0.012571279988633822,0.9998419878912196,1.4997629818367386,3.5294374776415616
void,0.2580405488525798,0.16483040757047634,0.02645042985779277,0.999300863893604,1.4989512958403228,3.5275110901247686
void,0.20886829464004475,0.28596634918774055,0.07559485138775308,0.994317889328508,1.4914768339926887,3.509772654600729
void,0.20216288218945058,0.1235466887220899,0.015034303922112512,0.9997740207837265,1.499661031175492,3.5291955155218657
void,0.2303212433032116,0.15946050192609704,0.024797119165842128,0.999385480747193,1.4990782211206977,3.527812322788826
void,0.20834407354388185,0.15034285350035115,0.022103371672278868,0.9995116795340948,1.4992675193010507,3.5282615862948674
void,0.1590765052575933,0.11555370277310954,0.013176714065141346,0.9998264043471284,1.4997396065206114,3.529382000379644
void,0.34723594193878293,0.11409747217948789,0.012850936667910684,0.9998348806956446,1.4997523210433794,3.5294121760942154
void,0.2609297603605271,0.22920826922684623,0.049914120927792176,0.9975147722767378,1.496272158415013,3.5211527745956595
void,0.22442982856510615,0.19737075400958967,0.03749460418813596,0.9985961282832904,1.4978941924248534,3.525002275813982
void,0.15630306018745127,0.16135940921787412,0.025376143864812375,0.9993564657255972,1.4990346985883196,3.5277090304070224
void,0.1432424313036214,0.21571261977078832,0.044462985602287494,0.9980269435592477,1.4970404153387795,3.522976035859271
void,0.26371389708320747,0.07642454739937198,0.005806795627517283,0.9999662822614644,1.4999494233921107,3.529879964884697
void,0.21902780877359415,0.12763754175332473,0.01603018877611618,0.999743099062853,1.4996146485942052,3.5290854346434974
void,0.23346467815222377,0.14815130708035737,0.02147740628430968,0.9995389336994919,1.4993084005491486,3.5283586103474374
void,0.14653726147270063,0.16229283377343098,0.025663026369254535,0.9993418425341035,1.4990127638010664,3.5276569724163265
void,0.20249586931465088,0.1122664887142919,0.01244688685767043,0.9998450990055876,1.4997676485082767,3.529448553179493
void,0.1387889256947915,0.11776898047891754,0.013679800324254518,0.9998128980767693,1.4997193471150805,3.5293339182033145
void,0.176047349248084,0.1446300250626347,0.020489253145577084,0.9995803666715918,1.4993705500073062,3.5285061106334448
void,0.19671329946763388,0.11310941161621432,0.012632126862125705,0.9998404548296623,1.4997606822443998,3.529432019957013
void,0.3017922352828606,0.31387425898771404,0.08968185829639475,0.9920213353811995,1.4880320030717265,3.5015978637295664
void,0.16030267333162657,0.10654411959091971,0.011224235829269617,0.9998740323998844,1.499811048599753,3.5295515558194435
void,0.14273990349627264,0.14401498104953353,0.02031889449907536,0.9995873129072859,1.4993809693608418,3.528530839059041
void,0.2361890484812243,0.2251291884999379,0.04823828329366176,0.9976784700671124,1.4965177051005751,3.521735515123736
void,0.2492245536688486,0.14684717520994842,0.02110889861704036,0.9995546128572731,1.4993319192858179,3.528414427722759
void,0.127397617231454,0.11603452076908208,0.013285138768742485,0.9998235362328523,1.4997353043491923,3.5293717899229193
void,0.23852618865777778,0.20358264814083046,0.03979649335407418,0.998418743448991,1.4976281151733994,3.5243708016893693
void,0.27864721697315653,0.21033472774567263,0.04236637950758372,0.9982083058174263,1.4973124587260411,3.5236216650148755
void,0.18134254921620582,0.20969349790665992,0.04211931918828011,0.9982291045851914,1.4973436568777032,3.5236957064052055
void,0.21108286204351676,0.16114020642158622,0.025308988720016745,0.9993598651251059,1.4990397976875736,3.5277211321383506
void,0.25661856436540254,0.06281850751542424,0.003930653878150605,0.9999845501987902,1.4999768252980994,3.5299449987146403
void,0.24569678321162175,0.13598376492177167,0.018155853820435722,0.9996704735954964,1.4995057103931675,3.528826889257397
void,0.1941929491689547,0.11416418919465317,0.01286577648434786,0.9998344991905067,1.4997517487856715,3.5294108179396932
void,0.18394694267243739,0.1715828355302226,0.028598704444386284,0.999182782494774,1.498774173742068,3.5270907257165085
void,0.21599001739926083,0.19846801037699383,0.03789681270096123,0.9985658912088549,1.497848836813187,3.5248946344033305
void,0.23461759256343817,0.0905500513719241,0.008132629835653464,0.9999338647061227,1.4999007970590839,3.5297645584847936
void,0.18536065619861664,0.22610625166486928,0.04863749209447246,0.9976399772458913,1.4964599658687572,3.521598486086397
void,0.1589814218738933,0.1780519304879354,0.03072832551950343,0.9990566607399867,1.4985849911098859,3.5266417389308025
void,0.23852879907364294,0.12861087237555313,0.016271611725890946,0.9997353047339761,1.4996029571008762,3.529057686954662
void,0.25190793760812347,0.07125808348473762,0.005052061535994021,0.99997447732566,1.499961715988407,3.5299091392986925
void,0.2655137161793772,0.28302188860591826,0.0741609910087497,0.9945302303394203,1.4917953455090505,3.5105285175595524
void,0.17632672091579993,0.18751739488000832,0.03396835192177954,0.9988474809006505,1.4982712213508886,3.525897071855111
void,0.3163808309779399,0.06910935382714252,0.004753400059137831,0.9999774056983918,1.4999661085475013,3.529919564301376
void,0.39992342963484473,0.18535781132625856,0.0332162889663113,0.9988978941248027,1.4983468411871037,3.526076539523193
void,0.1584429434279882,0.1277476671317132,0.016057417963740158,0.9997422257930124,1.4996133386894428,3.529082325816346
void,0.2171602620453395,0.17718043822546445,0.030437389529936815,0.9990744228054163,1.4986116342080358,3.526704970887873
void,0.237025579493972,0.14880136202647978,0.021662204166536286,0.9995309690039531,1.4992964535058384,3.5283302562535646
void,0.10968082949726425,0.2132287511221511,0.04348919864179595,0.9981122599039677,1.497168389855874,3.5232797521647985
void,0.17622124109957546,0.09223238497717133,0.008435057384127706,0.9999288548689164,1.4998932823032884,3.5297467234849833
void,0.13787036832784938,0.15751844284374866,0.024211326943100107,0.9994141550631326,1.4991212325946135,3.527914402320964
void,0.16889162081521827,0.294914328564859,0.08001518370304171,0.9936383007089622,1.490457451063354,3.5073535646602316
void,0.1322500789463739,0.11441577758231478,0.012921811116035574,0.9998330546728774,1.4997495820092244,3.529405675471353
