source_domain,target_domain,transfer,fit_rule,is_cross_domain,spearman,pearson,mutual_info,score_mean,score_std,quality_mean,quality_std,source_quality_label,target_quality_label,dominant_sector,v_weight
SAT-Frustration,SAT-Frustration,SAT-Frustration->SAT-Frustration,equal,False,-0.2683245685215357,-0.3083069293516405,0.038168029956416216,-0.6398494682801088,0.016797553926516145,0.6020963304392412,0.17777924688593708,1 - minmax(log DPLL nodes),1 - minmax(log DPLL nodes),H,0.2
SAT-Frustration,Quantum-Pointer,SAT-Frustration->Quantum-Pointer,equal,True,0.3771438857143697,0.3830591116425921,0.20426266921623792,-0.6531833429929268,0.24158424530508318,0.49155158461081316,0.1292109864594332,1 - minmax(log DPLL nodes),minmax(pointer robustness target),H,0.2
SAT-Frustration,Active-Significance,SAT-Frustration->Active-Significance,equal,True,0.9985482573471512,0.7992870650673997,3.0308220391831058,-1.1230116341799419,1.2234646736480415,0.42764126164245453,0.33842713239672106,1 - minmax(log DPLL nodes),minmax(active significance R_sig),H,0.2
SAT-Frustration,Societal-CCI,SAT-Frustration->Societal-CCI,equal,True,0.9551051677402066,0.9093208036086022,1.4109513355889947,-0.9305120521420311,0.4173214287780572,0.3794947870383546,0.21856253280103527,1 - minmax(log DPLL nodes),minmax(societal constructive-impact ASI_soc),H,0.2
SAT-Frustration,SAT-Frustration,SAT-Frustration->SAT-Frustration,nnls,False,0.16004437902688984,0.25338895659087857,0.028019694692181574,-0.7941427856881128,0.023603595092574675,0.6020963304392412,0.17777924688593708,1 - minmax(log DPLL nodes),1 - minmax(log DPLL nodes),V,1.0
SAT-Frustration,Quantum-Pointer,SAT-Frustration->Quantum-Pointer,nnls,True,0.603448095815005,0.477594073266966,0.33714878066661225,-0.8882786122772317,0.581453815437522,0.49155158461081316,0.1292109864594332,1 - minmax(log DPLL nodes),minmax(pointer robustness target),V,1.0
SAT-Frustration,Active-Significance,SAT-Frustration->Active-Significance,nnls,True,0.8334706917947551,0.6666956202810358,0.732198870585723,-0.200404448578027,0.2084598692070664,0.42764126164245453,0.33842713239672106,1 - minmax(log DPLL nodes),minmax(active significance R_sig),V,1.0
SAT-Frustration,Societal-CCI,SAT-Frustration->Societal-CCI,nnls,True,0.21345548399421932,0.2260212247609746,0.03302593386657904,-0.7071245896899391,0.48349187130010973,0.3794947870383546,0.21856253280103527,1 - minmax(log DPLL nodes),minmax(societal constructive-impact ASI_soc),V,1.0
SAT-Frustration,SAT-Frustration,SAT-Frustration->SAT-Frustration,ridge_pos,False,0.1264374707740309,0.22116379494823596,0.05057289520727215,-0.7702873444769303,0.018224241572320887,0.6020963304392412,0.17777924688593708,1 - minmax(log DPLL nodes),1 - minmax(log DPLL nodes),V,0.8394408736949722
SAT-Frustration,Quantum-Pointer,SAT-Frustration->Quantum-Pointer,ridge_pos,True,0.5981206571060596,0.47699374134393324,0.3380952330157667,-0.8580000664260342,0.5262835944297818,0.49155158461081316,0.1292109864594332,1 - minmax(log DPLL nodes),minmax(pointer robustness target),V,0.8394408736949722
SAT-Frustration,Active-Significance,SAT-Frustration->Active-Significance,ridge_pos,True,0.9575273845566901,0.8404844598195013,1.4361948709134458,-0.34857961872053517,0.3255489296235332,0.42764126164245453,0.33842713239672106,1 - minmax(log DPLL nodes),minmax(active significance R_sig),V,0.8394408736949722
SAT-Frustration,Societal-CCI,SAT-Frustration->Societal-CCI,ridge_pos,True,0.3629482571739302,0.3432479801601994,0.10226122639888136,-0.7491327861060983,0.43233518248343367,0.3794947870383546,0.21856253280103527,1 - minmax(log DPLL nodes),minmax(societal constructive-impact ASI_soc),V,0.8394408736949722
SAT-Frustration,SAT-Frustration,SAT-Frustration->SAT-Frustration,lasso_pos,False,0.16004437902688984,0.25338895659087857,0.028019694692181574,-0.7941427856881128,0.023603595092574675,0.6020963304392412,0.17777924688593708,1 - minmax(log DPLL nodes),1 - minmax(log DPLL nodes),V,1.0
SAT-Frustration,Quantum-Pointer,SAT-Frustration->Quantum-Pointer,lasso_pos,True,0.603448095815005,0.477594073266966,0.33714878066661225,-0.8882786122772317,0.581453815437522,0.49155158461081316,0.1292109864594332,1 - minmax(log DPLL nodes),minmax(pointer robustness target),V,1.0
SAT-Frustration,Active-Significance,SAT-Frustration->Active-Significance,lasso_pos,True,0.8334706917947551,0.6666956202810358,0.732198870585723,-0.200404448578027,0.2084598692070664,0.42764126164245453,0.33842713239672106,1 - minmax(log DPLL nodes),minmax(active significance R_sig),V,1.0
SAT-Frustration,Societal-CCI,SAT-Frustration->Societal-CCI,lasso_pos,True,0.21345548399421932,0.2260212247609746,0.03302593386657904,-0.7071245896899391,0.48349187130010973,0.3794947870383546,0.21856253280103527,1 - minmax(log DPLL nodes),minmax(societal constructive-impact ASI_soc),V,1.0
SAT-Frustration,SAT-Frustration,SAT-Frustration->SAT-Frustration,response_top20,False,0.12356157821494221,0.21741596072773217,0.037171552253296714,-0.768357178886951,0.017812574469880292,0.6020963304392412,0.17777924688593708,1 - minmax(log DPLL nodes),1 - minmax(log DPLL nodes),V,0.8264498877807888
SAT-Frustration,Quantum-Pointer,SAT-Frustration->Quantum-Pointer,response_top20,True,0.5975026398427812,0.47690318980063673,0.33945307392472657,-0.8555502015587604,0.5218595792970226,0.49155158461081316,0.1292109864594332,1 - minmax(log DPLL nodes),minmax(pointer robustness target),V,0.8264498877807888
