transfer,source_domain,target_domain,fit_rule,n_null,real_spearman,shuffle_spearman_mean,shuffle_spearman_p95,shuffle_spearman_p_value_greater,real_mutual_info,shuffle_mi_mean,shuffle_mi_p95,shuffle_mi_p_value_greater
SAT-Frustration->Quantum-Pointer,SAT-Frustration,Quantum-Pointer,nnls,200,0.603448095815005,0.0030105801454700996,0.030650798900939843,0.004975124378109453,0.33714878066661225,0.004371531318427589,0.018345450153065143,0.004975124378109453
SAT-Frustration->Active-Significance,SAT-Frustration,Active-Significance,nnls,200,0.8334706917947551,0.0006137877306936426,0.02120990650191828,0.004975124378109453,0.732198870585723,0.002985692872656203,0.011787421320396249,0.004975124378109453
SAT-Frustration->Societal-CCI,SAT-Frustration,Societal-CCI,nnls,200,0.21345548399421932,0.00016753111150124463,0.02235379272135169,0.004975124378109453,0.03302593386657904,0.0029947296706392336,0.011613151088419054,0.004975124378109453
SAT-Frustration->Quantum-Pointer,SAT-Frustration,Quantum-Pointer,ridge_pos,200,0.5981206571060596,-0.0007152402188534289,0.02844692269071085,0.004975124378109453,0.3380952330157667,0.0036473035838808076,0.014707489199138996,0.004975124378109453
SAT-Frustration->Active-Significance,SAT-Frustration,Active-Significance,ridge_pos,200,0.9575273845566901,0.0011161679160713272,0.022430057500627303,0.004975124378109453,1.4361948709134458,0.0031633020927474887,0.012799178656754761,0.004975124378109453
SAT-Frustration->Societal-CCI,SAT-Frustration,Societal-CCI,ridge_pos,200,0.3629482571739302,-2.8975842919033678e-05,0.02388083995203359,0.004975124378109453,0.10226122639888136,0.003172775223688671,0.012445031532149464,0.004975124378109453
SAT-Frustration->Quantum-Pointer,SAT-Frustration,Quantum-Pointer,response_top20,200,0.5975026398427812,-0.0014949384478666952,0.023682527568252953,0.004975124378109453,0.33945307392472657,0.003538731380086264,0.014386818067845517,0.004975124378109453
SAT-Frustration->Active-Significance,SAT-Frustration,Active-Significance,response_top20,200,0.9613320843327418,0.0003929203984803598,0.019511745413977787,0.004975124378109453,1.4765905809738715,0.0029169389265182666,0.011357177822822525,0.004975124378109453
SAT-Frustration->Societal-CCI,SAT-Frustration,Societal-CCI,response_top20,200,0.37560788280031526,-0.0005162560516902419,0.02068027663361105,0.004975124378109453,0.11146274455703509,0.0028656150383691114,0.014694697683063924,0.004975124378109453
SAT-Frustration->Quantum-Pointer,SAT-Frustration,Quantum-Pointer,v_only,200,0.603448095815005,0.0003535377104928742,0.02684680786854408,0.004975124378109453,0.33714878066661225,0.0044395990079356155,0.01659372366390199,0.004975124378109453
SAT-Frustration->Active-Significance,SAT-Frustration,Active-Significance,v_only,200,0.8334706917947551,-3.797714579045687e-05,0.021247187996299568,0.004975124378109453,0.732198870585723,0.0032357176718913515,0.013094718583352432,0.004975124378109453
SAT-Frustration->Societal-CCI,SAT-Frustration,Societal-CCI,v_only,200,0.21345548399421932,0.00013546785085871406,0.022290644658025785,0.004975124378109453,0.03302593386657904,0.003088168942675709,0.013193650426939863,0.004975124378109453
Quantum-Pointer->SAT-Frustration,Quantum-Pointer,SAT-Frustration,nnls,200,-0.04075887445711216,-0.00547138171429854,0.07006747397263681,0.7910447761194029,0.046329495058256676,0.009387776223136506,0.037008103100852285,0.029850746268656716
Quantum-Pointer->Active-Significance,Quantum-Pointer,Active-Significance,nnls,200,0.9987954052141017,0.001912124262449711,0.021185717314083724,0.004975124378109453,2.9429260582488137,0.0024438104417550967,0.010977719921452729,0.004975124378109453
