analysis,monitor,source_column,threshold,false_alarm_rate_target,false_alarm_rate_observed,event_count,detection_rate,median_lead_time,mean_lead_time,lead_coverage_utility,spearman_monitor_vs_oracle
primary,W_MAAT,W_MAAT,0.20781175680003683,0.05,0.050124422324920016,4,1.0,1.2749999999999986,1.2375000000000007,1.2749999999999986,0.9907565697600234
primary,high_mode_fraction,high_mode_fraction,0.0001126881799996333,0.05,0.050124422324920016,4,1.0,1.2249999999999996,1.1249999999999956,1.2249999999999996,0.9786538296286391
primary,palinstrophy,palinstrophy,0.7186357567536372,0.05,0.050124422324920016,4,0.5,2.0,2.0,1.0,0.6189712596942845
primary,max_abs_vorticity,max_abs_vorticity,0.840336822212409,0.05,0.050124422324920016,4,0.5,1.6499999999999995,1.6499999999999995,0.8249999999999997,0.2610941803827814
primary,rms_vorticity,rms_vorticity,0.2579069824501635,0.05,0.050124422324920016,4,0.5,1.0249999999999986,1.0249999999999986,0.5124999999999993,0.14057850287385568
