reference_monitor,comparison_monitor,observed_delta_utility,bootstrap_mean_delta,ci95_low,ci95_high,p_delta_gt_0,bootstrap_samples,bootstrap_unit
W_MAAT,rms_vorticity,0.7624999999999993,0.7431050000000007,-1.0999999999999943,1.9875000000000007,0.7629,10000,refinement event onsets
W_MAAT,max_abs_vorticity,0.44999999999999885,0.43425125000000026,-0.3750000000000009,1.5875000000000004,0.9055,10000,refinement event onsets
W_MAAT,palinstrophy,0.2749999999999986,0.2547024999999999,-1.1749999999999972,1.6499999999999986,0.619,10000,refinement event onsets
W_MAAT,high_mode_fraction,0.049999999999998934,0.09143500000000283,-0.7000000000000028,0.8000000000000007,0.6243,10000,refinement event onsets
