set,source_n,t,delta,sigma,config,alpha,dsigma,F_MAAT,H,B,R
jittered_zero,4,30.399674919671074,0.01,0.51,HBR,10.0,0.002,0.1351572963918256,0.9659269904930734,0.9090909090909091,0.994833303763394
jittered_zero,4,30.399674919671074,0.02,0.52,HBR,10.0,0.002,0.22811380873059922,0.9601245073720227,0.8333333333333333,0.9949130384466167
jittered_zero,4,30.399674919671074,0.05,0.55,HBR,10.0,0.002,0.47856151664585816,0.9340467794339291,0.6666666666666665,0.9951441762361495
known_zero,5,32.93506158773919,-0.05,0.45,HBR,10.0,0.002,0.48103192284056756,0.9327883465159038,0.6666666666666666,0.9940280451794354
known_zero,5,32.93506158773919,-0.02,0.48,HBR,10.0,0.002,0.21573838041461812,0.9726625557810072,0.8333333333333333,0.9943174484835883
known_zero,5,32.93506158773919,-0.01,0.49,HBR,10.0,0.002,0.11475549237655853,0.9862551947009693,0.9090909090909091,0.9944105068086257
known_zero,5,32.93506158773919,-0.005,0.495,HBR,10.0,0.002,0.06126451105652817,0.9931085189596559,0.9523809523809523,0.9944564127747164
known_zero,5,32.93506158773919,-0.002,0.498,HBR,10.0,0.002,0.02809913664683809,0.997238821422717,0.9803921568627451,0.9944837589501452
known_zero,5,32.93506158773919,0.0,0.5,HBR,10.0,0.002,0.005513262189622488,0.9999999999999973,1.0,0.9945019079455897
known_zero,5,32.93506158773919,0.002,0.502,HBR,10.0,0.002,0.02805357015126077,0.9972479296084082,0.9803921568627451,0.9945199917688711
known_zero,5,32.93506158773919,0.005,0.505,HBR,10.0,0.002,0.061116578475432205,0.9931649775537247,0.9523809523809523,0.9945469957885292
known_zero,5,32.93506158773919,0.01,0.51,HBR,10.0,0.002,0.11434746835326492,0.9864779649275477,0.9090909090909091,0.9945916797434632
known_zero,5,32.93506158773919,0.02,0.52,HBR,10.0,0.002,0.21448266163317098,0.9735298889618965,0.8333333333333333,0.9946798496135232
known_zero,5,32.93506158773919,0.05,0.55,HBR,10.0,0.002,0.4747627110190043,0.9377988976905485,0.6666666666666665,0.994935015346009
jittered_zero,5,32.960423164821364,-0.05,0.45,HBR,10.0,0.002,0.4897302476717557,0.924781869933809,0.6666666666666666,0.993950617641663
jittered_zero,5,32.960423164821364,-0.02,0.48,HBR,10.0,0.002,0.2327762557759673,0.9563033215992078,0.8333333333333333,0.9942420760137433
jittered_zero,5,32.960423164821364,-0.01,0.49,HBR,10.0,0.002,0.13852480830463115,0.9631613469305872,0.9090909090909091,0.994335808940708
jittered_zero,5,32.960423164821364,-0.005,0.495,HBR,10.0,0.002,0.08990318294308039,0.9651427809586103,0.9523809523809523,0.9943820503016795
jittered_zero,5,32.960423164821364,-0.002,0.498,HBR,10.0,0.002,0.06025035070948161,0.9657583457530321,0.9803921568627451,0.9944095971100885
jittered_zero,5,32.960423164821364,0.0,0.5,HBR,10.0,0.002,0.04026679873769672,0.9659153324504479,1.0,0.9944278796105847
jittered_zero,5,32.960423164821364,0.002,0.502,HBR,10.0,0.002,0.0601003243549371,0.965867793818648,0.9803921568627451,0.9944460967394705
jittered_zero,5,32.960423164821364,0.005,0.505,HBR,10.0,0.002,0.0895237133784595,0.9654205003972283,0.9523809523809523,0.9944733003450036
jittered_zero,5,32.960423164821364,0.01,0.51,HBR,10.0,0.002,0.13773556600178677,0.9637449225078248,0.9090909090909091,0.9945183159550733
jittered_zero,5,32.960423164821364,0.02,0.52,HBR,10.0,0.002,0.23098341641864564,0.9576677177145854,0.8333333333333333,0.994607145466772
jittered_zero,5,32.960423164821364,0.05,0.55,HBR,10.0,0.002,0.48281148980700517,0.9303472178783501,0.6666666666666665,0.9948642614865384
known_zero,6,37.586178158825675,-0.05,0.45,HBR,10.0,0.002,0.5103776006599136,0.9080300262816691,0.6666666666666666,0.9916008117252761
known_zero,6,37.586178158825675,-0.02,0.48,HBR,10.0,0.002,0.22899119885695204,0.9620646912877403,0.8333333333333333,0.9920358252860575
known_zero,6,37.586178158825675,-0.01,0.49,HBR,10.0,0.002,0.12251593757885924,0.9808351721182147,0.9090909090909091,0.9921758651656046
known_zero,6,37.586178158825675,-0.005,0.495,HBR,10.0,0.002,0.06625438606755968,0.9903677174633926,0.9523809523809523,0.9922449776934653
known_zero,6,37.586178158825675,-0.002,0.498,HBR,10.0,0.002,0.031418819331276715,0.9961350439944587,0.9803921568627451,0.9922861577819798
known_zero,6,37.586178158825675,0.0,0.5,HBR,10.0,0.002,0.007716201367786155,0.9999999999999933,1.0,0.9923134920883556
known_zero,6,37.586178158825675,0.002,0.502,HBR,10.0,0.002,0.0313500207608915,0.9961487928613068,0.9803921568627451,0.9923407315025247
known_zero,6,37.586178158825675,0.005,0.505,HBR,10.0,0.002,0.06603112613691545,0.9904526623120269,0.9523809523809523,0.992381413404044
known_zero,6,37.586178158825675,0.01,0.51,HBR,10.0,0.002,0.12190112503048724,0.9811685331997123,0.9090909090909091,0.9924487466527169
known_zero,6,37.586178158825675,0.02,0.52,HBR,10.0,0.002,0.22710710308374898,0.9633489626962383,0.8333333333333333,0.9925816687917619
known_zero,6,37.586178158825675,0.05,0.55,HBR,10.0,0.002,0.5011014713845945,0.915231404872882,0.6666666666666665,0.992966830220473
