series,n_spacings,mean_spacing,std_spacing,L1_to_GUE,L2_to_GUE,V_pair_weighted,V_pair_mean,F_pair
jittered_zeta_spacings,199,1.0,0.36411705786589266,0.20588481930470062,0.07026777789976651,0.9844488156093196,0.9937154620656763,0.015673372492871318
zeta_normalized_spacings,199,1.0,0.3632009404851214,0.29384709136080844,0.08674828712773622,0.9797317074904581,0.9910446732472246,0.02047651266464165
uniform_points_control,199,1.0,0.9928168541501434,0.8102749589020384,0.23400530879241416,0.9572579993024052,0.9762571975248029,0.04368233211391355
poisson_unit_mean_control,199,1.0246713976012627,0.9552735441274558,0.822516088323633,0.2220195276355839,0.9559012397563429,0.9757269012567045,0.04510067696029241
