series,spacing_center,P_empirical,P_GUE_proxy,abs_diff,V_bin
zeta_normalized_spacings,0.0625,0.0,0.0015752891439932263,0.0015752891439932263,0.9984271884889057
zeta_normalized_spacings,0.1875,0.0,0.013624568638373536,0.013624568638373536,0.9865585651138312
zeta_normalized_spacings,0.3125,0.01507537688442211,0.034951048088815724,0.019875671204393614,0.9805116723875548
zeta_normalized_spacings,0.4375,0.035175879396984924,0.060796165672641636,0.025620286275656712,0.9750197157578738
zeta_normalized_spacings,0.5625,0.11055276381909548,0.08571266827507568,0.024840095544019808,0.9757619792082454
zeta_normalized_spacings,0.6875,0.12562814070351758,0.10494100634369743,0.020687134359820142,0.9797321493889554
zeta_normalized_spacings,0.8125,0.09547738693467336,0.11544267687003044,0.01996528993535708,0.9804255202286125
zeta_normalized_spacings,0.9375,0.1708542713567839,0.11633275235946404,0.05452151899731987,0.9482973860512955
zeta_normalized_spacings,1.0625,0.11557788944723618,0.10868687473205,0.006891014715186175,0.9931561463808123
zeta_normalized_spacings,1.1875,0.09547738693467336,0.09489999827748423,0.0005773886571891346,0.9994229445280949
zeta_normalized_spacings,1.3125,0.05527638190954774,0.07787486525624683,0.02259848334669909,0.9779009222928435
zeta_normalized_spacings,1.4375,0.08040201005025126,0.06030232798823592,0.020099682062015338,0.9802963549391701
zeta_normalized_spacings,1.5625,0.020100502512562814,0.044197538538573826,0.02409703602601101,0.9764699680027206
zeta_normalized_spacings,1.6875,0.04522613065326633,0.030733019046333233,0.0144931116069331,0.9857139378857128
zeta_normalized_spacings,1.8125,0.02512562814070352,0.020312028402782862,0.004813599737920657,0.9952094600041479
zeta_normalized_spacings,1.9375,0.010050251256281407,0.012778511295694713,0.0027282600394133057,0.9972791631111442
zeta_normalized_spacings,2.0625,0.0,0.007661332289213287,0.007661332289213287,0.9923969174526045
zeta_normalized_spacings,2.1875,0.0,0.004381794696964028,0.004381794696964028,0.995637321663834
zeta_normalized_spacings,2.3125,0.0,0.0023926483460129867,0.0023926483460129867,0.9976130627554372
zeta_normalized_spacings,2.4375,0.0,0.0012481997763131333,0.0012481997763131333,0.9987533562840941
zeta_normalized_spacings,2.5625,0.0,0.0006224751693707325,0.0006224751693707325,0.9993779120649221
zeta_normalized_spacings,2.6875,0.0,0.00029690029807544747,0.00029690029807544747,0.9997031878255476
zeta_normalized_spacings,2.8125,0.0,0.00013549963503891273,0.00013549963503891273,0.9998645187226247
zeta_normalized_spacings,2.9375,0.0,5.9192701450321945e-05,5.9192701450321945e-05,0.9999408108021182
zeta_normalized_spacings,3.0625,0.0,2.4759617074972935e-05,2.4759617074972935e-05,0.9999752409959484
zeta_normalized_spacings,3.1875,0.0,9.91953710226861e-06,9.91953710226861e-06,0.9999900805612941
zeta_normalized_spacings,3.3125,0.0,3.8073434498653872e-06,3.8073434498653872e-06,0.999996192671046
zeta_normalized_spacings,3.4375,0.0,1.400344623790132e-06,1.400344623790132e-06,0.9999985996573372
zeta_normalized_spacings,3.5625,0.0,4.936492322092337e-07,4.936492322092337e-07,0.9999995063510115
zeta_normalized_spacings,3.6875,0.0,1.6682147413389726e-07,1.6682147413389726e-07,0.9999998331785537
zeta_normalized_spacings,3.8125,0.0,5.4051375412111495e-08,5.4051375412111495e-08,0.9999999459486275
zeta_normalized_spacings,3.9375,0.0,1.6793735102046393e-08,1.6793735102046393e-08,0.9999999832062653
jittered_zeta_spacings,0.0625,0.0,0.0015752891439932263,0.0015752891439932263,0.9984271884889057
jittered_zeta_spacings,0.1875,0.0,0.013624568638373536,0.013624568638373536,0.9865585651138312
jittered_zeta_spacings,0.3125,0.010050251256281407,0.034951048088815724,0.024900796832534315,0.9757041882399834
jittered_zeta_spacings,0.4375,0.05527638190954774,0.060796165672641636,0.005519783763093894,0.9945105169960591
jittered_zeta_spacings,0.5625,0.09045226130653267,0.08571266827507568,0.00473959303145699,0.9952827647438905
jittered_zeta_spacings,0.6875,0.1407035175879397,0.10494100634369743,0.03576251124424226,0.9654722864981071
jittered_zeta_spacings,0.8125,0.09547738693467336,0.11544267687003044,0.01996528993535708,0.9804255202286125
jittered_zeta_spacings,0.9375,0.16080402010050251,0.11633275235946404,0.044471267741038475,0.9574222201083425
jittered_zeta_spacings,1.0625,0.11557788944723618,0.10868687473205,0.006891014715186175,0.9931561463808123
jittered_zeta_spacings,1.1875,0.09045226130653267,0.09489999827748423,0.004447736970951563,0.9955719577960679
jittered_zeta_spacings,1.3125,0.06532663316582915,0.07787486525624683,0.01254823209041768,0.9876072747028437
jittered_zeta_spacings,1.4375,0.07035175879396985,0.06030232798823592,0.010049430805733929,0.9900505554488385
jittered_zeta_spacings,1.5625,0.04522613065326633,0.044197538538573826,0.0010285921146925073,0.998972464799912
jittered_zeta_spacings,1.6875,0.03015075376884422,0.030733019046333233,0.0005822652774890129,0.9994180735580722
jittered_zeta_spacings,1.8125,0.020100502512562814,0.020312028402782862,0.00021152589022004759,0.9997885188435199
jittered_zeta_spacings,1.9375,0.005025125628140704,0.012778511295694713,0.007753385667554009,0.9923062668130676
jittered_zeta_spacings,2.0625,0.005025125628140704,0.007661332289213287,0.0026362066610725833,0.9973707246521133
jittered_zeta_spacings,2.1875,0.0,0.004381794696964028,0.004381794696964028,0.995637321663834
jittered_zeta_spacings,2.3125,0.0,0.0023926483460129867,0.0023926483460129867,0.9976130627554372
jittered_zeta_spacings,2.4375,0.0,0.0012481997763131333,0.0012481997763131333,0.9987533562840941
jittered_zeta_spacings,2.5625,0.0,0.0006224751693707325,0.0006224751693707325,0.9993779120649221
jittered_zeta_spacings,2.6875,0.0,0.00029690029807544747,0.00029690029807544747,0.9997031878255476
jittered_zeta_spacings,2.8125,0.0,0.00013549963503891273,0.00013549963503891273,0.9998645187226247
jittered_zeta_spacings,2.9375,0.0,5.9192701450321945e-05,5.9192701450321945e-05,0.9999408108021182
jittered_zeta_spacings,3.0625,0.0,2.4759617074972935e-05,2.4759617074972935e-05,0.9999752409959484
jittered_zeta_spacings,3.1875,0.0,9.91953710226861e-06,9.91953710226861e-06,0.9999900805612941
jittered_zeta_spacings,3.3125,0.0,3.8073434498653872e-06,3.8073434498653872e-06,0.999996192671046
jittered_zeta_spacings,3.4375,0.0,1.400344623790132e-06,1.400344623790132e-06,0.9999985996573372
jittered_zeta_spacings,3.5625,0.0,4.936492322092337e-07,4.936492322092337e-07,0.9999995063510115
jittered_zeta_spacings,3.6875,0.0,1.6682147413389726e-07,1.6682147413389726e-07,0.9999998331785537
