set,config,alpha,dsigma,delta,mean_F,median_F,std_F,mean_H,mean_B,mean_R,mean_F_at_delta0,delta0_margin_vs_best
jittered_zero,BR,0.0,0.001,0.05,0.0036179499066607166,0.0033079611503587323,0.0011860736465125925,0.8381556567268396,1.0,0.9963892701195458,0.0040924800497214656,0.00047453014306074893
jittered_zero,BR,0.0,0.002,0.05,0.00722152393487648,0.006605035687988053,0.0023626430176843793,0.8381556567268396,1.0,0.992807188801106,0.008166435887954146,0.0009449119530776659
jittered_zero,BR,0.0,0.005,0.05,0.017947448734360157,0.016431848649910846,0.00583665184070074,0.8381556567268396,1.0,0.9822289375371339,0.020279236782960865,0.002331788048600708
jittered_zero,BR,2.0,0.001,0.0,0.0040924800497214656,0.0038070039514483496,0.0013940049811366308,0.8598261347082454,1.0,0.995916825885169,0.0040924800497214656,0.0
jittered_zero,BR,2.0,0.002,0.0,0.008166435887954146,0.007599604470346463,0.0027753190226083983,0.8598261347082454,1.0,0.9918705407956064,0.008166435887954146,0.0
jittered_zero,BR,2.0,0.005,0.0,0.020279236782960865,0.01889241288779553,0.006845102102299597,0.8598261347082454,1.0,0.9799473518243854,0.020279236782960865,0.0
jittered_zero,BR,5.0,0.001,0.0,0.0040924800497214656,0.0038070039514483496,0.0013940049811366308,0.8598261347082454,1.0,0.995916825885169,0.0040924800497214656,0.0
jittered_zero,BR,5.0,0.002,0.0,0.008166435887954146,0.007599604470346463,0.0027753190226083983,0.8598261347082454,1.0,0.9918705407956064,0.008166435887954146,0.0
jittered_zero,BR,5.0,0.005,0.0,0.020279236782960865,0.01889241288779553,0.006845102102299597,0.8598261347082454,1.0,0.9799473518243854,0.020279236782960865,0.0
jittered_zero,BR,10.0,0.001,0.0,0.0040924800497214656,0.0038070039514483496,0.0013940049811366308,0.8598261347082454,1.0,0.995916825885169,0.0040924800497214656,0.0
jittered_zero,BR,10.0,0.002,0.0,0.008166435887954146,0.007599604470346463,0.0027753190226083983,0.8598261347082454,1.0,0.9918705407956064,0.008166435887954146,0.0
jittered_zero,BR,10.0,0.005,0.0,0.020279236782960865,0.01889241288779553,0.006845102102299597,0.8598261347082454,1.0,0.9799473518243854,0.020279236782960865,0.0
jittered_zero,BR,20.0,0.001,0.0,0.0040924800497214656,0.0038070039514483496,0.0013940049811366308,0.8598261347082454,1.0,0.995916825885169,0.0040924800497214656,0.0
jittered_zero,BR,20.0,0.002,0.0,0.008166435887954146,0.007599604470346463,0.0027753190226083983,0.8598261347082454,1.0,0.9918705407956064,0.008166435887954146,0.0
jittered_zero,BR,20.0,0.005,0.0,0.020279236782960865,0.01889241288779553,0.006845102102299597,0.8598261347082454,1.0,0.9799473518243854,0.020279236782960865,0.0
jittered_zero,HBR,0.0,0.001,0.005,0.16106174987612004,0.13801204666073785,0.11369144855112902,0.8599369485364905,1.0,0.9959670309737076,0.16136570080210788,0.00030395092598783924
jittered_zero,HBR,0.0,0.002,0.005,0.16508573239656188,0.1416812750000047,0.11415953275611938,0.8599369485364905,1.0,0.9919700251217186,0.16543965664034055,0.0003539242437786694
jittered_zero,HBR,0.0,0.005,0.005,0.1770513377704594,0.1524443310788402,0.11562121130446855,0.8599369485364905,1.0,0.9801893283716503,0.17755245753534726,0.0005011197648878696
jittered_zero,HBR,2.0,0.001,0.0,0.16136570080210788,0.13835085956691673,0.11483861948144289,0.8598261347082454,1.0,0.995916825885169,0.16136570080210788,0.0
jittered_zero,HBR,2.0,0.002,0.0,0.16543965664034055,0.14205609008126757,0.11531240544121442,0.8598261347082454,1.0,0.9918705407956064,0.16543965664034055,0.0
jittered_zero,HBR,2.0,0.005,0.0,0.17755245753534726,0.15326031132306264,0.1167924516707015,0.8598261347082454,1.0,0.9799473518243854,0.17755245753534726,0.0
jittered_zero,HBR,5.0,0.001,0.0,0.16136570080210788,0.13835085956691673,0.11483861948144289,0.8598261347082454,1.0,0.995916825885169,0.16136570080210788,0.0
jittered_zero,HBR,5.0,0.002,0.0,0.16543965664034055,0.14205609008126757,0.11531240544121442,0.8598261347082454,1.0,0.9918705407956064,0.16543965664034055,0.0
jittered_zero,HBR,5.0,0.005,0.0,0.17755245753534726,0.15326031132306264,0.1167924516707015,0.8598261347082454,1.0,0.9799473518243854,0.17755245753534726,0.0
jittered_zero,HBR,10.0,0.001,0.0,0.16136570080210788,0.13835085956691673,0.11483861948144289,0.8598261347082454,1.0,0.995916825885169,0.16136570080210788,0.0
jittered_zero,HBR,10.0,0.002,0.0,0.16543965664034055,0.14205609008126757,0.11531240544121442,0.8598261347082454,1.0,0.9918705407956064,0.16543965664034055,0.0
jittered_zero,HBR,10.0,0.005,0.0,0.17755245753534726,0.15326031132306264,0.1167924516707015,0.8598261347082454,1.0,0.9799473518243854,0.17755245753534726,0.0
jittered_zero,HBR,20.0,0.001,0.0,0.16136570080210788,0.13835085956691673,0.11483861948144289,0.8598261347082454,1.0,0.995916825885169,0.16136570080210788,0.0
jittered_zero,HBR,20.0,0.002,0.0,0.16543965664034055,0.14205609008126757,0.11531240544121442,0.8598261347082454,1.0,0.9918705407956064,0.16543965664034055,0.0
jittered_zero,HBR,20.0,0.005,0.0,0.17755245753534726,0.15326031132306264,0.1167924516707015,0.8598261347082454,1.0,0.9799473518243854,0.17755245753534726,0.0
jittered_zero,HR,0.0,0.001,0.005,0.16106174987712013,0.13801204666173794,0.11369144855112902,0.8599369485364905,1.0,0.9959670309737076,0.16136570080310797,0.00030395092598783924
jittered_zero,HR,0.0,0.002,0.005,0.16508573239756197,0.1416812750010048,0.11415953275611938,0.8599369485364905,1.0,0.9919700251217186,0.16543965664134064,0.0003539242437786694
jittered_zero,HR,0.0,0.005,0.005,0.17705133777145948,0.1524443310798403,0.11562121130446855,0.8599369485364905,1.0,0.9801893283716503,0.17755245753634735,0.0005011197648878696
jittered_zero,HR,2.0,0.001,0.005,0.16106174987712013,0.13801204666173794,0.11369144855112902,0.8599369485364905,0.9900990099009901,0.9959670309737076,0.16136570080310797,0.00030395092598783924
jittered_zero,HR,2.0,0.002,0.005,0.16508573239756197,0.1416812750010048,0.11415953275611938,0.8599369485364905,0.9900990099009901,0.9919700251217186,0.16543965664134064,0.0003539242437786694
jittered_zero,HR,2.0,0.005,0.005,0.17705133777145948,0.1524443310798403,0.11562121130446855,0.8599369485364905,0.9900990099009901,0.9801893283716503,0.17755245753634735,0.0005011197648878696
jittered_zero,HR,5.0,0.001,0.005,0.16106174987712013,0.13801204666173794,0.11369144855112902,0.8599369485364905,0.9756097560975612,0.9959670309737076,0.16136570080310797,0.00030395092598783924
jittered_zero,HR,5.0,0.002,0.005,0.16508573239756197,0.1416812750010048,0.11415953275611938,0.8599369485364905,0.9756097560975612,0.9919700251217186,0.16543965664134064,0.0003539242437786694
jittered_zero,HR,5.0,0.005,0.005,0.17705133777145948,0.1524443310798403,0.11562121130446855,0.8599369485364905,0.9756097560975612,0.9801893283716503,0.17755245753634735,0.0005011197648878696
jittered_zero,HR,10.0,0.001,0.005,0.16106174987712013,0.13801204666173794,0.11369144855112902,0.8599369485364905,0.9523809523809523,0.9959670309737076,0.16136570080310797,0.00030395092598783924
jittered_zero,HR,10.0,0.002,0.005,0.16508573239756197,0.1416812750010048,0.11415953275611938,0.8599369485364905,0.9523809523809523,0.9919700251217186,0.16543965664134064,0.0003539242437786694
jittered_zero,HR,10.0,0.005,0.005,0.17705133777145948,0.1524443310798403,0.11562121130446855,0.8599369485364905,0.9523809523809523,0.9801893283716503,0.17755245753634735,0.0005011197648878696
jittered_zero,HR,20.0,0.001,0.005,0.16106174987712013,0.13801204666173794,0.11369144855112902,0.8599369485364905,0.909090909090909,0.9959670309737076,0.16136570080310797,0.00030395092598783924
jittered_zero,HR,20.0,0.002,0.005,0.16508573239756197,0.1416812750010048,0.11415953275611938,0.8599369485364905,0.909090909090909,0.9919700251217186,0.16543965664134064,0.0003539242437786694
jittered_zero,HR,20.0,0.005,0.005,0.17705133777145948,0.1524443310798403,0.11562121130446855,0.8599369485364905,0.909090909090909,0.9801893283716503,0.17755245753634735,0.0005011197648878696
known_zero,BR,0.0,0.001,0.05,0.003624920382586725,0.0032887485833270735,0.001187628776213079,0.9126603954221671,1.0,0.9963823266402849,0.00409911301439019,0.00047419263180346503
known_zero,BR,0.0,0.002,0.05,0.007235411028130122,0.006566735221272116,0.0023657831563833093,0.9126603954221671,1.0,0.9927934089622313,0.008179631359930297,0.000944220331800175
known_zero,BR,0.0,0.005,0.05,0.017981767475112008,0.016337018577183827,0.005844715721068099,0.9126603954221671,1.0,0.9821952756025423,0.020311705793103214,0.0023299383179912064
known_zero,BR,2.0,0.001,0.0,0.00409911301439019,0.0037003448845961406,0.0014000800595059897,0.9999999999999927,1.0,0.9959102282850724,0.00409911301439019,0.0
known_zero,BR,2.0,0.002,0.0,0.008179631359930297,0.007387068831117874,0.002787485768950009,0.9999999999999927,1.0,0.9918574855482681,0.008179631359930297,0.0
known_zero,BR,2.0,0.005,0.0,0.020311705793103214,0.018366734418029988,0.006875627186079753,0.9999999999999927,1.0,0.9799157365287787,0.020311705793103214,0.0
known_zero,BR,5.0,0.001,0.0,0.00409911301439019,0.0037003448845961406,0.0014000800595059897,0.9999999999999927,1.0,0.9959102282850724,0.00409911301439019,0.0
known_zero,BR,5.0,0.002,0.0,0.008179631359930297,0.007387068831117874,0.002787485768950009,0.9999999999999927,1.0,0.9918574855482681,0.008179631359930297,0.0
known_zero,BR,5.0,0.005,0.0,0.020311705793103214,0.018366734418029988,0.006875627186079753,0.9999999999999927,1.0,0.9799157365287787,0.020311705793103214,0.0
known_zero,BR,10.0,0.001,0.0,0.00409911301439019,0.0037003448845961406,0.0014000800595059897,0.9999999999999927,1.0,0.9959102282850724,0.00409911301439019,0.0
known_zero,BR,10.0,0.002,0.0,0.008179631359930297,0.007387068831117874,0.002787485768950009,0.9999999999999927,1.0,0.9918574855482681,0.008179631359930297,0.0
known_zero,BR,10.0,0.005,0.0,0.020311705793103214,0.018366734418029988,0.006875627186079753,0.9999999999999927,1.0,0.9799157365287787,0.020311705793103214,0.0
known_zero,BR,20.0,0.001,0.0,0.00409911301439019,0.0037003448845961406,0.0014000800595059897,0.9999999999999927,1.0,0.9959102282850724,0.00409911301439019,0.0
known_zero,BR,20.0,0.002,0.0,0.008179631359930297,0.007387068831117874,0.002787485768950009,0.9999999999999927,1.0,0.9918574855482681,0.008179631359930297,0.0
known_zero,BR,20.0,0.005,0.0,0.020311705793103214,0.018366734418029988,0.006875627186079753,0.9999999999999927,1.0,0.9799157365287787,0.020311705793103214,0.0
known_zero,HBR,0.0,0.001,0.0,0.004099113013397396,0.003700344883603268,0.0014000800595105113,0.9999999999999927,1.0,0.9959102282850724,0.004099113013397396,0.0
known_zero,HBR,0.0,0.002,0.0,0.008179631358937501,0.007387068830125002,0.0027874857689545304,0.9999999999999927,1.0,0.9918574855482681,0.008179631358937501,0.0
known_zero,HBR,0.0,0.005,0.0,0.02031170579211042,0.018366734417037116,0.006875627186084274,0.9999999999999927,1.0,0.9799157365287787,0.02031170579211042,0.0
known_zero,HBR,2.0,0.001,0.0,0.004099113013397396,0.003700344883603268,0.0014000800595105113,0.9999999999999927,1.0,0.9959102282850724,0.004099113013397396,0.0
known_zero,HBR,2.0,0.002,0.0,0.008179631358937501,0.007387068830125002,0.0027874857689545304,0.9999999999999927,1.0,0.9918574855482681,0.008179631358937501,0.0
known_zero,HBR,2.0,0.005,0.0,0.02031170579211042,0.018366734417037116,0.006875627186084274,0.9999999999999927,1.0,0.9799157365287787,0.02031170579211042,0.0
known_zero,HBR,5.0,0.001,0.0,0.004099113013397396,0.003700344883603268,0.0014000800595105113,0.9999999999999927,1.0,0.9959102282850724,0.004099113013397396,0.0
known_zero,HBR,5.0,0.002,0.0,0.008179631358937501,0.007387068830125002,0.0027874857689545304,0.9999999999999927,1.0,0.9918574855482681,0.008179631358937501,0.0
known_zero,HBR,5.0,0.005,0.0,0.02031170579211042,0.018366734417037116,0.006875627186084274,0.9999999999999927,1.0,0.9799157365287787,0.02031170579211042,0.0
known_zero,HBR,10.0,0.001,0.0,0.004099113013397396,0.003700344883603268,0.0014000800595105113,0.9999999999999927,1.0,0.9959102282850724,0.004099113013397396,0.0
known_zero,HBR,10.0,0.002,0.0,0.008179631358937501,0.007387068830125002,0.0027874857689545304,0.9999999999999927,1.0,0.9918574855482681,0.008179631358937501,0.0
known_zero,HBR,10.0,0.005,0.0,0.02031170579211042,0.018366734417037116,0.006875627186084274,0.9999999999999927,1.0,0.9799157365287787,0.02031170579211042,0.0
known_zero,HBR,20.0,0.001,0.0,0.004099113013397396,0.003700344883603268,0.0014000800595105113,0.9999999999999927,1.0,0.9959102282850724,0.004099113013397396,0.0
known_zero,HBR,20.0,0.002,0.0,0.008179631358937501,0.007387068830125002,0.0027874857689545304,0.9999999999999927,1.0,0.9918574855482681,0.008179631358937501,0.0
known_zero,HBR,20.0,0.005,0.0,0.02031170579211042,0.018366734417037116,0.006875627186084274,0.9999999999999927,1.0,0.9799157365287787,0.02031170579211042,0.0
known_zero,HR,0.0,0.001,0.0,0.004099113014397485,0.003700344884603357,0.0014000800595105113,0.9999999999999927,1.0,0.9959102282850724,0.004099113014397485,0.0
known_zero,HR,0.0,0.002,0.0,0.00817963135993759,0.007387068831125091,0.0027874857689545304,0.9999999999999927,1.0,0.9918574855482681,0.00817963135993759,0.0
known_zero,HR,0.0,0.005,0.0,0.020311705793110507,0.018366734418037205,0.006875627186084274,0.9999999999999927,1.0,0.9799157365287787,0.020311705793110507,0.0
known_zero,HR,2.0,0.001,0.0,0.004099113014397485,0.003700344884603357,0.0014000800595105113,0.9999999999999927,1.0,0.9959102282850724,0.004099113014397485,0.0
known_zero,HR,2.0,0.002,0.0,0.00817963135993759,0.007387068831125091,0.0027874857689545304,0.9999999999999927,1.0,0.9918574855482681,0.00817963135993759,0.0
known_zero,HR,2.0,0.005,0.0,0.020311705793110507,0.018366734418037205,0.006875627186084274,0.9999999999999927,1.0,0.9799157365287787,0.020311705793110507,0.0
known_zero,HR,5.0,0.001,0.0,0.004099113014397485,0.003700344884603357,0.0014000800595105113,0.9999999999999927,1.0,0.9959102282850724,0.004099113014397485,0.0
known_zero,HR,5.0,0.002,0.0,0.00817963135993759,0.007387068831125091,0.0027874857689545304,0.9999999999999927,1.0,0.9918574855482681,0.00817963135993759,0.0
known_zero,HR,5.0,0.005,0.0,0.020311705793110507,0.018366734418037205,0.006875627186084274,0.9999999999999927,1.0,0.9799157365287787,0.020311705793110507,0.0
known_zero,HR,10.0,0.001,0.0,0.004099113014397485,0.003700344884603357,0.0014000800595105113,0.9999999999999927,1.0,0.9959102282850724,0.004099113014397485,0.0
known_zero,HR,10.0,0.002,0.0,0.00817963135993759,0.007387068831125091,0.0027874857689545304,0.9999999999999927,1.0,0.9918574855482681,0.00817963135993759,0.0
known_zero,HR,10.0,0.005,0.0,0.020311705793110507,0.018366734418037205,0.006875627186084274,0.9999999999999927,1.0,0.9799157365287787,0.020311705793110507,0.0
known_zero,HR,20.0,0.001,0.0,0.004099113014397485,0.003700344884603357,0.0014000800595105113,0.9999999999999927,1.0,0.9959102282850724,0.004099113014397485,0.0
known_zero,HR,20.0,0.002,0.0,0.00817963135993759,0.007387068831125091,0.0027874857689545304,0.9999999999999927,1.0,0.9918574855482681,0.00817963135993759,0.0
known_zero,HR,20.0,0.005,0.0,0.020311705793110507,0.018366734418037205,0.006875627186084274,0.9999999999999927,1.0,0.9799157365287787,0.020311705793110507,0.0
random_critical_line,BR,0.0,0.001,0.05,0.0041904080500478605,0.003898713206719126,0.002160163681307738,0.4717403389186353,1.0,0.9958206225744355,0.004687720966749849,0.0004973129167019884
random_critical_line,BR,0.0,0.002,0.05,0.008358872033434203,0.00778230331259118,0.004296182835441778,0.4717403389186353,1.0,0.9916848720818707,0.009348063576100994,0.0009891915426667904
random_critical_line,BR,0.0,0.005,0.05,0.020735599800475856,0.019343674885546874,0.010564133827432915,0.4717403389186353,1.0,0.9795309465115993,0.02316891062765133,0.002433310827175475
random_critical_line,BR,2.0,0.001,0.0,0.004687720966749849,0.004229719797191498,0.002402285247380023,0.4630122710470371,1.0,0.9953260465477947,0.004687720966749849,0.0
random_critical_line,BR,2.0,0.002,0.0,0.009348063576100994,0.008441628934318074,0.004774928272931704,0.4630122710470371,1.0,0.9907064828363884,0.009348063576100994,0.0
random_critical_line,BR,2.0,0.005,0.0,0.02316891062765133,0.020972061459897242,0.011721440930628501,0.4630122710470371,1.0,0.977162551155463,0.02316891062765133,0.0
random_critical_line,BR,5.0,0.001,0.0,0.004687720966749849,0.004229719797191498,0.002402285247380023,0.4630122710470371,1.0,0.9953260465477947,0.004687720966749849,0.0
random_critical_line,BR,5.0,0.002,0.0,0.009348063576100994,0.008441628934318074,0.004774928272931704,0.4630122710470371,1.0,0.9907064828363884,0.009348063576100994,0.0
random_critical_line,BR,5.0,0.005,0.0,0.02316891062765133,0.020972061459897242,0.011721440930628501,0.4630122710470371,1.0,0.977162551155463,0.02316891062765133,0.0
random_critical_line,BR,10.0,0.001,0.0,0.004687720966749849,0.004229719797191498,0.002402285247380023,0.4630122710470371,1.0,0.9953260465477947,0.004687720966749849,0.0
random_critical_line,BR,10.0,0.002,0.0,0.009348063576100994,0.008441628934318074,0.004774928272931704,0.4630122710470371,1.0,0.9907064828363884,0.009348063576100994,0.0
random_critical_line,BR,10.0,0.005,0.0,0.02316891062765133,0.020972061459897242,0.011721440930628501,0.4630122710470371,1.0,0.977162551155463,0.02316891062765133,0.0
random_critical_line,BR,20.0,0.001,0.0,0.004687720966749849,0.004229719797191498,0.002402285247380023,0.4630122710470371,1.0,0.9953260465477947,0.004687720966749849,0.0
random_critical_line,BR,20.0,0.002,0.0,0.009348063576100994,0.008441628934318074,0.004774928272931704,0.4630122710470371,1.0,0.9907064828363884,0.009348063576100994,0.0
random_critical_line,BR,20.0,0.005,0.0,0.02316891062765133,0.020972061459897242,0.011721440930628501,0.4630122710470371,1.0,0.977162551155463,0.02316891062765133,0.0
random_critical_line,HBR,0.0,0.001,0.05,0.8300888105815465,0.8190928203827856,0.3901756814284731,0.4717403389186353,1.0,0.9958206225744355,0.855877088277782,0.025788277696235484
random_critical_line,HBR,0.0,0.002,0.05,0.8342572745649328,0.822667782148579,0.39153134866892464,0.4717403389186353,1.0,0.9916848720818707,0.8605374308871332,0.026280156322200376
random_critical_line,HBR,0.0,0.005,0.05,0.8466340023319745,0.8333151549818772,0.3955472615441798,0.4717403389186353,1.0,0.9795309465115993,0.8743582779386834,0.02772427560670887
random_critical_line,HBR,2.0,0.001,0.0,0.855877088277782,0.8559011674727058,0.4061146840500488,0.4630122710470371,1.0,0.9953260465477947,0.855877088277782,0.0
random_critical_line,HBR,2.0,0.002,0.0,0.8605374308871332,0.8600699399230483,0.4075928900195315,0.4630122710470371,1.0,0.9907064828363884,0.8605374308871332,0.0
random_critical_line,HBR,2.0,0.005,0.0,0.8743582779386834,0.8724705201785805,0.41196567792462724,0.4630122710470371,1.0,0.977162551155463,0.8743582779386834,0.0
random_critical_line,HBR,5.0,0.001,0.0,0.855877088277782,0.8559011674727058,0.4061146840500488,0.4630122710470371,1.0,0.9953260465477947,0.855877088277782,0.0
random_critical_line,HBR,5.0,0.002,0.0,0.8605374308871332,0.8600699399230483,0.4075928900195315,0.4630122710470371,1.0,0.9907064828363884,0.8605374308871332,0.0
random_critical_line,HBR,5.0,0.005,0.0,0.8743582779386834,0.8724705201785805,0.41196567792462724,0.4630122710470371,1.0,0.977162551155463,0.8743582779386834,0.0
random_critical_line,HBR,10.0,0.001,0.0,0.855877088277782,0.8559011674727058,0.4061146840500488,0.4630122710470371,1.0,0.9953260465477947,0.855877088277782,0.0
random_critical_line,HBR,10.0,0.002,0.0,0.8605374308871332,0.8600699399230483,0.4075928900195315,0.4630122710470371,1.0,0.9907064828363884,0.8605374308871332,0.0
random_critical_line,HBR,10.0,0.005,0.0,0.8743582779386834,0.8724705201785805,0.41196567792462724,0.4630122710470371,1.0,0.977162551155463,0.8743582779386834,0.0
random_critical_line,HBR,20.0,0.001,0.0,0.855877088277782,0.8559011674727058,0.4061146840500488,0.4630122710470371,1.0,0.9953260465477947,0.855877088277782,0.0
random_critical_line,HBR,20.0,0.002,0.0,0.8605374308871332,0.8600699399230483,0.4075928900195315,0.4630122710470371,1.0,0.9907064828363884,0.8605374308871332,0.0
random_critical_line,HBR,20.0,0.005,0.0,0.8743582779386834,0.8724705201785805,0.41196567792462724,0.4630122710470371,1.0,0.977162551155463,0.8743582779386834,0.0
random_critical_line,HR,0.0,0.001,0.05,0.8300888105825466,0.8190928203837857,0.3901756814284731,0.4717403389186353,1.0,0.9958206225744355,0.8558770882787821,0.025788277696235484
random_critical_line,HR,0.0,0.002,0.05,0.8342572745659329,0.8226677821495791,0.39153134866892464,0.4717403389186353,1.0,0.9916848720818707,0.8605374308881333,0.026280156322200376
random_critical_line,HR,0.0,0.005,0.05,0.8466340023329746,0.8333151549828773,0.3955472615441798,0.4717403389186353,1.0,0.9795309465115993,0.8743582779396835,0.02772427560670887
random_critical_line,HR,2.0,0.001,0.05,0.8300888105825466,0.8190928203837857,0.3901756814284731,0.4717403389186353,0.909090909090909,0.9958206225744355,0.8558770882787821,0.025788277696235484
random_critical_line,HR,2.0,0.002,0.05,0.8342572745659329,0.8226677821495791,0.39153134866892464,0.4717403389186353,0.909090909090909,0.9916848720818707,0.8605374308881333,0.026280156322200376
random_critical_line,HR,2.0,0.005,0.05,0.8466340023329746,0.8333151549828773,0.3955472615441798,0.4717403389186353,0.909090909090909,0.9795309465115993,0.8743582779396835,0.02772427560670887
random_critical_line,HR,5.0,0.001,0.05,0.8300888105825466,0.8190928203837857,0.3901756814284731,0.4717403389186353,0.7999999999999998,0.9958206225744355,0.8558770882787821,0.025788277696235484
random_critical_line,HR,5.0,0.002,0.05,0.8342572745659329,0.8226677821495791,0.39153134866892464,0.4717403389186353,0.7999999999999998,0.9916848720818707,0.8605374308881333,0.026280156322200376
random_critical_line,HR,5.0,0.005,0.05,0.8466340023329746,0.8333151549828773,0.3955472615441798,0.4717403389186353,0.7999999999999998,0.9795309465115993,0.8743582779396835,0.02772427560670887
random_critical_line,HR,10.0,0.001,0.05,0.8300888105825466,0.8190928203837857,0.3901756814284731,0.4717403389186353,0.6666666666666665,0.9958206225744355,0.8558770882787821,0.025788277696235484
random_critical_line,HR,10.0,0.002,0.05,0.8342572745659329,0.8226677821495791,0.39153134866892464,0.4717403389186353,0.6666666666666665,0.9916848720818707,0.8605374308881333,0.026280156322200376
random_critical_line,HR,10.0,0.005,0.05,0.8466340023329746,0.8333151549828773,0.3955472615441798,0.4717403389186353,0.6666666666666665,0.9795309465115993,0.8743582779396835,0.02772427560670887
random_critical_line,HR,20.0,0.001,0.05,0.8300888105825466,0.8190928203837857,0.3901756814284731,0.4717403389186353,0.49999999999999983,0.9958206225744355,0.8558770882787821,0.025788277696235484
random_critical_line,HR,20.0,0.002,0.05,0.8342572745659329,0.8226677821495791,0.39153134866892464,0.4717403389186353,0.49999999999999983,0.9916848720818707,0.8605374308881333,0.026280156322200376
random_critical_line,HR,20.0,0.005,0.05,0.8466340023329746,0.8333151549828773,0.3955472615441798,0.4717403389186353,0.49999999999999983,0.9795309465115993,0.8743582779396835,0.02772427560670887
